artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Taska Black,All I Know,All I Know,2oYmcnSaOi3kdYwPpAck8l,0.457,0.648,2,-5.885,1,0.0504,0.0658,0.0946,0.334,150.056,180000,4,Ady24,Ady's Playlist,Adityavikram
DROELOE,BACKBONE,BACKBONE,6VRRu9NewkmX12BMCvCJQ1,0.653,0.689,11,-8.338,0,0.0881,0.0387,0.0937,0.253,150.954,194000,4,Ady24,Ady's Playlist,Adityavikram
Various Artists,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,2,-5.574,1,0.0466,0.0,0.0703,0.913,89.911,158040,4,Ady24,Ady's Playlist,Adityavikram
Vicetone,Waiting,Waiting,78v8ad1iLTlfLbam4qvzNu,0.651,0.7,1,-4.264,0,0.0318,0.0,0.061,0.214,104.964,205714,4,Ady24,Ady's Playlist,Adityavikram
Lana Del Rey,Norman Fucking Rockwell!,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,0.641,0.559,7,-11.132,0,0.0355,0.00402,0.0937,0.523,144.982,202193,4,Ady24,Ady's Playlist,Adityavikram
Hardwell,Chase The Sun,Chase The Sun,18vGqlZqxpAwlepFrqIkOG,0.496,0.919,11,-3.667,0,0.0497,4.03e-05,0.338,0.177,127.962,183281,4,Ady24,Ady's Playlist,Adityavikram
Above & Beyond,See The End,See The End,1dDDVfAfms7M6VLLKmubaJ,0.497,0.656,7,-6.716,1,0.0374,0.0,0.0577,0.0884,127.975,185747,4,Ady24,Ady's Playlist,Adityavikram
Gryffin,Tie Me Down (with Elley Duhé) [Steve Aoki Remix],Tie Me Down (with Elley Duhé) - Steve Aoki Remix,27dtcjTLGUeR9mw1cwF6mn,0.715,0.788,6,-4.271,1,0.066,0.0,0.195,0.372,110.041,189818,4,Ady24,Ady's Playlist,Adityavikram
SLANDER,Love Is Gone,Love Is Gone,39glqzRVRAy4vq3PqeTGb8,0.452,0.465,4,-10.006,0,0.0344,0.000524,0.095,0.0832,149.586,256043,4,Ady24,Ady's Playlist,Adityavikram
Kavinsky,OutRun,Nightcall,73bDvrmSBh2fr53tLDH9oA,0.509,0.856,9,-5.091,0,0.0553,0.0108,0.424,0.427,91.02,257320,4,Ady24,Ady's Playlist,Adityavikram
Hardwell,Out Of This Town,Out Of This Town,5iFCdVNg0X6ElfYAsd7RiE,0.553,0.902,5,-3.444,0,0.0703,0.000171,0.355,0.633,149.987,195200,4,Ady24,Ady's Playlist,Adityavikram
Deorro,Obvious,Obvious,0fbnwgHkUUooY2L0xsW8Vx,0.725,0.778,2,-5.079,0,0.0556,6.58e-05,0.109,0.346,119.01,237983,4,Ady24,Ady's Playlist,Adityavikram
Flux Pavilion,Lion's Cage,Lion's Cage,4WgwK3MvmhaniBzNngmn0k,0.5,0.74,7,-8.301,0,0.0392,3.67e-05,0.0849,0.328,150.02,269674,3,Ady24,Ady's Playlist,Adityavikram
DROELOE,Only Be Me,Only Be Me,3xY7S39qKvxMx6q87FUxDL,0.7,0.581,1,-8.493,0,0.0779,0.00196,0.135,0.165,140.019,208286,4,Ady24,Ady's Playlist,Adityavikram
XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.00372,0.123,0.473,75.023,166606,4,Ady24,Ady's Playlist,Adityavikram
Post Malone,beerbongs & bentleys,Candy Paint,32lItqlMi4LBhb4k0BaSaC,0.664,0.667,4,-5.941,1,0.154,1.22e-06,0.0753,0.381,180.064,227533,4,Ady24,Ady's Playlist,Adityavikram
OneRepublic,Native (Deluxe),If I Lose Myself,7BVZ62e8J6KIFlAOPFct2C,0.49,0.71,2,-5.997,1,0.0487,0.0,0.109,0.283,140.072,241640,4,Ady24,Ady's Playlist,Adityavikram
Lana Del Rey,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,6PUIzlqotEmPuBfjbwYWOB,0.572,0.81,1,-5.791,0,0.0558,6.53e-06,0.13,0.11,126.052,214912,4,Ady24,Ady's Playlist,Adityavikram
Cashae,Endless Summer,Endless Summer,5l8AUgBTWuOECwVgYtaUyE,0.625,0.719,4,-5.541,1,0.0612,0.0,0.0668,0.326,101.091,202072,4,Ady24,Ady's Playlist,Adityavikram
Avicii,You Make Me (Remixes),You Make Me - Throttle Radio Edit,3sFgAwiMkRcAQjDR2cZqgg,0.6,0.876,3,-4.127,0,0.0476,0.327,0.112,0.561,125.922,220952,4,Ady24,Ady's Playlist,Adityavikram
Lil Peep,"Come Over When You're Sober, Pt. 1",Save That Shit,0S0vWvyZ6Rc79TXkWxT9QA,0.534,0.583,2,-8.672,1,0.0288,0.0,0.421,0.145,106.0,231547,4,Ady24,Ady's Playlist,Adityavikram
Calvin Harris,18 Months,We'll Be Coming Back (feat. Example),7B1Dl3tXqySkB8OPEwVvSu,0.596,0.952,7,-4.364,1,0.0873,0.0,0.598,0.571,127.945,234360,4,Ady24,Ady's Playlist,Adityavikram
Juice WRLD,Goodbye & Good Riddance,Wasted (feat. Lil Uzi Vert),1a7WZZZH7LzyvorhpOJFTe,0.742,0.579,0,-5.024,1,0.202,0.0,0.0952,0.502,144.994,258475,4,Ady24,Ady's Playlist,Adityavikram
Vicetone,Nevada,Nevada,02shCNmb6IvgB5jLqKjtkK,0.605,0.783,3,-4.271,1,0.0324,0.000175,0.133,0.105,124.015,208562,4,Ady24,Ady's Playlist,Adityavikram
