artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ben Böhmer,Breathing,Breathing,1MvLmHeLkaNgUScgbUVnWJ,0.598,0.561,11,-11.421,0,0.0511,0.557,0.109,0.0385,182.988,222606,3,Agustina Maccio,SoundG,Agustina Maccio
Monolink,Father Ocean,Father Ocean - Ben Böhmer Remix Edit,4oWDaJpusSH1lqIQQkEHsS,0.609,0.74,2,-11.046,1,0.0342,0.749,0.113,0.0391,122.008,318675,4,Agustina Maccio,SoundG,Agustina Maccio
Adriatique,Home,Home,6jYXP1jrYIHkEYglFgeL2Q,0.612,0.767,2,-5.972,0,0.0317,0.221,0.353,0.0458,120.018,330500,4,Agustina Maccio,SoundG,Agustina Maccio
Vintage & Morelli,My Rose Enchanted Destiny,Daydream - Extended Mix,6dT4YUCjwpMZHWX1J28Jtu,0.707,0.702,1,-8.167,0,0.0466,0.663,0.0984,0.142,118.007,531000,4,Agustina Maccio,SoundG,Agustina Maccio
Parra for Cuva,Sumidero,Sumidero,1ZcT9DpO9dPmW3wov6Tlze,0.666,0.745,3,-9.395,0,0.0347,0.91,0.133,0.222,116.006,298493,4,Agustina Maccio,SoundG,Agustina Maccio
Ben Böhmer,Cappadocia,Cappadocia,4rERaNiKlILD603GJvdEvm,0.349,0.685,8,-9.281,1,0.0421,0.893,0.122,0.277,123.025,282064,4,Agustina Maccio,SoundG,Agustina Maccio
Zimmer,Coming of Age,Moonrise,5yizzF8tORzeLVEzk237J6,0.734,0.524,7,-9.481,0,0.0475,0.815,0.0886,0.198,115.017,242639,4,Agustina Maccio,SoundG,Agustina Maccio
Kidnap,Grow (The Remixes),Moments - Ben Böhmer & Nils Hoffmann Remix,4F6dlpCLyi8jWWFEjdxCQ0,0.702,0.524,7,-12.422,0,0.0393,0.89,0.111,0.283,121.001,250207,4,Agustina Maccio,SoundG,Agustina Maccio
ARTBAT,Best of Me (Radio Edit),Best of Me - Radio Edit,4bJ7hDIjOucR0hGDEaVBOr,0.552,0.944,4,-7.918,0,0.0623,0.333,0.256,0.0384,124.97,229440,4,Agustina Maccio,SoundG,Agustina Maccio
Boris Brejcha,House Music (feat. Arctic Lake) [Edit],House Music (feat. Arctic Lake) - Edit,3aAgQEbQUFMhXqk9fz3fcK,0.818,0.35,7,-12.34,1,0.0558,0.0103,0.124,0.334,125.002,179520,4,Agustina Maccio,SoundG,Agustina Maccio
