artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
"Alkilados feat. Nicky Jam, J. Alvarez, El Roockie",Una Cita (Remix) - Single,Una Cita (Remix),1JkJwlJv6TrI41X9FflSlw,0.779,0.848,10,-4.705,1,0.0672,0,0.281,0.695,95.985,275893,4,Andre,Latino,Andre Figueroa
IAmChino,"Ay MI Dios (feat. Pitbull, Yandel & Chacal)","Ay MI Dios (feat. Pitbull, Yandel & Chacal)",6ixvuvnE27lFE2SvCXpWce,0.761,0.829,0,-3.203,0,0.0681,0,0.189,0.813,92.033,252003,4,Andre,Latino,Andre Figueroa
J Balvin,La Familia B Sides,Ay Vamos,6Ges5C2IE738iJh4HyQizQ,0.718,0.711,8,-5.746,0,0.11,5.54e-05,0.1,0.92,173.916,226413,4,Andre,Latino,Andre Figueroa
Nicky Jam,El Perdón (with Enrique Iglesias),El Perdón (with Enrique Iglesias),4Ld3RS6KBXGsvtfmnjxlVl,0.622,0.701,8,-5.452,1,0.0559,0,0.0955,0.645,179.998,207013,4,Andre,Latino,Andre Figueroa
J Balvin,La Familia,6 AM,3uvypVUsiIr1B0BccIcsEh,0.746,0.746,5,-5.046,0,0.102,0,0.274,0.733,175.965,243227,4,Andre,Latino,Andre Figueroa
Grupo Play,Quiero Verte Bailar,Quiero Verte Bailar,19SPpzI7l7Aovt7AnoHqTw,0.688,0.701,0,-3.439,1,0.0363,0,0.174,0.72,98.027,187037,4,Andre,Latino,Andre Figueroa
Los Bonnitos,Sigamos Bailando,Cae el Sol,1xOcRGlqLmD402tVwds2xG,0.594,0.796,1,-3.94,0,0.0384,0,0.24,0.253,99.987,217707,4,Andre,Latino,Andre Figueroa
Japiaguar,Bruja,Bruja,7zD7ShmIMy5Q964VrRSzWN,0.76,0.78,2,-6.516,1,0.0435,0,0.266,0.652,91.067,212376,4,Andre,Latino,Andre Figueroa
Nicky Jam,Nicky Jam Hits,Travesuras,1PtL0YQRtq3qxDGUSwZPJ5,0.77,0.79,10,-5.453,0,0.0814,0,0.0829,0.872,93.97,195453,4,Andre,Latino,Andre Figueroa
VI-EM,Canta,#Canta,2Vns3leKYCf0DPKRbBgdOO,0.691,0.829,6,-2.962,1,0.0986,0,0.128,0.865,97.96,189693,4,Andre,Latino,Andre Figueroa
Romeo Santos,"Fórmula, Vol. 2 (Deluxe Edition)",Cancioncitas de Amor,6bcdiJvYNX115yvbh3wASz,0.783,0.781,4,-3.079,1,0.0419,0,0.323,0.771,125.9,237093,4,Andre,Latino,Andre Figueroa
Gente De Zona,La Gozadera,La Gozadera,3ip2477VESffCtFkPFT0ov,0.617,0.989,9,-1.727,0,0.0494,0,0.238,0.893,95.028,203050,4,Andre,Latino,Andre Figueroa
Los Cadillac's,Me Marcharé (feat. Wisin),Me Marcharé (feat. Wisin),2Q2kk3DU9lMeBjdgjvqrXr,0.712,0.785,5,-6.645,1,0.188,0,0.653,0.527,119.937,243038,4,Andre,Latino,Andre Figueroa
Justin Bieber,Sorry (Latino Remix),Sorry - Latino Remix,0XXLwO7YHHTAK3OJkWQ37b,0.593,0.748,0,-3.784,0,0.0461,0,0.301,0.468,100.007,219987,4,Andre,Latino,Andre Figueroa
Chino & Nacho,Radio Universo,Me Voy Enamorando - Remix,0SUukeNYkHMk8bxwgGQKJa,0.708,0.87,10,-4.473,1,0.0557,0,0.347,0.547,99.963,215800,4,Andre,Latino,Andre Figueroa
Various Artists,"The 2014 FIFA World Cup Official Album: One Love, One Rhythm",Lepo Lepo,3k3hEG7RGj7S8SzJ08YdIM,0.765,0.739,9,-6.651,1,0.161,0,0.134,0.867,139.981,201200,4,Andre,Latino,Andre Figueroa
