artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Zac Brown Band,The Foundation,Chicken Fried,4dGJf1SER1T6ooX46vwzRB,0.566,0.713,6,-4.25,1,0.0417,0,0.114,0.807,169.864,238147,4,Ctomko3,country,Cameron Tomko
Florida Georgia Line,Here's To The Good Times,Cruise,0i5el041vd6nxrGEU8QRxy,0.457,0.948,10,-3.364,1,0.0354,0,0.0536,0.878,148.0,208960,4,Ctomko3,country,Cameron Tomko
Florida Georgia Line,Here's To The Good Times...This Is How We Roll,This Is How We Roll,2TR7A4ulH9R1PNwMyd8o8U,0.555,0.931,8,-2.969,1,0.0367,0,0.405,0.723,132.085,220907,4,Ctomko3,country,Cameron Tomko
Jason Aldean,My Kinda Party,Dirt Road Anthem,2qYsSHsYkihWx043HVJQRV,0.68,0.741,2,-5.055,1,0.0357,1.87e-06,0.117,0.635,127.024,229400,4,Ctomko3,country,Cameron Tomko
Thomas Rhett,Life Changes,Life Changes,4Vxu50qVrQcycjRyJQaZLC,0.687,0.845,7,-4.37,1,0.0576,0,0.0452,0.809,87.972,190227,4,Ctomko3,country,Cameron Tomko
Thomas Rhett,Life Changes (Big Machine Radio Release Special),Unforgettable,2JGUcpSLhxxruwkqQfBhAl,0.661,0.75,7,-5.497,1,0.0314,0.000132,0.0846,0.828,130.077,157573,4,Ctomko3,country,Cameron Tomko
Florida Georgia Line,Can't Say I Ain't Country,Simple,4L9Ds4mpD3SuYoWwFUlv16,0.362,0.882,3,-3.717,1,0.0973,0,0.15,0.864,199.811,185200,4,Ctomko3,country,Cameron Tomko
Old Dominion,Happy Endings,No Such Thing as a Broken Heart,0OlS52TmtK2gPaEtdmr7DN,0.651,0.782,8,-4.295,1,0.0718,0,0.107,0.945,171.987,176893,4,Ctomko3,country,Cameron Tomko
Jason Aldean,Rearview Town,You Make It Easy,6EGAfJaLUFzhS4zRBIEQ2J,0.375,0.574,7,-5.305,1,0.0315,0,0.11,0.406,132.025,196800,3,Ctomko3,country,Cameron Tomko
Thomas Rhett,Tangled Up,Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,0.595,0.389,2,-9.245,1,0.0349,1.39e-06,0.116,0.4,166.052,227427,4,Ctomko3,country,Cameron Tomko
Kane Brown,Kane Brown,What Ifs (feat. Lauren Alaina),7zVCrzzEJU7u24sbJPXA5W,0.612,0.799,10,-4.603,1,0.0275,0,0.172,0.687,125.976,188253,4,Ctomko3,country,Cameron Tomko
Luke Combs,This One's for You Too (Deluxe Edition),Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,0.551,0.402,11,-7.431,1,0.0262,0,0.0928,0.382,103.313,193200,4,Ctomko3,country,Cameron Tomko
Luke Bryan,Crash My Party,Play It Again,03fT3OHB9KyMtGMt2zwqCT,0.506,0.886,11,-3.225,1,0.0655,0,0.0734,0.595,143.935,226867,4,Ctomko3,country,Cameron Tomko
Luke Combs,This One's for You,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,0.464,0.813,10,-6.185,1,0.0416,0,0.254,0.515,75.977,222533,4,Ctomko3,country,Cameron Tomko
Russell Dickerson,Yours,Blue Tacoma,2oPCR02nduYVpj7CTfsA0d,0.455,0.897,9,-4.879,1,0.0403,0,0.174,0.728,160.139,212067,4,Ctomko3,country,Cameron Tomko
Jordan Davis,Home State,Take It From Me,3dCZm5HrG0jIXAHfNkg2H0,0.592,0.891,10,-3.144,1,0.0512,0,0.352,0.674,99.983,174255,4,Ctomko3,country,Cameron Tomko
Kane Brown,Experiment,Lose It,5tFgCPC2Hdw4qu9b7RkWhR,0.544,0.854,4,-4.968,0,0.0289,1.2e-06,0.249,0.436,91.966,178987,4,Ctomko3,country,Cameron Tomko
Devin Dawson,Dark Horse,All On Me,2mfahQ0EaaZWq4cFNg6A1o,0.634,0.668,5,-5.488,1,0.0291,0,0.216,0.635,80.989,224627,4,Ctomko3,country,Cameron Tomko
Tim McGraw,Damn Country Music,Humble And Kind,4Pn0JlCUusD2QHjADuOzuV,0.355,0.48,11,-7.31,1,0.0282,2.28e-06,0.12,0.137,100.956,259267,3,Ctomko3,country,Cameron Tomko
Kane Brown,Kane Brown (Deluxe Edition),Heaven,1HXy5I3HTWq8OvxCn0z7G7,0.677,0.556,9,-6.544,1,0.0306,0,0.105,0.521,80.006,179507,4,Ctomko3,country,Cameron Tomko
