artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ariana Grande,Santa Tell Me,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7,-7.364,1,0.116,0,0.294,0.591,191.9,204093,4,Spotify,Christmas Pop,Public A
Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0,0.0708,0.35,150.273,241107,4,Spotify,Christmas Pop,Public A
Kelly Clarkson,Wrapped In Red,Underneath the Tree,3YZE5qDV7u1ZD1gZc47ZeR,0.509,0.812,8,-5.439,1,0.0537,1.99e-05,0.214,0.689,159.878,229640,4,Spotify,Christmas Pop,Public A
Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0,0.505,0.898,67.196,126267,4,Spotify,Christmas Pop,Public A
Taylor Swift,Christmas Tree Farm,Christmas Tree Farm,2mvabkN1i2gLnGAPUVdwek,0.598,0.68,7,-4.505,1,0.0331,0,0.324,0.437,134.002,228027,4,Spotify,Christmas Pop,Public A
George Michael,Twenty Five,Last Christmas - Remastered,6wn2nmFn3wDuiMldRiuRuL,0.757,0.618,11,-7.964,0,0.0282,0,0.221,0.861,106.856,267160,4,Spotify,Christmas Pop,Public A
Britney Spears,My Only Wish (This Year),My Only Wish (This Year),0YWUHZPJVg4iujddsJDwhM,0.669,0.843,0,-3.766,1,0.0268,0,0.195,0.702,147.08,255400,4,Spotify,Christmas Pop,Public A
Michael Bublé,Christmas (Deluxe Special Edition),It's Beginning to Look a Lot like Christmas,5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,4,-11.714,1,0.0375,7.47e-06,0.341,0.363,94.775,206640,3,Spotify,Christmas Pop,Public A
Gwen Stefani,You Make It Feel Like Christmas (Deluxe Edition - 2020),You Make It Feel Like Christmas (with Blake Shelton),3SjaE7SExrVnRZi45KXT3O,0.635,0.87,2,-4.291,0,0.04,0,0.118,0.912,92.999,156773,4,Spotify,Christmas Pop,Public A
*NSYNC,Home For Christmas,"Merry Christmas, Happy Holidays",4v9WbaxW8HdjqfUiWYWsII,0.643,0.939,5,-3.967,1,0.0463,0,0.881,0.756,104.999,255307,4,Spotify,Christmas Pop,Public A
Pentatonix,Holidays Around the World,Kid On Christmas (feat. Meghan Trainor),5glU2EWqa5hpYqGPboSNjV,0.419,0.817,2,-4.704,1,0.0468,0,0.251,0.317,78.107,202600,4,Spotify,Christmas Pop,Public A
MisterWives,Jingle Bell Rock -Spotify Singles Holiday,Jingle Bell Rock -Spotify Singles Holiday,7Ao5aouOwI94DuwcXa5X1i,0.629,0.657,4,-7.771,1,0.0313,2.74e-05,0.454,0.603,120.013,142893,4,Spotify,Christmas Pop,Public A
Ryland James,Please Come Home For Christmas,Please Come Home For Christmas,3cZRpCsi78sk2u4XW0vosp,0.399,0.349,9,-9.011,1,0.0271,9e-05,0.101,0.205,172.0,197093,3,Spotify,Christmas Pop,Public A
Leona Lewis,"Christmas, With Love",One More Sleep,78pn8k7RogKo2oxl0DyX6d,0.638,0.813,11,-3.849,1,0.0362,0,0.344,0.754,112.986,239587,4,Spotify,Christmas Pop,Public A
John Legend,You Deserve It All,You Deserve It All,2ZAEbbKPNf1Wv1fifB2nyd,0.524,0.739,0,-6.681,1,0.0386,0,0.0636,0.48,83.095,198627,4,Spotify,Christmas Pop,Public A
