artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Maya Delilah,Pretty Face,Pretty Face,76FIWDl9FJBphuJhjPkYtr,0.658,0.35,9,-6.626,1,0.037,1.18e-05,0.716,0.417,116.123,204908,3,Spotify,Retro Pop,Public B
Ashe,omw,omw,46b0Hj6XPgIrwKURVsZeVA,0.723,0.853,4,-5.508,1,0.0712,0.0425,0.171,0.735,155.085,171162,4,Spotify,Retro Pop,Public B
Drugdealer,Hiding in Plain Sight,Baby,7bxXiHye5YkfWVzB1KpKDu,0.686,0.589,9,-8.721,1,0.0312,0.00194,0.25,0.812,124.001,216573,4,Spotify,Retro Pop,Public B
Ebony Loren,All That I Need,All That I Need,1YEc4P48PIWSPNip6FaI3T,0.807,0.31,2,-8.069,1,0.0761,0.0,0.169,0.63,117.968,222458,4,Spotify,Retro Pop,Public B
Jonathan Roy,Stay in Bed and F*** (While The World Burns),Stay in Bed and F*** (While The World Burns),07DAMNunYyHvoG6PC88laF,0.509,0.537,5,-6.839,1,0.154,0.0,0.0892,0.588,71.9,164533,4,Spotify,Retro Pop,Public B
Meghan Trainor,Takin' It Back,Made You Look,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,1.92e-06,0.0771,0.884,144.981,134256,4,Spotify,Retro Pop,Public B
Harrison Finks,Making it Right,Making it Right,6Hjy33Aku74bDdbLWhe6U6,0.577,0.787,7,-7.258,1,0.262,0.0,0.166,0.827,174.059,137799,4,Spotify,Retro Pop,Public B
Stacey Ryan,Fall In Love Alone,Fall In Love Alone,5xwBIieMMFUmLDgvG4DjFe,0.676,0.625,7,-5.455,0,0.0711,0.000119,0.127,0.522,171.883,205428,4,Spotify,Retro Pop,Public B
Young Gun Silver Fox,Ticket To Shangri-La,Rolling Back,1irJhcpldknFoEzcqO75qB,0.722,0.627,5,-8.378,1,0.0288,1.2e-05,0.108,0.971,117.033,223720,4,Spotify,Retro Pop,Public B
The Weeknd,Dawn FM,Out of Time,2SLwbpExuoBDZBpjfefCtV,0.65,0.76,0,-4.422,0,0.0446,0.0,0.339,0.838,93.057,214194,4,Spotify,Retro Pop,Public B
Sarah Kang,end credits,end credits,4IEGZYUSKkgWMy8vpp1Z7H,0.383,0.271,0,-12.538,1,0.0832,0.0,0.368,0.341,69.234,248500,3,Spotify,Retro Pop,Public B
Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.0,0.202,0.342,101.19,176440,3,Spotify,Retro Pop,Public B
MAX,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),5SMCxRA6hB2jEhroaYfw6N,0.697,0.368,2,-9.708,1,0.056,0.00016,0.135,0.451,90.011,173428,4,Spotify,Retro Pop,Public B
Rex Orange County,AMAZING,AMAZING,6FtIK0IkmG33lKbc1pyAlZ,0.719,0.461,8,-8.191,1,0.0454,0.0,0.0875,0.548,123.915,209200,4,Spotify,Retro Pop,Public B
Bruno Mars,An Evening With Silk Sonic,Skate,7jvCeWOSnJs2N3spqobWnO,0.708,0.598,5,-8.365,1,0.0291,0.0,0.17,0.698,112.027,203123,4,Spotify,Retro Pop,Public B
Meghan Trainor,Don't I Make It Look Easy,Don't I Make It Look Easy,0Bm2kjXM4w6JlwS6jpTmfO,0.628,0.742,0,-4.51,1,0.0668,0.0,0.274,0.829,148.756,154888,4,Spotify,Retro Pop,Public B
John Legend,LEGEND,Wonder Woman,3BLWGYOcy1svvsBByeFxLh,0.628,0.476,0,-4.947,1,0.0352,0.0,0.121,0.336,147.915,168562,4,Spotify,Retro Pop,Public B
