artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Steve Lacy,Dark Red,Dark Red,3EaJDYHA0KnX88JvDhL9oa,0.603,0.784,6,-4.023,1,0.062,8.32e-06,0.119,0.769,172.041,173104,4,Spotify,Alternative 10s,Public D
Arctic Monkeys,AM,Do I Wanna Know?,5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.000263,0.217,0.405,85.03,272394,4,Spotify,Alternative 10s,Public D
Grimes,Visions,Genesis,3cjvqsvvU80g7WJPMVh8iq,0.611,0.677,10,-6.745,0,0.034,0.0698,0.241,0.233,166.04,255320,4,Spotify,Alternative 10s,Public D
Frank Ocean,Blonde,Pink + White,3xKsf9qdS1CyvXSMEid6g8,0.545,0.545,9,-7.362,1,0.107,5.48e-05,0.417,0.549,159.94,184516,3,Spotify,Alternative 10s,Public D
girl in red,we fell in love in october / October Passed Me By,we fell in love in october,6IPwKM3fUUzlElbvKw2sKl,0.566,0.366,7,-12.808,1,0.028,0.181,0.155,0.237,129.96,184154,4,Spotify,Alternative 10s,Public D
Joji,BALLADS 1,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.00598,0.191,0.284,88.964,209274,4,Spotify,Alternative 10s,Public D
Tame Impala,Currents,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,1,0.0284,0.00678,0.167,0.785,116.879,216320,4,Spotify,Alternative 10s,Public D
Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.115,0.0956,0.965,127.975,239600,4,Spotify,Alternative 10s,Public D
Lana Del Rey,Norman Fucking Rockwell!,Doin' Time,0Oqc0kKFsQ6MhFOLBNZIGX,0.641,0.559,7,-11.132,0,0.0355,0.00402,0.0937,0.523,144.982,202193,4,Spotify,Alternative 10s,Public D
Mac DeMarco,Salad Days,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,0.538,0.557,11,-8.678,1,0.0914,0.914,0.102,0.506,131.03,231724,4,Spotify,Alternative 10s,Public D
