artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Elvis Presley,For LP Fans Only,That's All Right,0tHcXWIYt99GY8BONrPIfA,0.655,0.405,2,-9.825,1,0.036,1.33e-06,0.116,0.696,105.272,115280,4,Spotify,Rockabilly Drive,Public F
Carl Perkins,The Dance Album,Blue Suede Shoes,5d6ZRqgbz26Sg4bk1oifQw,0.548,0.673,4,-7.318,0,0.0364,8.53e-05,0.342,0.965,168.891,134446,4,Spotify,Rockabilly Drive,Public F
Bill Haley & His Comets,Rock Around The Clock,"Shake, Rattle And Roll",5z2Gef9D3UgRquZXe7UUW4,0.662,0.794,5,-6.942,1,0.152,0.0,0.149,0.841,168.106,149467,3,Spotify,Rockabilly Drive,Public F
Jerry Lee Lewis,The Essential Jerry Lee Lewis [The Sun Sessions],Whole Lot of Shakin' Going On,6wO13Xb3EdHUNixFOEJ0KV,0.377,0.626,0,-9.662,1,0.033,6.46e-05,0.188,0.678,161.468,172400,4,Spotify,Rockabilly Drive,Public F
Gene Vincent,Capitol Collectors Series,Lotta Lovin',0ijKW319aVwVVDmFGU4rGC,0.565,0.495,7,-14.611,1,0.0506,0.000111,0.287,0.952,168.21,131973,4,Spotify,Rockabilly Drive,Public F
Gene Vincent,Dance To The Bop,Be-Bop-A-Lula,0HUp7ipIDJvITTqizN6cxJ,0.593,0.537,9,-10.906,1,0.0444,0.0,0.147,0.843,126.071,156307,4,Spotify,Rockabilly Drive,Public F
Eddie Cochran,Never To Be Forgotten,Twenty Flight Rock,0Lx4qHJ7ZBoSZvc704wsDd,0.643,0.771,9,-8.659,1,0.213,0.0,0.0442,0.912,105.822,105773,4,Spotify,Rockabilly Drive,Public F
Bill Haley & His Comets,Rockin' The Joint,"See You Later, Alligator",05eNEozACh10Rn0ewFnH8Y,0.663,0.758,10,-10.07,0,0.0571,0.0,0.319,0.814,157.198,166840,4,Spotify,Rockabilly Drive,Public F
Elvis Presley,For LP Fans Only,Mystery Train,0GvhHQbWSnGltjl0je61dI,0.699,0.514,4,-12.61,1,0.0315,0.029,0.22,0.63,120.758,144947,4,Spotify,Rockabilly Drive,Public F
Carl Mann,"Like, Mann: Carl Mann Sings",Mona Lisa,6bhTvzvIPjOLtsGAhyaHfH,0.367,0.714,0,-6.484,1,0.0684,3.76e-06,0.29,0.891,173.443,146729,4,Spotify,Rockabilly Drive,Public F
Buddy Knox,Buddy Knox,Party Doll,3SNEFR9U8CCEUN3iZfkVgW,0.664,0.731,11,-7.84,0,0.0779,5.95e-06,0.216,0.661,90.054,135173,4,Spotify,Rockabilly Drive,Public F
Billy Lee Riley,Flyin' Saucers Rock & Roll / I Want You Baby,Flyin' Saucers Rock & Roll,61NxE9hAjnvplyUKdY6jKv,0.429,0.653,2,-8.957,1,0.0732,2.9e-05,0.22,0.679,165.029,122108,4,Spotify,Rockabilly Drive,Public F
Carl Perkins,The Dance Album,Matchbox,3qz0e03PIaalwcCGwaJHMs,0.524,0.892,9,-8.231,1,0.0645,0.00855,0.392,0.923,170.15,127848,4,Spotify,Rockabilly Drive,Public F
Roy Orbison,At the Rock House,Ooby Dooby,7Bt1RAu4FSYL3WltEmLmb5,0.514,0.796,1,-8.226,1,0.0691,0.025,0.056,0.941,181.282,130500,4,Spotify,Rockabilly Drive,Public F
Johnny Burnette & The Rock 'N' Roll Trio,Johnny Burnette And The Rock 'N Roll Trio,The Train Kept A Rollin',7s8spWIA65WP6vG18bXDP1,0.56,0.707,9,-7.556,1,0.0686,0.0,0.305,0.962,167.36,139453,4,Spotify,Rockabilly Drive,Public F
Wanda Jackson,Rockin' With Wanda,Fujiyama Mama - Remastered,5GZKrlylsU8zoILY2aiDJz,0.834,0.704,2,-8.077,1,0.0631,5.91e-05,0.201,0.96,141.495,134733,4,Spotify,Rockabilly Drive,Public F
