artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Bing Crosby,Christmas,It's Beginning To Look A Lot Like Christmas,1uh1iaMqBdx4XyrXhssKGD,0.464,0.259,3,-9.194,1,0.0379,0.000326,0.116,0.531,97.586,164613,4,Spotify,Holiday Magic,Public G
Chuck Berry,Rock 'N' Roll Rarities,Run Rudolph Run,2pnPe4pJtq7689i5ydzvJJ,0.681,0.715,7,-10.609,0,0.0912,9.43e-06,0.0777,0.957,152.132,165733,4,Spotify,Holiday Magic,Public G
Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Frosty the Snowman (with The Cass County Boys) - 78rpm Version,3i8j2dKXChkErfi8jsDDuH,0.677,0.241,8,-11.133,1,0.0407,0.0,0.0523,0.963,172.315,173493,4,Spotify,Holiday Magic,Public G
Various Artists,A Christmas Gift For You From Phil Spector,Sleigh Ride,5ASM6Qjiav2xPe7gRkQMsQ,0.529,0.772,2,-7.013,1,0.0287,2.21e-06,0.316,0.853,91.751,181267,4,Spotify,Holiday Magic,Public G
The Muppets,The Muppets: A Green and Red Christmas,Have Yourself a Merry Little Christmas,7pDQSx6Gee0ZTpLE41ZtXR,0.633,0.304,10,-12.74,1,0.0319,7.7e-05,0.0863,0.196,83.86,229093,4,Spotify,Holiday Magic,Public G
The Temptations,Give Love At Christmas,Silent Night,2mtm0aF6c7Yd66sFaE3ipu,0.512,0.362,0,-9.661,1,0.0267,0.00133,0.0813,0.364,131.427,365720,3,Spotify,Holiday Magic,Public G
Mariah Carey,Merry Christmas,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,0.336,0.627,7,-7.463,1,0.0384,0.0,0.0708,0.35,150.273,241107,4,Spotify,Holiday Magic,Public G
Kidz Bop Kids,KIDZ BOP Christmas,It’s The Most Wonderful Time Of The Year,4LXhkiy0GcyHhXXyscUkeN,0.339,0.692,8,-4.615,1,0.0412,0.0,0.0734,0.773,203.097,150282,3,Spotify,Holiday Magic,Public G
Donny Hathaway,A Donny Hathaway Collection,This Christmas,38xhBO2AKrJnjdjVnhJES6,0.634,0.645,5,-9.2,1,0.0376,0.0,0.246,0.677,93.047,231173,4,Spotify,Holiday Magic,Public G
Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,0.589,0.472,8,-8.749,1,0.0502,0.0,0.505,0.898,67.196,126267,4,Spotify,Holiday Magic,Public G
Wizzard,I Wish It Could Be Christmas Everyday,I Wish It Could Be Christmas Everyday,1mH6tZC6iXIHPI6EixCwxw,0.383,0.914,9,-6.43,1,0.0515,1.4e-05,0.444,0.528,139.955,278947,4,Spotify,Holiday Magic,Public G
Darlene Love,"Christmas (Baby, Please Come Home)",Christmas (Baby Please Come Home),47ohYW8e7dxCYn9qbUMBCI,0.325,0.759,8,-7.146,1,0.053,0.000362,0.0773,0.36,126.627,166453,4,Spotify,Holiday Magic,Public G
George Michael,Twenty Five,Last Christmas - Remastered,6wn2nmFn3wDuiMldRiuRuL,0.757,0.618,11,-7.964,0,0.0282,0.0,0.221,0.861,106.856,267160,4,Spotify,Holiday Magic,Public G
Run–D.M.C.,Tougher Than Leather (Expanded Edition),Christmas In Hollis,41onDks2UPbyjer5fMeUWf,0.819,0.702,11,-6.129,0,0.251,0.000207,0.101,0.573,95.094,178613,4,Spotify,Holiday Magic,Public G
Slade,Crackers,Merry Xmas Everybody,2unvC2MlubBY3GxXqrRW00,0.405,0.752,7,-5.452,1,0.0394,0.0,0.173,0.433,130.228,223684,4,Spotify,Holiday Magic,Public G
Kidz Bop Kids,KIDZ BOP Christmas,Santa Tell Me,4JEdnZJXzjSSHfIo18zbRh,0.555,0.735,5,-5.672,1,0.082,0.0,0.0882,0.73,191.88,178709,4,Spotify,Holiday Magic,Public G
Paul McCartney,McCartney II (Special Edition),Wonderful Christmastime - Edited Version / Remastered 2011,1SV1fxF65n9NhRHp3KlBuu,0.774,0.511,11,-8.914,1,0.0319,0.0,0.0672,0.771,94.736,227653,4,Spotify,Holiday Magic,Public G
Burl Ives,Have A Holly Jolly Christmas,Rudolph The Red-Nosed Reindeer,47otoIkhx3fkdivEXL5OB6,0.67,0.275,0,-12.755,1,0.0385,0.0,0.199,0.806,152.649,130027,4,Spotify,Holiday Magic,Public G
Nat King Cole,The Christmas Song (Expanded Edition),The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,0.319,0.21,1,-15.231,1,0.0341,8.06e-05,0.138,0.209,78.696,192160,4,Spotify,Holiday Magic,Public G
The Waitresses,The Best Of The Waitresses,Christmas Wrapping,3nhzTOc939C4v4ecTEZTPl,0.73,0.548,9,-14.772,1,0.091,0.0,0.0425,0.813,115.607,320800,4,Spotify,Holiday Magic,Public G
Dolly Parton,I Saw Mommy Kissing Santa Claus,I Saw Mommy Kissing Santa Claus,5nD6sYdHB9YEo8gXSVEyMW,0.628,0.554,9,-7.393,1,0.0303,0.0,0.0998,0.822,145.955,164444,4,Spotify,Holiday Magic,Public G
Stevie Wonder,Mono Singles,What Christmas Means To Me,1V0qqWBbIWt8hlAjxTZedR,0.521,0.699,0,-6.961,1,0.0338,0.0,0.1,0.802,83.529,148147,4,Spotify,Holiday Magic,Public G
Daryl Hall & John Oates,Jingle Bell Rock,Jingle Bell Rock - Daryl's Version,6pVW5LRWgeLaHudxauOTJU,0.666,0.841,2,-3.592,1,0.0312,0.0,0.113,0.84,128.706,126360,4,Spotify,Holiday Magic,Public G
Boston Pops Orchestra,White Christmas - A Christmas Festival,White Christmas,16CUCqzVir1o0TPnDZRScr,0.0914,0.0953,0,-20.844,1,0.0432,0.761,0.119,0.0386,87.365,203000,3,Spotify,Holiday Magic,Public G
Alvin & The Chipmunks,Christmas With The Chipmunks (2010),The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,02NKMA9cIkq6VuBNu9q9Wf,0.612,0.37,3,-11.548,1,0.0344,2.98e-06,0.23,0.777,152.548,141467,3,Spotify,Holiday Magic,Public G
Bruce Springsteen,"Santa Claus Is Comin' to Town (Live at C.W. Post College, Greenvale, NY - December 1975)","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",6s2wpWPFPAgKg2LXxi1Oee,0.357,0.668,0,-8.444,1,0.0479,1.37e-06,0.727,0.407,139.986,267600,4,Spotify,Holiday Magic,Public G
Lou Monte,Dominick the Donkey and Other Hits,Dominick the Donkey (The Italian Christmas Donkey),6W332S9Wbc6TOBlChnemKD,0.807,0.473,8,-11.383,1,0.047,0.0,0.179,0.963,113.237,150747,4,Spotify,Holiday Magic,Public G
Various Artists,Dr. Seuss' How The Grinch Stole Christmas! (Original TV Soundtrack),"You're A Mean One, Mr. Grinch",4qP2V09IpTct5A1ZSnr1zh,0.517,0.484,2,-10.93,0,0.318,0.0075,0.129,0.42,141.914,315707,3,Spotify,Holiday Magic,Public G
Ramones,Brain Drain,Merry Christmas (I Don't Want to Fight Tonight),7EGQaR9y8XyKeDW7jiDndI,0.475,0.935,0,-6.454,1,0.0488,2.74e-06,0.222,0.818,151.902,123600,4,Spotify,Holiday Magic,Public G
Billy Squier,"Christmas Is the Time to Say ""I Love You""","Christmas Is The Time To Say ""I Love You""",2NSFg6KZjXOXLOZ3ayZFbV,0.509,0.687,1,-11.207,1,0.0454,0.0,0.874,0.721,104.315,174781,4,Spotify,Holiday Magic,Public G
Eartha Kitt,The Essential Eartha Kitt,Santa Baby,1vZKP9XURuqMp1SpXGnoyb,0.704,0.103,5,-15.056,0,0.0607,0.0,0.192,0.468,84.475,206507,4,Spotify,Holiday Magic,Public G
Various Artists,The Best Christmas Album,(All I Want for Christmas) Is My Two Front Teeth,5XWp2LmqbWr3bspJCFcoCa,0.661,0.228,10,-11.961,1,0.302,3.57e-05,0.17,0.797,137.482,192000,3,Spotify,Holiday Magic,Public G
John Denver,A Christmas Together,Twelve Days Of Christmas,72BraAeVGy3b1fg9GHs7sI,0.599,0.184,0,-16.435,1,0.0542,0.0,0.122,0.537,121.822,263947,4,Spotify,Holiday Magic,Public G
John Williams,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,0.418,0.106,8,-22.507,0,0.0448,0.0292,0.179,0.8,46.718,85267,4,Spotify,Holiday Magic,Public G
Elmo & Patsy,Grandma Got Run Over By A Reindeer,Grandma Got Run over by a Reindeer,49iHYFjT5yO6WEw6KerX9o,0.781,0.53,4,-14.848,1,0.0685,0.0,0.106,0.817,110.157,206360,4,Spotify,Holiday Magic,Public G
Band Aid 20,Do They Know It's Christmas?,Do They Know It's Christmas? - 1984 Version,0247StOpd3AkeBQzANX4Zf,0.599,0.642,0,-6.936,1,0.0363,3.33e-05,0.0992,0.349,115.412,222533,4,Spotify,Holiday Magic,Public G
*NSYNC,Home For Christmas,"Merry Christmas, Happy Holidays",4v9WbaxW8HdjqfUiWYWsII,0.643,0.939,5,-3.967,1,0.0463,0.0,0.881,0.756,104.999,255307,4,Spotify,Holiday Magic,Public G
John Lennon,Signature Box,Happy Xmas (War Is Over) - Remastered 2010,27RYrbL6S02LNVhDWVl38b,0.321,0.64,2,-10.023,1,0.0324,0.0,0.718,0.414,146.172,214333,3,Spotify,Holiday Magic,Public G
Various Artists,A Very Special Christmas,Christmas (Baby Please Come Home),6CT7ZQKVafBZjCOCafy5Ad,0.281,0.802,8,-9.423,1,0.0498,0.000425,0.436,0.5,140.65,139760,4,Spotify,Holiday Magic,Public G
Gayla Peevey,I Want a Hippopotamus for Christmas (Hippo the Hero),I Want a Hippopotamus for Christmas (Hippo the Hero),5P8Xvy5tzhmfyfA6GplQ8h,0.853,0.338,7,-9.124,1,0.0491,0.00602,0.135,0.927,113.881,155467,4,Spotify,Holiday Magic,Public G
The Beach Boys,The Beach Boys' Christmas Album,Little Saint Nick - 1991 Remix,5xlS0QkVrSH7ssEbBgBzbM,0.602,0.553,11,-9.336,1,0.0328,0.0,0.0512,0.971,130.594,118840,4,Spotify,Holiday Magic,Public G
Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,77khP2fIVhSW23NwxrRluh,0.683,0.375,0,-13.056,1,0.0303,0.0,0.076,0.888,140.467,135533,4,Spotify,Holiday Magic,Public G
Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version,25leEEaz1gIpp7o21Fqyjo,0.834,0.371,1,-11.99,1,0.0358,0.0,0.275,0.976,96.628,150267,4,Spotify,Holiday Magic,Public G
Nat King Cole,The Christmas Song (Expanded Edition),The Happiest Christmas Tree,5aJP0MZjb8LtPAT5WicCZm,0.499,0.456,0,-11.528,1,0.4,0.0,0.861,0.94,205.882,103747,4,Spotify,Holiday Magic,Public G
Various Artists,The Muppet Christmas Carol (Special Anniversary Edition),One More Sleep ’til Christmas,4ZEUe2d1foQdbsNdgQXZlS,0.535,0.155,7,-15.674,1,0.0315,0.00111,0.114,0.454,93.951,170293,4,Spotify,Holiday Magic,Public G
Vince Guaraldi Trio,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],O Tannenbaum,4YhY2qHdBmSX33uj8ms0oq,0.583,0.191,5,-15.938,1,0.0404,0.00824,0.126,0.342,123.303,309387,4,Spotify,Holiday Magic,Public G
Spike Jones,Spike Jones Presents A Xmas Spectacular,Jingle Bells Medley: Santa Claus Is Comin' To Town / The Christmas Song / Jingle Bells,72idMn1SuO6w3yXy8yOPwq,0.484,0.624,8,-6.216,1,0.0488,0.0,0.118,0.656,131.675,244267,4,Spotify,Holiday Magic,Public G
Nat King Cole,The Christmas Song (Expanded Edition),Deck The Halls,0rHToGels2lt8Y0mCYoF90,0.684,0.437,9,-10.522,1,0.0491,1.58e-05,0.224,0.964,107.607,68760,4,Spotify,Holiday Magic,Public G
Pretenders,Learning to Crawl (Expanded & Remastered),2000 Miles - 2007 Remaster,5wTM2Bm8phDwHAuOsfBwhU,0.22,0.708,7,-9.051,1,0.035,0.0267,0.102,0.453,66.214,220427,4,Spotify,Holiday Magic,Public G
John Denver,A Christmas Together,We Wish You A Merry Christmas,0Xrev0e2wVRSkq84SJiEMg,0.677,0.353,9,-15.636,1,0.0716,0.0,0.0904,0.777,84.535,65347,1,Spotify,Holiday Magic,Public G
The McGuire Sisters,The McGuire Sisters Greatest Hits,Christmas Alphabet,7s7e8daLJ9Uw1NBXlZlkwf,0.843,0.205,8,-12.582,1,0.0428,0.0,0.341,0.631,85.206,130000,4,Spotify,Holiday Magic,Public G
Elvis Presley,Elvis' Christmas Album,Blue Christmas,3QiAAp20rPC3dcAtKtMaqQ,0.465,0.27,4,-16.661,1,0.0425,0.00104,0.145,0.58,94.518,129173,4,Spotify,Holiday Magic,Public G
Bob Rivers,Bob Rivers & Twisted Radio - Twisted Christmas Boxed Set,Didn't I Get This Last Year?,0kPLIXhrliRxKHjCb6kxdP,0.508,0.491,7,-10.75,1,0.0306,0.0,0.34,0.535,108.149,202027,4,Spotify,Holiday Magic,Public G
José Feliciano,Feliz Navidad,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,0.513,0.831,2,-9.004,1,0.0383,0.0,0.336,0.963,148.837,182067,4,Spotify,Holiday Magic,Public G
Slade,Merry Xmas Everybody,Merry Xmas Everybody,4dBQWyoZmmgvFBlALGlqZi,0.405,0.752,7,-5.452,1,0.0394,0.0,0.173,0.433,130.228,223684,4,Spotify,Holiday Magic,Public G
Various Artists,Holiday 2020,What Christmas Means To Me,1jSi8wHEny7WwvBeA7KMpA,0.524,0.614,0,-8.05,1,0.0363,0.0,0.0802,0.751,82.229,147800,4,Spotify,Holiday Magic,Public G
Bing Crosby,White Christmas,Mele Kalikimaka (Merry Christmas),04vLj9QUXoKdRlsp3gkURo,0.5,0.224,3,-12.431,1,0.0935,0.0,0.284,0.62,202.481,175333,4,Spotify,Holiday Magic,Public G
