artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V,0.778,0.824,10,-5.892,0,0.0707,0,0.405,0.758,100.024,218093,4,Spotify,Raised on Latin,Public H
Daddy Yankee,Barrio Fino (Bonus Track Version),Gasolina,228BxWXUYQPJrJYHDLOHkj,0.852,0.797,0,-6.543,1,0.0614,2.69e-06,0.0845,0.741,96.008,192600,4,Spotify,Raised on Latin,Public H
Don Omar,Meet The Orphans,Danza Kuduro,2a1o6ZejUi8U3wzzOtCOYw,0.4,0.915,0,-4.89,1,0.28,0,0.0503,0.878,88.917,198773,3,Spotify,Raised on Latin,Public H
Maná,¿Dónde Jugarán Los Niños?,Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,0.543,0.903,11,-6.658,0,0.039,0.00585,0.0862,0.962,162.241,263306,4,Spotify,Raised on Latin,Public H
Marc Anthony,3.0,Vivir Mi Vida,3QHMxEOAGD51PDlbFPHLyJ,0.656,0.877,0,-3.231,0,0.0342,0,0.349,0.894,105.018,252347,4,Spotify,Raised on Latin,Public H
Aventura,We Broke The Rules,Obsesion,65H6t1WQBim6q93yM8fEwn,0.804,0.56,1,-6.912,0,0.0397,0,0.0608,0.768,133.682,254720,4,Spotify,Raised on Latin,Public H
Luis Enrique,Ciclos,Yo No Sé Mañana,7nDIflSHQXzaa8zupxwv3U,0.653,0.827,4,-3.206,0,0.042,0,0.18,0.733,95.223,259853,4,Spotify,Raised on Latin,Public H
Big Boy,Mis Ojos Lloran Por Ti,Mis Ojos Lloran Por Ti,4fFgpzgSkmn3wajioLBPOr,0.794,0.831,8,-9.235,1,0.331,1.12e-06,0.11,0.328,172.407,295533,4,Spotify,Raised on Latin,Public H
Daddy Yankee,Barrio Fino (Bonus Track Version),"Lo Que Pasó, Pasó",26QKsGW4hMuwiEE1ftUMHe,0.819,0.741,8,-6.538,0,0.0412,0,0.283,0.84,97.014,210933,4,Spotify,Raised on Latin,Public H
Shakira,Laundry Service,"Whenever, Wherever",2lnzGkdtDj5mtlcOW2yRtG,0.794,0.832,1,-4.862,0,0.0407,1.14e-05,0.203,0.871,107.657,196160,4,Spotify,Raised on Latin,Public H
