artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Makaya McCraven,In These Times,Dream Another,7vrUr4ik4xw8ukdGdQ1v9Q,0.534,0.552,1,-10.467,0,0.0333,0.923,0.0842,0.966,150.711,192938,4,Spotify,Best Jazz Songs of 2022,Public I
Immanuel Wilkins,The 7th Hand,Don't Break,1LBemY1Vmr78TYltVOiX2N,0.457,0.645,1,-11.235,1,0.0946,0.898,0.116,0.675,177.678,214433,3,Spotify,Best Jazz Songs of 2022,Public I
DOMi & JD BECK,NOT TiGHT,SMiLE,1HJXdfuWc6IlKBMLtITaHD,0.774,0.512,10,-11.061,0,0.0453,0.939,0.105,0.709,96.028,191361,5,Spotify,Best Jazz Songs of 2022,Public I
Nduduzo Makhathini,In The Spirit Of Ntu,Mama,32EOILWXWu3WGo56PmM9UG,0.362,0.374,4,-13.627,0,0.0421,0.0728,0.112,0.155,91.589,421207,3,Spotify,Best Jazz Songs of 2022,Public I
Julius Rodriguez,Let Sound Tell All,Gift Of The Moon,4FRz9yGVMIdeFHwdToHE0t,0.479,0.565,0,-11.798,0,0.0355,0.438,0.425,0.236,114.264,178925,4,Spotify,Best Jazz Songs of 2022,Public I
The Comet Is Coming,Hyper-Dimensional Expansion Beam,CODE,7mf1jqnFX2jgZg9bgK8V6r,0.637,0.928,9,-6.527,1,0.0732,0.783,0.072,0.589,127.469,255264,4,Spotify,Best Jazz Songs of 2022,Public I
Adrian Younge,Jazz Is Dead 011,The Avenues,4S9x6X8aX0mV4IWvckW5QC,0.246,0.767,0,-7.142,0,0.0351,0.921,0.269,0.675,170.826,257240,4,Spotify,Best Jazz Songs of 2022,Public I
Kokoroko,Could We Be More,Something's Going On,5MeG3sTzj1EBYSrlU5qp0p,0.349,0.676,1,-10.861,1,0.0623,0.523,0.131,0.505,86.374,312093,4,Spotify,Best Jazz Songs of 2022,Public I
Marialy Pacheco,Reload,Reload,2t6CjjlQr9rBrXUiZgDR5M,0.587,0.531,6,-12.414,1,0.0523,0.772,0.0563,0.723,114.975,446960,4,Spotify,Best Jazz Songs of 2022,Public I
Snarky Puppy,Empire Central,Trinity,1mO6jUnWeWtVYRXGoGFI70,0.539,0.648,1,-8.474,0,0.0535,0.779,0.114,0.402,159.91,474310,4,Spotify,Best Jazz Songs of 2022,Public I
Blue Lab Beats,Motherland Journey,Warp,0U9hekAvk594eG77ipTLDR,0.461,0.838,8,-6.582,0,0.0609,0.815,0.0915,0.358,154.712,265023,4,Spotify,Best Jazz Songs of 2022,Public I
Brandee Younger,Unrest,Unrest II,5n2ungarkfmrpDS5VhKja6,0.276,0.525,2,-14.073,0,0.0449,0.85,0.108,0.385,168.833,248562,4,Spotify,Best Jazz Songs of 2022,Public I
Butcher Brown,Butcher Brown Presents Triple Trey,Lawd Why,39VnaoDW2jT2QuWQ3gk9j2,0.533,0.786,7,-7.295,1,0.179,1.66e-05,0.0625,0.466,81.946,205720,4,Spotify,Best Jazz Songs of 2022,Public I
Anomalie,Galerie,Dribble,0byQBl2ojtZxpNCMCVdCCj,0.575,0.601,11,-9.812,1,0.0612,0.573,0.126,0.525,81.97,210572,4,Spotify,Best Jazz Songs of 2022,Public I
Gerald Clayton,Bells On Sand,That Roy,7G035a84qdhNfjm2pV29Zx,0.553,0.261,11,-12.621,1,0.0378,0.925,0.084,0.197,90.204,136320,3,Spotify,Best Jazz Songs of 2022,Public I
Marquis Hill,Black Alchemy/Hall of Mirrors,Black Alchemy/Hall of Mirrors,36tF6eoNw42PF9KsHV25wg,0.477,0.731,1,-10.907,1,0.0948,0.0922,0.12,0.713,133.99,360875,4,Spotify,Best Jazz Songs of 2022,Public I
Joshua Redman,"LongGone (feat. Brad Mehldau, Christian McBride & Brian Blade)",Disco Ears,5li75DMlmHshiqcMStzxhF,0.524,0.552,5,-11.635,1,0.0322,0.827,0.085,0.486,119.448,381160,4,Spotify,Best Jazz Songs of 2022,Public I
Pachakuti,Dédalo,Bajrangbali,6dHZsOuOsmLSTs1PAyl0aj,0.734,0.559,9,-9.442,0,0.0309,0.907,0.123,0.807,131.964,212933,4,Spotify,Best Jazz Songs of 2022,Public I
Theo Croker,LOVE QUANTUM,SOMETHIN' (feat. Ego Ella May),5Uq45pwM3VHj9PeWDyjWLR,0.524,0.485,5,-9.549,0,0.0426,0.00633,0.233,0.316,90.129,190027,4,Spotify,Best Jazz Songs of 2022,Public I
Cory Weeds,Just Coolin',Beep Durple,0jpQ9EDSXQUiLyek5i6WYM,0.603,0.469,2,-10.352,0,0.0369,0.842,0.101,0.878,85.294,380631,4,Spotify,Best Jazz Songs of 2022,Public I
Theon Cross,Wings / Back To Africa,Wings,3hUngNsqq838qYdEQrMEcg,0.332,0.892,1,-6.157,1,0.0699,0.759,0.0801,0.82,91.43,330875,4,Spotify,Best Jazz Songs of 2022,Public I
Portico Quartet,Next Stop,Captured Time,4n4uG6LLOH4xab3V7fbrO7,0.413,0.678,5,-9.512,1,0.0311,0.95,0.122,0.0811,79.99,264360,4,Spotify,Best Jazz Songs of 2022,Public I
Melissa Aldana,12 Stars,Falling,1AZO8tYXvWlrkoaytSJNXu,0.439,0.291,8,-13.473,1,0.0336,0.378,0.103,0.278,112.727,381926,4,Spotify,Best Jazz Songs of 2022,Public I
Kansado,Futuro Tumbao II,El Neo Songo,16cB05rfZF8GYqwtSPkXuy,0.701,0.575,6,-10.158,0,0.0544,0.569,0.281,0.344,92.017,187826,4,Spotify,Best Jazz Songs of 2022,Public I
Greg Spero,The Chicago Experiment,The Chant,1Fs2kqyfm1wnFE83eIAqF7,0.647,0.504,1,-11.259,1,0.195,0.856,0.0874,0.293,84.149,266453,4,Spotify,Best Jazz Songs of 2022,Public I
Joey Alexander,Origin,Remembering,1Iqeeci1aIDfZpelLxMSni,0.401,0.349,5,-14.746,0,0.0359,0.882,0.129,0.297,128.818,344295,4,Spotify,Best Jazz Songs of 2022,Public I
Kamasi Washington,The Garden Path,The Garden Path,31KtddFzLJobEIyxBHT3gS,0.428,0.903,6,-8.874,0,0.0869,0.534,0.179,0.4,150.167,400171,4,Spotify,Best Jazz Songs of 2022,Public I
Somi,Zenzile: The Reimagination of Miriam Makeba,Jike'lemaweni,2ORBalkbIaHkQyAPIyd4Qq,0.755,0.63,5,-8.189,0,0.0842,0.0,0.268,0.792,112.942,268212,4,Spotify,Best Jazz Songs of 2022,Public I
Connie Han,Secrets of Inanna,Ereshkigal of the Underworld,7KVWQzXYf9m2xo2R7A1e38,0.374,0.479,0,-15.025,1,0.0312,0.933,0.164,0.583,108.786,181320,5,Spotify,Best Jazz Songs of 2022,Public I
Christian McBride,The Q Sessions,Brouhaha,5d6C0v7ir8lVRCymD9X2Ss,0.533,0.465,5,-10.221,0,0.0687,0.479,0.147,0.713,117.416,296666,4,Spotify,Best Jazz Songs of 2022,Public I
Alexander Flood,The Space Between,LDN,5EcuMsEpZ3K9HLsdS03oq4,0.641,0.859,11,-7.669,0,0.0456,0.804,0.103,0.157,114.985,448974,4,Spotify,Best Jazz Songs of 2022,Public I
Grace Kelly,A Night in Tunisia,A Night In Tunisia,1MMywhwJKpbVZeDlBAzOAH,0.806,0.55,7,-11.646,1,0.121,0.902,0.1,0.603,120.0,254506,4,Spotify,Best Jazz Songs of 2022,Public I
The JuJu Exchange,Walk Cycle,Walk Cycle,6zX73swV0JYKmOUSBpqLSt,0.525,0.61,5,-9.312,0,0.0441,0.901,0.102,0.538,85.028,192013,4,Spotify,Best Jazz Songs of 2022,Public I
Anne Paceo,S.H.A.M.A.N.E.S,Reste un oiseau,2EJF3EdnuLtLNVNafgP08h,0.368,0.297,0,-12.584,1,0.0342,0.421,0.112,0.304,172.846,195778,4,Spotify,Best Jazz Songs of 2022,Public I
Kiefer,Why Not? / Montara,Why Not?,0mhDVzQgnwtrY1JnDqz7KQ,0.613,0.697,7,-9.788,1,0.0443,0.728,0.829,0.615,102.435,330089,4,Spotify,Best Jazz Songs of 2022,Public I
Dhafer Youssef,Ondes of chakras,Ondes of Chakras,0XuzuAyCGR3fSO6q7f9gEf,0.496,0.292,4,-18.884,0,0.0303,0.939,0.0714,0.489,116.393,377232,3,Spotify,Best Jazz Songs of 2022,Public I
GoGo Penguin,Ascent,Ascent,5FHITxNz6XuYTfSnyqMVGR,0.439,0.477,10,-12.852,0,0.0354,0.796,0.106,0.487,118.507,280401,4,Spotify,Best Jazz Songs of 2022,Public I
Lucas Figueiredo Santana,Ambivalence,Faith,6IaE8Jw1Wm5GyXjDZT3gOk,0.452,0.423,7,-13.099,0,0.043,0.814,0.33,0.495,118.735,513613,4,Spotify,Best Jazz Songs of 2022,Public I
Antonio Sánchez,"SHIFT (Bad Hombre, Vol. II)","Eh Hee 2.0 (feat. Dave Matthews, Pat Metheny)",5N9bcA6tfDSDCcymXQlqqn,0.448,0.572,10,-8.245,0,0.0833,8.83e-06,0.153,0.521,82.583,268466,4,Spotify,Best Jazz Songs of 2022,Public I
Ezra Collective,Where I'm Meant To Be,Victory Dance,7y4FhiHBPKB6EqFQV66CDR,0.663,0.754,4,-10.077,0,0.0584,0.859,0.0544,0.499,138.032,295893,4,Spotify,Best Jazz Songs of 2022,Public I
