artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ludovico Einaudi,In A Time Lapse (Deluxe Edition),Experience,4BTPwdNcGQK2GQxwvKkiZI,0.447,0.449,2,-10.634,1,0.0376,0.961,0.0697,0.036,92.468,315427,4,Spotify,hopeless romantic,Public J
Vitamin String Quartet,Bridgerton (Covers from the Netflix Original Series),Wildest Dreams,2fuiA0FQANMrcr2jXMc0nP,0.45,0.275,8,-11.48,1,0.0374,0.0711,0.0847,0.311,140.094,203293,4,Spotify,hopeless romantic,Public J
Vitamin String Quartet,"Geek Wedding, Vol. 2: The Sequel",Howl's Moving Castle - Merry-Go-Round of Life,20nMssNxX89e7YMoT0gpFQ,0.258,0.179,2,-13.822,0,0.0454,4.49e-05,0.0709,0.446,72.795,184875,3,Spotify,hopeless romantic,Public J
Max Richter,"Recomposed By Max Richter: Vivaldi, The Four Seasons",Spring 1 - 2012,4gmhjAsvL6c7se2PBh7dHw,0.701,0.341,1,-12.26,0,0.0418,0.903,0.359,0.163,105.513,151507,3,Spotify,hopeless romantic,Public J
James Newton Howard,A Hidden Life (Original Motion Picture Soundtrack),A Hidden Life,6VhExWbPovba3QfMY1sw7U,0.0975,0.0483,5,-27.155,0,0.0473,0.305,0.0928,0.0601,81.53,170653,4,Spotify,hopeless romantic,Public J
Ludwig van Beethoven,Beethoven Trilogy 2: Childhood,"Piano Sonata in C Major, WoO 51: II. Adagio",7EmiVtjY6KsnDgroaePON5,0.194,0.0269,5,-34.472,1,0.0413,0.963,0.0626,0.137,171.966,150907,4,Spotify,hopeless romantic,Public J
Alexander Joseph,Für Elise - Reimagined,Für Elise - Reimagined,6z720DAWxYJL5SacdZLlEN,0.202,0.161,10,-22.956,0,0.0484,0.891,0.134,0.187,166.287,360196,4,Spotify,hopeless romantic,Public J
Tristan Seewer,À Bout de Souffle,À Bout de Souffle,3IbO32QxBvn6bgyzjmqsJy,0.14,0.166,10,-18.0,0,0.0401,0.817,0.392,0.0369,74.41,144604,4,Spotify,hopeless romantic,Public J
Dario Marianelli,Pride and Prejudice - OST,"Dawn - From ""Pride & Prejudice"" Soundtrack",2k2MprlqkmDMKKOOWGREzW,0.332,0.0525,0,-24.1,1,0.0388,0.891,0.0683,0.097,78.853,158600,3,Spotify,hopeless romantic,Public J
Michael Forster,Piano Chill,Cornfield Chase - Piano-Cello Version,0dn7lN2ky5BnUJNoELXh3i,0.325,0.216,9,-17.214,0,0.0352,0.861,0.128,0.109,99.635,124453,3,Spotify,hopeless romantic,Public J
Original Soundtrack,Becoming Jane,First Impressions,09I7DjJtkvTPORULHE7yCY,0.163,0.021,5,-26.363,1,0.0478,0.884,0.0868,0.0367,129.627,145173,4,Spotify,hopeless romantic,Public J
Peter Gregson,Bach: The Cello Suites - Recomposed by Peter Gregson,6.6 Gigue,6yPUtBVbbSpp7khUpcmcDu,0.374,0.351,2,-10.522,1,0.044,0.71,0.103,0.0852,82.56,168676,4,Spotify,hopeless romantic,Public J
Various Artists,"Film Music - Williams, J. / Barry, J. / Bacharach, B. / Nyman, M. / Lloyd Webber, A. / Armstrong, C. (Film Harmonic) (Royal Philharmonic)",Romeo + Juliet (arr. P. Bateman): Romeo and Juliet: The Balcony Scene (arr. P. Bateman for piano and orchestra),5FOHBhUtWl2x5Z6qflA8nd,0.147,0.0457,0,-19.188,1,0.042,0.927,0.106,0.0364,138.942,349920,1,Spotify,hopeless romantic,Public J
Various Artists,Hollywood '96 (Themes From The Year's Biggest Films),"Theme - From ""Emma""",06mi7oiYv5pftvpFU784jc,0.155,0.0612,7,-21.803,1,0.0439,0.868,0.0978,0.0361,91.989,179493,3,Spotify,hopeless romantic,Public J
Gabriel Fauré,Fauré: Dolly Suite; Nocturnes; Barcarolles; Impromptus,"Dolly, Op. 56: 1. Berceuse",3NbAsIxDL0fVgNuCLD152P,0.37,0.0076,4,-33.663,1,0.0384,0.91,0.0864,0.278,62.668,176518,4,Spotify,hopeless romantic,Public J
William Howard,Sixteen Contemporary Love Songs for Piano,Roses in a Box,20BUmbjIRXr7MnGjNaC2R2,0.19,0.02,11,-33.983,0,0.0489,0.897,0.118,0.114,214.261,221401,4,Spotify,hopeless romantic,Public J
Christopher Willis,The Personal History of David Copperfield (Original Motion Picture Soundtrack),David's Writings,4Q0VPrw0jgRB7onKAtRnFG,0.299,0.357,1,-13.535,0,0.0325,0.91,0.143,0.0391,92.314,177773,4,Spotify,hopeless romantic,Public J
James Horner,Titanic: Original Motion Picture Soundtrack - Collector's Anniversary Edition,The Portrait,0yIM3MDx8UTwueyoZJobsb,0.297,0.0214,5,-32.398,1,0.0658,0.934,0.0652,0.132,212.349,283227,4,Spotify,hopeless romantic,Public J
John Debney,The Princess Diaries,The Princess Diaries Waltz - Score,60vDJQPOMYUkL388zPpuNT,0.253,0.151,9,-18.081,1,0.0345,0.909,0.121,0.151,136.754,129000,5,Spotify,hopeless romantic,Public J
Music Lab Collective,Adore You (arr. string quartet) [Inspired by ‘Bridgerton’],Adore You (arr. string quartet) - Inspired by ‘Bridgerton’,0ovIP1mWermyLY91w6SMnh,0.416,0.197,0,-10.952,0,0.0314,0.678,0.0892,0.479,99.929,198411,4,Spotify,hopeless romantic,Public J
Antonio Vivaldi,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)","Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",3Dgmyz32dxvtxvUTPS0CUI,0.429,0.258,7,-16.967,0,0.0549,0.893,0.115,0.0972,78.809,112353,1,Spotify,hopeless romantic,Public J
Alessio Bax,Lullabies for Mila,"Sheep May Safely Graze, BWV 208 (arr. Egon Petri)",2md3xXPRJz9dIyFZi8MNyY,0.415,0.00977,10,-35.055,1,0.0409,0.965,0.11,0.142,91.468,318320,4,Spotify,hopeless romantic,Public J
Various Artists,Bridgerton Season Two (Covers from the Netflix Series),You Oughta Know,6eZXxcFFDaAcAli6LsEJdF,0.243,0.11,4,-20.122,1,0.0441,0.894,0.142,0.0386,83.265,167610,4,Spotify,hopeless romantic,Public J
Jean-Michel Blais,aubades,amour,47kA4ykK0Rlwjf8oV2HMo7,0.175,0.212,6,-14.073,1,0.0374,0.86,0.0979,0.128,132.026,277853,3,Spotify,hopeless romantic,Public J
Martin Phipps,The Aftermath (Original Motion Picture Soundtrack),"New Start - From BBC Series ""North & South""",50MGKn5CGI8es0itdbs851,0.0797,0.0543,7,-17.539,1,0.0393,0.825,0.0951,0.0361,81.466,221669,4,Spotify,hopeless romantic,Public J
