artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
John Mayer,Daughters,Daughters,6J3PYJ5mpscGmSFF6ANYDQ,0.687,0.404,2,-7.762,1,0.0272,4.05e-05,0.0957,0.509,124.912,237960,3,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Room For Squares,Why Georgia,1c7UYTut2SBOPq64o2t0uN,0.608,0.639,7,-7.205,1,0.0246,5.94e-05,0.0893,0.369,96.915,268973,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Room For Squares,Your Body Is a Wonderland,7vFv0yFGMJW3qVXbAd9BK9,0.647,0.729,5,-6.251,1,0.0236,0.0489,0.134,0.687,94.01,249627,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Room For Squares,Neon,7Kohy4v3KLWfUXlv9N3feB,0.699,0.77,5,-7.658,0,0.036,0.000138,0.0644,0.589,101.984,262107,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Battle Studies,Heartbreak Warfare,4gs07VlJST4bdxGbBsXVue,0.624,0.554,2,-8.113,1,0.0225,0.00131,0.299,0.311,97.031,269720,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Battle Studies,Who Says,0HLWvLKQWpFdPhgk6ym58n,0.584,0.509,2,-13.109,1,0.0287,0.00252,0.36,0.367,90.457,175480,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Paradise Valley,Wildfire,0QTCTu0CXv4X1JEE4gNpGv,0.719,0.665,8,-8.589,1,0.0331,0.00092,0.144,0.763,96.999,253493,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Paradise Valley,Paper Doll,5FDh0G5oQ2UD9JxWiDCT1x,0.658,0.475,7,-11.703,1,0.0292,0.0067,0.176,0.685,153.851,257387,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,0.578,0.756,2,-5.82,1,0.115,0.000232,0.249,0.663,176.739,201173,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,Belief,35LDid9nvuYrUyZk5qGD0i,0.664,0.735,5,-8.024,1,0.0343,0.0413,0.0801,0.841,101.346,242333,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,Gravity,3SktMqZmo3M9zbB7oKMIF7,0.753,0.326,7,-9.883,1,0.0342,0.00131,0.24,0.237,123.799,245827,3,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,Slow Dancing in a Burning Room,2jdAk8ATWIL3dwT47XpRfu,0.667,0.361,1,-8.69,0,0.0273,0.00506,0.0805,0.29,134.018,242000,5,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Abbey Road,A Tribute to The Beatles - 1967-1970,Blackbird,0fjC5oPaAgTsa5nfvJXAuK,0.576,0.291,7,-11.158,1,0.0298,0.0,0.0892,0.356,93.987,141413,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,Continuum,Dreaming with a Broken Heart,7keXdrB4mz57u4b8YkCwag,0.61,0.349,0,-9.321,1,0.0301,0.0099,0.201,0.155,136.012,245747,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Paramore,Paramore,Hate to See Your Heart Break,3AX4HIRJY6GT6tgMkO5987,0.592,0.656,5,-8.007,1,0.0262,4.11e-05,0.117,0.436,102.991,309293,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Paramore,Paramore,Last Hope,2VBluJiNj9bKohWX0dY1Lh,0.465,0.711,5,-6.178,1,0.0265,0.000548,0.164,0.255,101.46,309973,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Ghost Stories,A Sky Full of Stars,4M6PvHNTNmWs9BTX75knv5,0.551,0.636,6,-7.125,1,0.0281,0.00203,0.217,0.153,124.996,268467,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
John Mayer,XO,XO,7cpCU3Denug5NGZsSpQl8v,0.431,0.377,2,-9.753,1,0.0288,0.0,0.211,0.353,173.67,213627,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Valgur,Trébol,Miel,7y8nxoxXypR8T4aIvowfwK,0.744,0.228,0,-13.929,1,0.0325,5.27e-05,0.0864,0.441,100.082,250107,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
George Ezra,Wanted on Voyage,Budapest,7GJClzimvMSghjcrKxuf1M,0.714,0.451,5,-8.268,1,0.0276,0.0,0.108,0.406,127.787,200720,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Passenger,All The Little Lights,Let Her Go,7DFNE7NO0raLIUbgzY2rzm,0.509,0.538,7,-7.335,1,0.0572,0.0,0.104,0.244,75.089,252867,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Viva La Vida or Death and All His Friends,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,3.23e-06,0.109,0.417,138.015,242373,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
Coldplay,Mylo Xyloto,Princess of China,4HXOBjwv2RnLpGG4xWOO6N,0.42,0.69,9,-6.221,0,0.0347,0.015,0.287,0.237,85.014,239216,4,Edith Carolina Gomez Sanchez,chill out,Edith Gomez
