artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Common Kings,Summer Anthems,Alcoholic,1hUekE1ArfXmZGK3eeb5Pb,0.597,0.604,6,-10.154,0,0.222,0,0.172,0.951,72.704,170027,4,Spotify,Wade In Your Water Radio,Eliza
Nesian N.I.N.E.,Press Play,You Baby,2ewJuyk4eWf3G8arju6AvU,0.861,0.597,0,-5.754,0,0.0673,0,0.101,0.81,124.998,215053,4,Spotify,Wade In Your Water Radio,Eliza
Lomez Brown,Sweet Lover,Sweet Lover,5FwJTGPejXDWPakMzG0zxW,0.971,0.498,6,-6.201,1,0.0584,0,0.0295,0.904,110.029,222500,4,Spotify,Wade In Your Water Radio,Eliza
MAGIC!,Don't Kill the Magic,Let Your Hair Down,0uQSHrFDVtbQyxNFCwm1EC,0.649,0.592,10,-6.924,1,0.0497,0.000529,0.182,0.466,148.01,265693,4,Spotify,Wade In Your Water Radio,Eliza
Deach,Be with You,Be with You,5IpkgmIfXyuB9KVAdmirz4,0.661,0.532,0,-7.401,1,0.3,0,0.157,0.803,179.864,242667,4,Spotify,Wade In Your Water Radio,Eliza
Common Kings,Hits & Mrs,Before You Go,0lMwaf3vDIAfv8ZOhnXCSG,0.627,0.686,0,-8.48,1,0.0502,0,0.192,0.588,87.021,191000,4,Spotify,Wade In Your Water Radio,Eliza
The Green,The Green,Love I,4H1aZMAqnzICsnFVDf6Lxc,0.848,0.463,7,-9.009,1,0.0854,0,0.103,0.948,133.0,218240,4,Spotify,Wade In Your Water Radio,Eliza
Katchafire,Down With You - Single,Down With You,4hd7l6rGzpqVL4PwHRamrA,0.782,0.606,0,-5.742,1,0.0623,0,0.0648,0.871,77.517,210051,4,Spotify,Wade In Your Water Radio,Eliza
Adeaze,Always & for Real,A Life with You,61uQYPlrQ9BGusRmLKoEDE,0.562,0.546,9,-6.24,1,0.0281,0,0.14,0.375,126.039,274293,4,Spotify,Wade In Your Water Radio,Eliza
Shaggy,"Out Of Many, One Music",You Girl (feat. Ne-Yo),6N7xh7rXiGyrU3B9MewF2z,0.769,0.652,6,-5.09,0,0.117,0,0.0467,0.923,79.146,245133,4,Spotify,Wade In Your Water Radio,Eliza
Common Kings,Summer Anthems,She’s a Professional,0DL2BnZPksVzCKaNoTcs1V,0.663,0.566,10,-8.475,1,0.249,0,0.143,0.827,84.031,200840,4,Spotify,Wade In Your Water Radio,Eliza
Three Houses Down,Love & Affection,Love & Affection,3kbrIhpuDBQPr7E9r2VWPR,0.643,0.585,4,-5.969,0,0.244,0,0.0942,0.678,80.062,223360,4,Spotify,Wade In Your Water Radio,Eliza
Josh WaWa White,Line Em Up,Movin' About My Ways (feat. Dak),6AAgV2gjVmiv9x45AAA8EP,0.861,0.238,7,-11.367,1,0.147,2.13e-06,0.0257,0.792,90.009,289072,4,Spotify,Wade In Your Water Radio,Eliza
Nesian Mystik,Elevator Musiq,Mr Mista,3Lw3CevoovMWjPXX6KHSH8,0.742,0.696,6,-4.077,0,0.0527,0,0.0924,0.905,95.007,254707,4,Spotify,Wade In Your Water Radio,Eliza
Lomez Brown,Just so Fyne (Remastered),Luvin Comes Down - Remastered,0LYcVL9WtHak9HR4UHWjhz,0.749,0.527,7,-7.859,1,0.0762,1.76e-05,0.217,0.716,160.004,275500,4,Spotify,Wade In Your Water Radio,Eliza
Common Kings,Hits & Mrs,Since I Woke Up,4qJbmR0S20KT0DkZLNGk4G,0.688,0.673,3,-6.279,0,0.0955,0,0.157,0.61,150.025,232013,4,Spotify,Wade In Your Water Radio,Eliza
Akoostikz,Run Come Your Love,Run Come Your Love,2e0VGbVH40D8eIrbeCGbAZ,0.714,0.53,9,-10.154,1,0.118,0,0.0849,0.627,150.019,204194,4,Spotify,Wade In Your Water Radio,Eliza
Katchafire,Say What You're Thinking,Love Letter,6swAqbmAJ7m19IxoHK1y5Z,0.824,0.584,7,-4.188,1,0.0536,0.115,0.081,0.971,145.016,213733,4,Spotify,Wade In Your Water Radio,Eliza
Deach,Tell No Lie,Tell No Lie,5wavp0humcxJoOPsdsZh1d,0.778,0.678,0,-7.456,1,0.167,0,0.186,0.436,77.454,201290,4,Spotify,Wade In Your Water Radio,Eliza
Nesian N.I.N.E.,Press Play,Be Your Man,0UxGJcWb5MGtAu1vycuEbJ,0.789,0.495,11,-7.556,0,0.0794,0.000109,0.0646,0.232,81.315,219787,4,Spotify,Wade In Your Water Radio,Eliza
Common Kings,Summer Anthems,Wade In Your Water,6DoYk3QIvkDs60S1d01vbx,0.598,0.687,7,-9.021,1,0.0955,0,0.112,0.626,75.169,184013,4,Spotify,Wade In Your Water Radio,Eliza
