artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Daniel Caesar,Freudian,Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,0.658,0.294,4,-8.533,0,0.0321,5.2e-05,0.0749,0.358,74.038,278180,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Miguel,Coffee (F***ing) (feat. Wale),Coffee (F***ing) (feat. Wale),5OFKWrKbS8iTIGxgjyHDzW,0.543,0.667,8,-7.333,1,0.0633,2.69e-05,0.15,0.196,162.067,314053,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Justin Bieber,Purpose (Deluxe),Trust,00IH8ZjI9ZGB51WRX1Oesj,0.512,0.494,7,-8.16,0,0.206,0.0,0.124,0.492,76.002,203613,3,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Kehlani,You Should Be Here,The Way (feat. Chance the Rapper),6mzaCRuLTRiz1caGOum3zT,0.746,0.538,10,-6.479,1,0.32,0.0,0.139,0.516,101.018,262521,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
DJ Khaled,Major Key,"Do You Mind (feat. Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross)",4VJ7mnW4wjjIgPBM6KWvPu,0.412,0.548,10,-6.981,1,0.243,0.0,0.181,0.176,81.293,325615,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
SZA,Ctrl,The Weekend,6gU9OKjOE7ghfEd55oRO57,0.4,0.366,8,-9.405,0,0.0597,0.0,0.126,0.161,73.313,272187,3,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Bazzi,Mine,Mine,6tHWl8ows5JOZq9Yfaqn3M,0.716,0.805,4,-3.839,1,0.0856,3.1e-06,0.291,0.719,142.886,133995,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Bruno Mars,24K Magic,Calling All My Lovelies,6ObpR8ek44tvWefQRcSo8K,0.662,0.705,1,-6.56,0,0.0399,2.38e-06,0.105,0.865,159.996,250080,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Stormzy,Gang Signs & Prayer,Cigarettes & Cush (feat. Kehlani & Lily Allen),7MhomISA7KRK6U7KzeV06v,0.64,0.64,8,-6.105,0,0.138,0.0,0.265,0.761,135.953,349584,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Aminé,Good For You,Heebiejeebies - Bonus,32xx0fAv3CIeGmNaWTHvEF,0.765,0.5,1,-7.626,1,0.152,0.0,0.108,0.495,107.043,220160,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Sam Rui,Solid Gold,Solid Gold,1uH3XMNhtz511iYFv2SF1F,0.584,0.429,8,-9.75,0,0.0452,0.000258,0.11,0.0393,95.999,182280,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Gallant,Gentleman,Gentleman,3MoIvDgJqKIfta5V5x7Lc6,0.356,0.322,4,-11.063,0,0.0959,0.0,0.102,0.292,96.008,284092,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Ella Mai,READY,Boo'd Up,0At2qAoaVjIwWNAqrscXli,0.561,0.779,10,-5.107,0,0.0531,0.0,0.078,0.235,81.965,256064,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
BTS,Love Yourself 轉 'Tear',Intro: Singularity,6ePyl2ns4b7MVYhjsj32ZK,0.775,0.271,1,-9.131,0,0.092,0.00285,0.112,0.204,104.001,196998,3,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
The Weeknd,Starboy,Die For You,2Ch7LmS7r2Gy2kc64wv3Bz,0.582,0.525,1,-7.163,0,0.0627,0.0,0.134,0.51,133.249,260253,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Ella Mai,READY,Anymore,2Ymig15Ykfk10tAS3fCoij,0.619,0.575,5,-7.24,0,0.0531,0.0,0.0996,0.138,106.702,235673,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Janelle Monáe,The Electric Lady,Primetime (feat. Miguel),5dzV75f9qVXVvdXLTqIG4L,0.667,0.465,8,-8.096,1,0.0339,0.00649,0.465,0.34,123.883,280080,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Sabrina Claudio,About Time,Frozen,21oJ1K99GBJrE2GVQGVjA0,0.486,0.419,5,-6.415,1,0.0563,6.59e-05,0.096,0.227,119.065,244910,3,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Ella Mai,CHANGE,"10,000 Hours",6d1fGqMtdUEuHqFSDMlR0N,0.598,0.405,5,-8.155,0,0.0464,0.0,0.311,0.244,122.144,230240,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Mariah Carey,The Emancipation of Mimi,We Belong Together,3LmvfNUQtglbTrydsdIqFU,0.837,0.462,0,-7.89,1,0.0601,0.0,0.09,0.762,139.986,201400,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
Logic,YSIV,Thank You (ft. Lucy Rose & The RattPack),4ut9fdC5ncgcvCo0KaphNY,0.599,0.749,10,-7.12,1,0.269,3.03e-06,0.4,0.574,159.413,430427,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
P-Lo,More Than Anything,Much More,72HwYZ7dDQET0ChAJfXmlY,0.558,0.639,9,-6.533,0,0.392,0.0,0.108,0.4,82.341,162975,4,Gabrielle Cabebe,Vibes,Gabrielle Cabebe
