artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Allen Stone,Radius,Circle,6fzWG7kpaLXJqYpXt3HAOg,0.662,0.454,1,-6.719,0,0.0353,0,0.11,0.27,135.025,209518,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Allen Stone,Allen Stone,Unaware,5kJwePyb1DXdUId90Ug99J,0.519,0.567,11,-8.507,1,0.0491,0.000144,0.116,0.51,116.967,349493,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Adele,19,Chasing Pavements - Live At The Hotel Cafe,1V8pHaJd5NdZVvWg6uM55l,0.505,0.322,0,-8.268,0,0.038,0,0.69,0.189,78.582,226587,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Adele,21,Turning Tables,5O6yk6U8L3rTbFsIwuqe8H,0.305,0.452,0,-6.077,0,0.0293,1.68e-05,0.129,0.21,79.83,250133,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Adele,When We Were Young,When We Were Young,7A2eDNBgJrEVE87C8pOMqN,0.381,0.594,3,-5.97,1,0.0486,0,0.0925,0.273,143.86,290907,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
John Mayer,Battle Studies,Perfectly Lonely,42dbDZX9bsEGqMZWYmnR7J,0.678,0.53,0,-8.515,1,0.024,0.000274,0.0437,0.678,91.779,268093,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Coldplay,Ghost Stories,Another's Arms,22uzF19LxQW87kOVkR79Fq,0.516,0.572,8,-9.037,1,0.0291,0.254,0.139,0.351,160.023,234413,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
John Legend,DARKNESS AND LIGHT,Overload (feat. Miguel),37exBefsiwr3rmQ7xcQnEJ,0.571,0.409,9,-7.111,1,0.109,0,0.18,0.315,118.703,200293,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Beyoncé,B'Day,Resentment,7zt3bDTgxn03ZfV9xHqOs5,0.378,0.565,6,-5.388,1,0.0493,0,0.13,0.482,102.131,280693,3,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Keane,The Best Of Keane (Deluxe Edition),Somewhere Only We Know,7AQAlklmptrrkBSeujkXsD,0.442,0.606,9,-5.825,1,0.0259,1.43e-05,0.0973,0.359,171.982,235880,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Tori Kelly,Unbreakable Smile,Falling Slow,2jotacrxKMZ96oSIYDb1C9,0.644,0.472,5,-8.384,1,0.0648,1.08e-05,0.106,0.43,143.913,234667,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Jason Mraz,"Tonight, Not Again: Jason Mraz Live at the Eagles Ballroom","Absolutely Zero - Live at the Eagles Ballroom, Milwaukee, WI, 10/28/2003",0man2fi5YqmLzEIzc1zzUK,0.343,0.554,5,-6.228,1,0.0314,0,0.969,0.148,130.458,375000,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Tori Kelly,Handmade Songs By Tori Kelly,All In My Head,098tAg0yjz9ds5oys4MAPG,0.675,0.506,6,-7.69,1,0.0857,0,0.0586,0.322,129.884,210895,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Bruno Mars,Unorthodox Jukebox,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0,0.088,0.387,72.795,213827,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
John Mayer,Battle Studies,All We Ever Do Is Say Goodbye,5DydMbw2U5Oh1OckJIsniN,0.559,0.51,5,-8.294,0,0.0247,5.31e-05,0.242,0.327,129.881,275267,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
John Mayer,Continuum,Gravity,3SktMqZmo3M9zbB7oKMIF7,0.753,0.326,7,-9.883,1,0.0342,0.00131,0.24,0.237,123.799,245827,3,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
Kim Hyun Joong,Kim HyunJoong Greatest Hits Collection,Because I'm Stupid (Acoustic Version),7paCrsW1WnT4MPbIQF6Zkk,0.698,0.437,10,-8.152,0,0.0259,0,0.0993,0.548,92.069,303077,4,Gabrielle Cabebe,I'm Not Sad,Gabrielle Cabebe
