artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
KALLITECHNIS,Lights Off,Lights Off,32ytKn2jo3zaml5PmCbV8E,0.565,0.804,5,-7.23,0,0.139,0.000158,0.381,0.736,94.868,150000,4,Spotify,Indie R&B Mix,Gary the Snail
Kyle Dion,SUGA,Brown,0EDzxUaUO4j9knZsytC3V8,0.546,0.698,0,-4.677,1,0.0981,0.000129,0.0613,0.617,72.417,234759,4,Spotify,Indie R&B Mix,Gary the Snail
Rayana Jay,Morning After,Way Back,3eIzChv8AqByBiRwxDMFxN,0.863,0.508,3,-7.349,0,0.0569,1.88e-05,0.0873,0.531,119.949,180000,4,Spotify,Indie R&B Mix,Gary the Snail
Kelela,CUT 4 ME,Bank Head (Extended) (Prod. Kingdom),6fjHjD6Fpe0eCWsv18aCqd,0.743,0.784,9,-6.727,1,0.0655,0.115,0.0721,0.58,134.996,302341,4,Spotify,Indie R&B Mix,Gary the Snail
Amaria,All For You,All For You,7rPWZTM7nnaySX8a6Pmeg7,0.738,0.511,11,-9.879,0,0.0616,0.0244,0.205,0.743,138.654,183354,4,Spotify,Indie R&B Mix,Gary the Snail
Brandon Banks,STATIC,BALANCE,554aovyOUZvQcfru84sYYT,0.577,0.381,8,-9.305,1,0.0656,0.0,0.0804,0.264,143.851,217555,4,Spotify,Indie R&B Mix,Gary the Snail
Kadeem Tyrell,Talk To Me,Talk To Me,1047NLPKizljAC7hPKuhJQ,0.57,0.638,11,-9.524,0,0.295,4.07e-06,0.161,0.391,155.942,198462,4,Spotify,Indie R&B Mix,Gary the Snail
Orion Sun,A Collection of Fleeting Moments and Daydreams,Antidote,1NlGXcWeUSe1s3IgRKcqmB,0.645,0.786,1,-3.995,1,0.188,0.0,0.137,0.452,81.917,169822,4,Spotify,Indie R&B Mix,Gary the Snail
Joanna Crass,En una Nube,En una Nube,5tQmBs7BrjHrfhNe01sdYT,0.773,0.785,2,-6.15,0,0.148,1.59e-06,0.109,0.334,99.007,154000,4,Spotify,Indie R&B Mix,Gary the Snail
Zilo,Nature of The Beast: Unleashed,Come Through (ESTA. Remix),5RynkilQjr32BJhpjhwe1C,0.666,0.254,5,-12.025,0,0.146,0.0,0.0988,0.666,88.065,166364,4,Spotify,Indie R&B Mix,Gary the Snail
Spencer.,Automatic (Orion Sun Remix),Automatic - Orion Sun Remix,3IQ6PPDCEJBRFiqUCWeyI0,0.647,0.459,6,-13.058,0,0.12,0.337,0.294,0.261,95.908,124736,4,Spotify,Indie R&B Mix,Gary the Snail
Savannah Ré,Opia,Best Is Yet To Come - Bonus,6eZTf0CCINNXzgFcYLSJPI,0.471,0.439,7,-5.854,1,0.0673,0.00214,0.092,0.121,102.162,141440,5,Spotify,Indie R&B Mix,Gary the Snail
Jenevieve,Rendezvous - EP,MDMA,3eRCNIsWNYMepk9qbGOZUK,0.691,0.443,7,-6.637,1,0.0406,1.78e-05,0.108,0.301,94.051,157044,4,Spotify,Indie R&B Mix,Gary the Snail
Rayana Jay,Morning After,Everything,65OzTXP2Atva3eOmfKpKOP,0.609,0.57,0,-6.896,1,0.142,1.66e-05,0.133,0.211,149.982,168400,4,Spotify,Indie R&B Mix,Gary the Snail
Kelela,Take Me Apart,Frontline,6b3KUNSmJL1qIfi1hF1G6Y,0.438,0.325,0,-9.206,1,0.0432,1.11e-06,0.0648,0.142,141.504,339190,4,Spotify,Indie R&B Mix,Gary the Snail
Arin Ray,Phases II - EP,ZZZ,4xIu2nzN4tz1X4R0cNU5VU,0.63,0.198,5,-8.018,1,0.0458,0.00217,0.0939,0.648,79.959,128398,4,Spotify,Indie R&B Mix,Gary the Snail
Cruza,Seltzer,Seltzer,1AJ71ibFDiinsF2kj4KqRg,0.713,0.402,10,-13.389,0,0.184,0.0641,0.103,0.462,130.029,184615,4,Spotify,Indie R&B Mix,Gary the Snail
Kwaku Asante,The Way That You Move,The Way That You Move,2kQlOdALZdarquEdLZlQoB,0.797,0.582,7,-10.71,0,0.167,2.66e-05,0.109,0.194,113.005,220944,4,Spotify,Indie R&B Mix,Gary the Snail
Jaz Karis,The Waiting Line,The Waiting Line,5uXg27sA0yZOYK5wghOEAZ,0.435,0.426,9,-8.675,1,0.0668,1.63e-06,0.116,0.285,59.005,254900,4,Spotify,Indie R&B Mix,Gary the Snail
THEY.,Broken (feat. Jessie Reyez),Broken (feat. Jessie Reyez),68dd9CEzAUc4zeukKzMJP5,0.637,0.615,9,-5.395,1,0.167,8.51e-06,0.462,0.517,132.312,135480,3,Spotify,Indie R&B Mix,Gary the Snail
Kyle Dion,SUGA,Spend It,4tKgkSIRuyAAhyc4sky2QX,0.712,0.768,1,-4.132,1,0.096,6.86e-05,0.139,0.694,136.028,173841,4,Spotify,Indie R&B Mix,Gary the Snail
Sun,Video Games,Video Games,7yyYmGQXSyrH7kLALSTFjg,0.702,0.406,0,-11.385,0,0.0438,1.43e-05,0.159,0.328,103.03,220820,4,Spotify,Indie R&B Mix,Gary the Snail
RIMON,Out Of My Way,Out Of My Way,62tz6SFL395514c4ZXCnQa,0.715,0.654,1,-5.179,0,0.119,5.93e-05,0.355,0.415,99.977,208320,4,Spotify,Indie R&B Mix,Gary the Snail
Kadeem Tyrell,April 25th,April 25th,7m7GYvmlFGEeVuxaRivcrX,0.654,0.397,3,-10.453,1,0.169,7.8e-05,0.119,0.253,109.836,237818,3,Spotify,Indie R&B Mix,Gary the Snail
Rayana Jay,Love Me Like,If You Won't,7omQcQTiUCS1ZTRriyBqBA,0.581,0.619,6,-8.122,0,0.216,0.000793,0.0768,0.573,150.181,190000,5,Spotify,Indie R&B Mix,Gary the Snail
Kenyon Dixon,Closer,ISLY,7tjinNOtfRQydDmXFPzfbL,0.588,0.66,5,-8.476,0,0.285,0.0,0.117,0.732,93.946,185411,4,Spotify,Indie R&B Mix,Gary the Snail
Arin Ray,Platinum Fire (Deluxe),Reckless,1BybndP1YgPEIk6WUnL6kT,0.686,0.701,5,-5.702,0,0.0968,0.00281,0.088,0.605,173.994,233266,4,Spotify,Indie R&B Mix,Gary the Snail
Maeta,Habits,Bitch Don't Be Mad,24WhLBcWByvFMrt8NNQ0ax,0.559,0.593,4,-5.443,0,0.294,0.0,0.0463,0.585,70.987,185199,4,Spotify,Indie R&B Mix,Gary the Snail
VanJess,Silk Canvas,Another Lover,2KwW2VyIp48UXatX8S2TuL,0.774,0.524,5,-7.412,0,0.374,0.000919,0.116,0.329,120.05,228000,4,Spotify,Indie R&B Mix,Gary the Snail
Cruza,Dog Daze,Brewster,5odIVMTBVr7QetfpLY1fPV,0.638,0.253,4,-10.232,1,0.302,0.576,0.12,0.537,145.05,144585,4,Spotify,Indie R&B Mix,Gary the Snail
Emmavie,OOPS,OOPS,69tpm46QnpzuiqqPVw0Nai,0.671,0.558,7,-7.376,0,0.106,0.000941,0.082,0.565,125.065,221634,4,Spotify,Indie R&B Mix,Gary the Snail
Cautious Clay,RESONANCE,Crowned,40hilC332kLOwCzOVhWhl5,0.816,0.554,11,-5.472,0,0.0359,0.000489,0.138,0.946,130.019,186000,4,Spotify,Indie R&B Mix,Gary the Snail
