artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Mano Le Tough,No Road Without a Turn,No Road Without a Turn,62RG9MmOva4JHnk7g7m4Vq,0.835,0.409,9,-10.002,1,0.104,0.719,0.123,0.646,86.352,278008,4,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Isles,Atlas,54TgI46OnNqcf0SyzQyCL6,0.544,0.793,3,-6.424,0,0.0319,0.95,0.173,0.126,128.981,348307,4,Julieta Frère,a t l a s ,Julieta Frere
Rival Consoles,Not Really,Not Really,1D5JozOvkFIjKM7LJe8UDV,0.569,0.736,4,-10.085,0,0.0306,0.894,0.102,0.103,127.025,300850,4,Julieta Frère,a t l a s ,Julieta Frere
Gidge,New Light,Quasar,4auPkl8KDB2a1kk4zj0HHp,0.453,0.481,9,-9.277,1,0.0789,0.881,0.348,0.0574,177.008,352216,3,Julieta Frère,a t l a s ,Julieta Frere
Jacques Greene,Promise,Promise,28NaP6iuy1B4on1UJKw7vs,0.565,0.468,8,-8.959,0,0.047,0.905,0.216,0.079,155.006,209806,4,Julieta Frère,a t l a s ,Julieta Frere
Kiasmos,Blurred (Sven Helbig Rework),Blurred - Sven Helbig Rework,74xCaDznBiIIktSPbFd31H,0.0855,0.122,2,-18.526,1,0.0436,0.945,0.134,0.0372,85.44,284619,4,Julieta Frère,a t l a s ,Julieta Frere
Matthew Dear,Hikers Y,Hikers Y,7AfxzCw41hvZDVDthS9Lc4,0.746,0.631,1,-14.03,0,0.0479,0.696,0.112,0.0531,119.987,210077,4,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Bicep,Glue,2aJDlirz6v2a4HREki98cP,0.853,0.798,4,-7.995,0,0.068,0.948,0.0967,0.42,129.983,269150,4,Julieta Frère,a t l a s ,Julieta Frere
Agoria,What If the Dead Dream,What If the Dead Dream,748LdQj3Lhiynqf3XdTqlr,0.741,0.539,8,-12.477,0,0.0657,0.907,0.122,0.0606,99.014,219299,3,Julieta Frère,a t l a s ,Julieta Frere
WhoMadeWho,Abu Simbel,Abu Simbel,1Y3yJHrBkkfj3GZKv1MVhF,0.443,0.705,0,-8.673,0,0.0335,0.797,0.179,0.073,117.991,226653,4,Julieta Frère,a t l a s ,Julieta Frere
Christian Löffler,Parallels: Shellac Reworks By Christian Löffler,Pastoral,6XmY3xNVGemozNMApOCobZ,0.163,0.191,10,-20.924,1,0.0365,0.959,0.0961,0.0335,105.104,220630,3,Julieta Frère,a t l a s ,Julieta Frere
DARKSIDE,Liberty Bell,Liberty Bell,1nxudYVyc5RLm8LrSMzeTa,0.55,0.639,0,-10.725,1,0.057,0.713,0.306,0.262,180.033,242505,4,Julieta Frère,a t l a s ,Julieta Frere
Gidge,New Light,The Cascades,2Auev58okpk6gr96Flb2T1,0.744,0.747,6,-9.634,1,0.0565,0.807,0.205,0.175,120.006,397498,4,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Isles,Saku,1gGR1vc9aFMDEhiO3SvHM4,0.563,0.79,1,-7.387,1,0.0342,0.684,0.0519,0.429,132.999,297253,4,Julieta Frère,a t l a s ,Julieta Frere
Session Victim,Two Crowns EP,Guidance,1hVgSEi1qKBOlACdHGt8vQ,0.607,0.796,1,-7.066,1,0.0386,0.928,0.111,0.236,123.615,363229,4,Julieta Frère,a t l a s ,Julieta Frere
Kornél Kovács,Szenzus,Szenzus,2daHoVEMOCxljB0Wc7c1I9,0.602,0.344,6,-14.019,0,0.137,0.931,0.0957,0.622,100.253,233187,4,Julieta Frère,a t l a s ,Julieta Frere
Jacques Greene,Thaw,Thaw,2xKgF9KLXB4b3cLOitRCZ8,0.401,0.381,9,-13.352,0,0.0369,0.908,0.105,0.0392,159.945,198006,5,Julieta Frère,a t l a s ,Julieta Frere
O'Flynn,Talia,Talia,49KMGrpCasQj4bP7R27nEL,0.615,0.716,1,-9.675,1,0.0429,0.912,0.0895,0.29,128.98,273953,4,Julieta Frère,a t l a s ,Julieta Frere
Christian Löffler,The Great White Open (Federico Albanese Rework),The Great White Open - Federico Albanese Rework,2DK4v3kBBtbxQjjhT7PL0W,0.133,0.183,7,-20.153,1,0.0338,0.937,0.055,0.0455,84.273,261400,5,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Isles,Sundial,3gCurfVJRI2d5vov0eF6ka,0.492,0.934,5,-5.873,0,0.0313,0.899,0.126,0.197,134.996,275800,4,Julieta Frère,a t l a s ,Julieta Frere
Laurence Guy,Mutual Excitement is a Wonderful Thing,Certain (To a Certain Extent) - Radio Mix,1ma709mr19w2VLd9kpxxfo,0.772,0.423,1,-18.388,0,0.0895,0.933,0.0923,0.215,121.993,204590,4,Julieta Frère,a t l a s ,Julieta Frere
Catz 'n Dogz,Moments,It's Ok,69tfaZMe6zobEKoN7wAZlR,0.758,0.507,8,-11.205,1,0.0383,0.217,0.177,0.81,110.033,174586,4,Julieta Frère,a t l a s ,Julieta Frere
Pantha Du Prince,Pius in Tacet (Grandbrothers Remix),Pius in Tacet - Grandbrothers Remix,2dptPKTWiqOn9DTQn8KGq6,0.429,0.642,11,-15.118,0,0.0355,0.937,0.0891,0.208,117.981,311198,4,Julieta Frère,a t l a s ,Julieta Frere
Matthew Dear,Gutters And Beyond,Gutters And Beyond,6LABCBCW8wcPWvvheTH26a,0.493,0.53,10,-13.227,0,0.0438,0.17,0.694,0.286,100.217,204597,4,Julieta Frère,a t l a s ,Julieta Frere
DARKSIDE,The Limit,The Limit,5OBUmFuhkit7MYdaVZc2bs,0.434,0.596,9,-10.013,0,0.16,0.493,0.122,0.139,89.0,321204,4,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Isles,Apricots,0WfOuXw05LJq4ik1lVvTzi,0.819,0.599,11,-6.778,1,0.039,0.824,0.083,0.489,127.986,246507,4,Julieta Frère,a t l a s ,Julieta Frere
Laurence Guy,Love Theme for the Morning After (Radio Mix),Love Theme for the Morning After - Radio Mix,5z1WRyniho87yADW4YiPsl,0.641,0.374,6,-14.281,0,0.0537,0.859,0.108,0.426,124.001,209032,4,Julieta Frère,a t l a s ,Julieta Frere
Gidge,Perimeter,Perimeter - Shorter,7urzZM4agIeAx9qXiPCvvj,0.703,0.633,6,-10.702,0,0.0417,0.89,0.128,0.133,118.002,376289,4,Julieta Frère,a t l a s ,Julieta Frere
Booka Shade,Booka Shade presents: Voices of Hope,Hope - Club Mix,0mpubDMZENAeGkMqTLSAWP,0.608,0.648,8,-9.342,1,0.0358,0.834,0.0923,0.361,121.997,371500,4,Julieta Frère,a t l a s ,Julieta Frere
Daniel Avery,Hazel and Gold,Hazel and Gold,3waUq2wpuk8oc0fMmk2PPC,0.423,0.553,0,-10.997,1,0.0294,0.734,0.174,0.282,99.998,245203,4,Julieta Frère,a t l a s ,Julieta Frere
Monkey Safari,Gravity / Daka,Gravity (with Delhia De France),6mIce4eaRg6UOFHABNX2xL,0.77,0.693,5,-8.934,0,0.0412,0.742,0.121,0.461,125.011,329670,4,Julieta Frère,a t l a s ,Julieta Frere
Max Cooper,Leaving This Place,Leaving This Place,6JO2bvQFGOShhhJ2xQX7r4,0.332,0.528,1,-15.436,1,0.047,0.829,0.0718,0.128,117.021,381538,5,Julieta Frère,a t l a s ,Julieta Frere
Laurence Guy,Mutual Excitement is a Wonderful Thing,Mutual Excitement is a Wonderful Thing,53E4QuExlZmvvm4dvnatem,0.683,0.47,11,-15.561,1,0.0494,0.827,0.11,0.205,128.02,293709,4,Julieta Frère,a t l a s ,Julieta Frere
Bicep,Isles (Deluxe),Siena,04Z4gQvoaggI4cQ6jDLbOe,0.754,0.676,2,-8.209,1,0.0444,0.92,0.0167,0.386,127.014,242928,4,Julieta Frère,a t l a s ,Julieta Frere
Henrik Schwarz,In Spite Of Everything,In Spite Of Everything,6pJ7aIum1zU5MsrC5GI0JK,0.49,0.627,7,-15.667,0,0.0362,0.868,0.112,0.119,123.951,332320,3,Julieta Frère,a t l a s ,Julieta Frere
Rampue,10 Years URSL - Ayahuasca Rocket Überwinden,Überwinden,3MSBnITv4TWlPPUTk4LKcn,0.738,0.879,10,-9.954,0,0.0475,0.794,0.0602,0.549,114.991,425958,4,Julieta Frère,a t l a s ,Julieta Frere
Kalabrese,Make No Time / Painting of Relaxation,Make No Time,7v6z0YSQsYZ5kjZY8bJ6oq,0.889,0.573,0,-10.009,1,0.0411,0.473,0.0943,0.864,120.999,616560,4,Julieta Frère,a t l a s ,Julieta Frere
DARKSIDE,Lawmaker,Lawmaker,4sNvEt5NK3ES51CWFnVdfJ,0.57,0.467,2,-9.154,1,0.0901,0.666,0.147,0.0798,87.899,349419,4,Julieta Frère,a t l a s ,Julieta Frere
Sasha,Haunted,Haunted,6cm0CsFVU8QTLTVegPgHDm,0.577,0.892,0,-6.6,0,0.0321,0.123,0.222,0.241,125.035,256823,4,Julieta Frère,a t l a s ,Julieta Frere
WhoMadeWho,Mermaids,Mermaids,5sIduTqyYAgMbvIsvB8P4Y,0.726,0.493,10,-10.556,0,0.041,0.407,0.0935,0.396,121.004,232066,4,Julieta Frère,a t l a s ,Julieta Frere
Session Victim,Two Crowns EP,Village Youth,4hhsVvBQuT7AXnhNvbEDnL,0.643,0.777,9,-5.834,0,0.0395,0.914,0.121,0.485,121.023,373179,4,Julieta Frère,a t l a s ,Julieta Frere
Ten Walls,Lord of Fallen,Trine,0NirNOr2J3AugCY8jjWz1b,0.733,0.869,9,-9.795,1,0.0393,0.828,0.076,0.299,124.982,377280,4,Julieta Frère,a t l a s ,Julieta Frere
Axel Boman,Pink Mist,Pink Mist,5EzA10c3l5GtUTuDksW28p,0.605,0.74,1,-12.143,1,0.0378,0.483,0.332,0.347,124.018,391411,4,Julieta Frère,a t l a s ,Julieta Frere
