artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Daddy Yankee,Prestige,Limbo,3pDhN3qB33AOPhQEkUCaWt,0.806,0.875,7,-3.817,1,0.088,0.00192,0.065,0.917,125.063,224693,4,KN,Party Mix US,Kartik Nautiyal
Farruko,Pepas,Pepas,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,6.98e-05,0.128,0.442,130.001,287120,4,KN,Party Mix US,Kartik Nautiyal
Don Omar,Meet The Orphans,Danza Kuduro,6DXLO8LndZMVOHM0wNbpzg,0.699,0.917,0,-4.897,1,0.115,0.0,0.065,0.889,130.04,198787,4,KN,Party Mix US,Kartik Nautiyal
Pitbull,Pitbull Starring In Rebelution,Hotel Room Service,6Rb0ptOEjBjPPQUlQtQGbL,0.851,0.629,1,-8.385,1,0.175,0.000372,0.0746,0.789,125.984,237640,4,KN,Party Mix US,Kartik Nautiyal
Pitbull,Planet Pit (Deluxe Version),"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4QNpBfC0zvjKqPJcyqBy9W,0.671,0.939,8,-3.206,1,0.161,0.0,0.298,0.53,129.024,252307,4,KN,Party Mix US,Kartik Nautiyal
Pitbull,Planet Pit (Deluxe Version),International Love (feat. Chris Brown),62zFEHfAYl5kdHYOivj4BC,0.67,0.855,0,-3.035,0,0.0499,0.0,0.335,0.648,120.05,227280,4,KN,Party Mix US,Kartik Nautiyal
Sean Paul,The Trinity,Temperature,0k2GOhqsrxDTAbFFSdNJjT,0.951,0.6,0,-4.675,0,0.0685,0.0,0.0712,0.822,125.04,218573,4,KN,Party Mix US,Kartik Nautiyal
Jennifer Lopez,Love?,On The Floor,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0,0.0496,0.000478,0.0691,0.575,130.0,284867,4,KN,Party Mix US,Kartik Nautiyal
Various Artists,Dance Mania 2011,Mr. Saxobeat,7qzgHrqG8FgzgPIfBE23Bw,0.718,0.93,4,-4.169,0,0.0529,0.000158,0.136,0.787,126.989,193147,4,KN,Party Mix US,Kartik Nautiyal
J Balvin,Mi Gente,Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8,0.543,0.677,11,-4.915,0,0.0993,6.21e-06,0.13,0.294,103.809,189440,4,KN,Party Mix US,Kartik Nautiyal
