artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Jack Johnson,Brushfire Fairytales [Remastered (Bonus Version)],Flake,7hOXiS6kDP4vYIh9DBsNgK,0.758,0.654,5,-10.98,1,0.04,0.0197,0.199,0.962,97.657,281749,4,Marce Esliman,Scar tisue,Marcelo Esliman
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",Linger,0gEyKnHvgkrkBM6fbeHdwK,0.439,0.434,7,-14.918,1,0.0265,4.87e-05,0.14,0.204,94.845,274707,4,Marce Esliman,Scar tisue,Marcelo Esliman
R.E.M.,Out Of Time (25th Anniversary Edition),Losing My Religion,31AOj9sFz2gM0O3hMARRBx,0.666,0.855,9,-5.051,0,0.0295,1.2e-06,0.0987,0.803,125.639,268427,4,Marce Esliman,Scar tisue,Marcelo Esliman
The Offspring,Americana,Why Don't You Get A Job,0sNKiz82ATCvT3f3XVVUUj,0.766,0.882,5,-4.478,1,0.0719,2.3e-06,0.281,0.544,107.932,172467,4,Marce Esliman,Scar tisue,Marcelo Esliman
The Verve,Urban Hymns (Remastered 2016),Bitter Sweet Symphony,57iDDD9N9tTWe75x6qhStw,0.356,0.917,9,-6.006,1,0.0479,0.0,0.406,0.518,171.176,357267,4,Marce Esliman,Scar tisue,Marcelo Esliman
Red Hot Chili Peppers,Californication (Deluxe Edition),Scar Tissue,1G391cbiT3v3Cywg8T7DM1,0.595,0.717,0,-4.803,1,0.0295,0.00274,0.108,0.547,88.969,215907,4,Marce Esliman,Scar tisue,Marcelo Esliman
Blind Melon,Blind Melon,No Rain,6txWz9UapYHVxEd7dDIHXT,0.389,0.476,9,-9.342,1,0.0316,5.09e-05,0.255,0.566,148.117,217107,4,Marce Esliman,Scar tisue,Marcelo Esliman
Counting Crows,August And Everything After,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,0.578,0.817,0,-6.542,1,0.0363,3.06e-06,0.285,0.726,141.621,272293,4,Marce Esliman,Scar tisue,Marcelo Esliman
Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.559,0.345,4,-13.496,1,0.0459,0.000105,0.141,0.458,84.581,264307,4,Marce Esliman,Scar tisue,Marcelo Esliman
Pearl Jam,Last Kiss,Last Kiss,0QnONzv3TvHAWk294h6DaQ,0.622,0.692,7,-6.97,1,0.0276,0.000158,0.193,0.774,112.053,195467,4,Marce Esliman,Scar tisue,Marcelo Esliman
