artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Peach Tree Rascals,Mariposa,Mariposa,4ja2gzrNh9VNigzoXfmbwD,0.676,0.525,9,-5.88,1,0.028,0,0.356,0.421,112.011,210000,4,Matchew,Jamming,Matchew
Jaden,ERYS (Deluxe),Summertime In Paris,6XNANAB7sFvkfho6bMCp7o,0.569,0.86,9,-4.116,1,0.043,0,0.153,0.289,90.937,270960,4,Matchew,Jamming,Matchew
Lil Tecca,We Love You Tecca,DUI,4Bhdiu8zhwQR3tXy8YMbCj,0.774,0.409,8,-8.688,0,0.336,1.12e-06,0.12,0.424,86.52,134520,4,Matchew,Jamming,Matchew
EDEN,vertigo,crash,7EkMIQ2PzEzwQroLl6dUvw,0.503,0.212,0,-12.735,0,0.0658,0.000293,0.12,0.185,118.492,232412,4,Matchew,Jamming,Matchew
Drake,Views,Feel No Ways,3cjF2OFRmip8spwZYQRKxP,0.582,0.677,7,-7.081,1,0.172,6.6e-06,0.122,0.205,193.818,240653,4,Matchew,Jamming,Matchew
Alina Baraz,The Color Of You,Electric (feat. Khalid),2mj7x99sNUsVHPBRK51zlG,0.599,0.396,10,-10.489,0,0.0392,2.19e-05,0.102,0.134,111.072,246327,4,Matchew,Jamming,Matchew
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0,0.161,0.371,112.96,218013,4,Matchew,Jamming,Matchew
Rex Orange County,Bcos U Will Never B Free,Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,0.608,0.305,4,-14.037,1,0.053,0,0.103,0.222,113.818,206975,4,Matchew,Jamming,Matchew
Rex Orange County,Loving Is Easy (feat. Benny Sings),Loving Is Easy (feat. Benny Sings),5EYi2rH4LYs6M21ZLOyQTx,0.756,0.609,3,-7.927,1,0.0544,0.00482,0.0959,0.537,117.024,155720,4,Matchew,Jamming,Matchew
Rex Orange County,Pony,Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,0.379,0.219,5,-11.196,1,0.0307,0.000691,0.118,0.188,79.786,267520,4,Matchew,Jamming,Matchew
SZA,The Weekend (Funk Wav Remix),The Weekend - Funk Wav Remix,0P6AWOA4LG1XOctzaVu5tt,0.775,0.573,11,-4.933,1,0.0585,0,0.126,0.667,101.925,171806,4,Matchew,Jamming,Matchew
FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,0.737,0.408,5,-7.941,1,0.104,0,0.171,0.374,127.921,190348,4,Matchew,Jamming,Matchew
SZA,Good Days,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,1,-8.37,0,0.0583,8.1e-06,0.688,0.412,121.002,279204,4,Matchew,Jamming,Matchew
Lucy Ellis,Just the Two of Us,Just the Two of Us,2B6Fn22qyvDyWBXP2hYfJd,0.491,0.12,7,-18.077,1,0.0476,0,0.187,0.242,134.365,208170,4,Matchew,Jamming,Matchew
Ritt Momney,Put Your Records On,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.00089,0.11,0.151,91.066,210463,4,Matchew,Jamming,Matchew
Neon Trees,Picture Show,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,1,0.0586,0,0.313,0.725,154.961,177280,4,Matchew,Jamming,Matchew
Kid Travis,Strawberry Skies,Strawberry Skies,0GiAmOCAtzGPfjfjGAXQ04,0.65,0.462,11,-6.587,0,0.089,0,0.159,0.649,89.887,165333,4,Matchew,Jamming,Matchew
Pink Sweat$,PINK PLANET,Honesty,19gCnDoMbugHhF7eMpLpe1,0.66,0.139,6,-16.339,0,0.0323,1.1e-05,0.105,0.312,79.975,189000,4,Matchew,Jamming,Matchew
Wallows,Nothing Happens,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,2.32e-05,0.273,0.64,120.023,178000,4,Matchew,Jamming,Matchew
Khalid,Talk,Talk,0rTV5WefWd1J3OwIheTzxM,0.9,0.4,0,-8.443,1,0.124,0,0.0876,0.338,136.001,197487,4,Matchew,Jamming,Matchew
Juice,Audrey Tell Me,Audrey Tell Me,2rzLMSlgENndN9bZ3QKnJv,0.525,0.83,1,-3.671,1,0.0634,0,0.112,0.675,114.108,254621,4,Matchew,Jamming,Matchew
Paramore,Paramore,Still into You,1yjY7rpaAQvKwpdUliHx0d,0.602,0.923,5,-3.763,1,0.044,0,0.0561,0.765,136.01,216013,4,Matchew,Jamming,Matchew
khai dreams,Summer Is Like a Dream,Drifting Away,6R5JpLDVRgRI6P2OQCjA4n,0.521,0.268,1,-15.199,1,0.0407,0.177,0.0718,0.272,119.879,192500,4,Matchew,Jamming,Matchew
khai dreams,Through and Through,Through and Through,4RHyIzFRht2z17XeHB9dsF,0.851,0.424,6,-9.307,1,0.0463,0,0.0843,0.591,94.927,113684,4,Matchew,Jamming,Matchew
Harmless,I'm Sure,Swing Lynn,6hIOunhsLUT66KQgZV5dMD,0.462,0.945,2,-1.887,1,0.0399,0.746,0.11,0.477,165.153,321438,4,Matchew,Jamming,Matchew
Mac Miller,Circles,Good News,1DWZUa5Mzf2BwzpHtgbHPY,0.794,0.32,1,-12.92,0,0.173,0.134,0.112,0.241,174.088,342040,4,Matchew,Jamming,Matchew
"Tyler, The Creator",CALL ME IF YOU GET LOST,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,0.493,0.653,0,-5.666,0,0.0466,0,0.511,0.852,142.347,121573,4,Matchew,Jamming,Matchew
Mac Miller,Circles,That's On Me,0udOCZp7yk0Ml92C0k8H8D,0.583,0.499,10,-10.086,1,0.0261,0.0104,0.33,0.342,155.199,217868,3,Matchew,Jamming,Matchew
