artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Prateek Kuhad,cold/mess,cold/mess,7uhINGViZPygI2AljxO8KN,0.509,0.477,11,-6.571,1,0.0262,0.0168,0.158,0.283,146.031,281219,3,Miheer Diwan,LT playlist,Miheer Diwan 
Ditty,Deathcab,Deathcab,0Xc6KJKGAL71q4vbKHedl0,0.621,0.227,7,-14.337,1,0.0259,0.00215,0.111,0.215,92.082,218084,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Kho Gaye Hum Kahan,6nZiYSBwPQ7fYnVWkkkj4g,0.778,0.227,1,-16.191,1,0.0379,0.14,0.113,0.38,116.033,213056,4,Miheer Diwan,LT playlist,Miheer Diwan 
Ditty,Mumblings,Wildflower,2M3iX5EtMUMuuFLgQBjGFN,0.61,0.235,9,-13.065,1,0.0372,0.00132,0.0912,0.329,75.992,247449,4,Miheer Diwan,LT playlist,Miheer Diwan 
Ditty,Mumblings,Like,2yZviEz0dlGm0z0I7kxBy4,0.701,0.158,7,-14.986,1,0.0406,0.00017,0.11,0.188,81.133,261699,4,Miheer Diwan,LT playlist,Miheer Diwan 
Prateek Kuhad,Kasoor,Kasoor,08kTa3SL9sV6Iy8KLKtGql,0.558,0.497,8,-7.175,1,0.0256,5.36e-06,0.0799,0.444,107.047,197549,4,Miheer Diwan,LT playlist,Miheer Diwan 
Neel Adhikari,Dice Media's Little Things Season 2,Musalsal,1KJxGnjunQzIFY3U0uRWlh,0.342,0.131,7,-13.878,1,0.0343,0.0,0.282,0.17,114.124,238500,3,Miheer Diwan,LT playlist,Miheer Diwan 
Neel Adhikari,Dice Media's Little Things Season 2,Okay,15cT45LIinDAFzwEfJEbym,0.599,0.408,7,-9.318,1,0.0327,2.68e-06,0.111,0.274,138.145,191962,4,Miheer Diwan,LT playlist,Miheer Diwan 
Prateek Kuhad,Tum Jab Paas - Single,Tum Jab Paas,3FTRSa9mWB3kKx2jkhUAN3,0.751,0.344,6,-7.712,1,0.0379,1.62e-06,0.113,0.471,122.1,235932,3,Miheer Diwan,LT playlist,Miheer Diwan 
Mismatched,Mismatched: Season 1 (Music from the Netflix Original Series),Kahaan Ho Tum,4sO9tnvCH3DJZ3AAXoixjd,0.714,0.393,5,-10.157,1,0.0754,0.00192,0.123,0.72,67.589,155289,4,Miheer Diwan,LT playlist,Miheer Diwan 
Prateek Kuhad,Tune Kaha,Tune Kaha,1gWtHDe403RuyZqhvSRcv8,0.362,0.763,3,-8.514,1,0.0589,0.00481,0.237,0.431,187.291,216886,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Karwaan,Saansein,6l1VsKiMyaUWElFrM1rsuu,0.693,0.518,1,-9.146,1,0.0282,0.531,0.138,0.374,128.041,266042,4,Miheer Diwan,LT playlist,Miheer Diwan 
Ankur Tewari,"Dil Beparvah (The Dewarists, Season 5)","Dil Beparvah - The Dewarists, Season 5",4kXkT9HF9ZfDjuv3LIKcwJ,0.762,0.391,1,-11.735,1,0.0337,0.000521,0.112,0.355,137.956,250000,3,Miheer Diwan,LT playlist,Miheer Diwan 
Prateek Kuhad,Pause,Pause,5h1L6nOR9QYXeeNW14aeus,0.619,0.277,11,-11.771,1,0.0322,0.0542,0.116,0.435,111.576,171149,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Karwaan,Kadam,6q7bXTv3yBedHblKRoC5uu,0.55,0.356,9,-14.142,1,0.0405,0.187,0.32,0.343,159.911,214604,3,Miheer Diwan,LT playlist,Miheer Diwan 
Prateek Kuhad,did you/fall apart - A COLORS SHOW,did you/fall apart - A COLORS SHOW,2c8ejkfQDMUjoGTs99Fmkg,0.524,0.0382,1,-18.761,1,0.0771,0.198,0.11,0.117,142.764,196000,3,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Sau Aasmaan,0zHZSO80CTxNtvtRhveHRJ,0.63,0.729,6,-4.93,1,0.0287,8e-06,0.0786,0.44,127.919,234737,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Baar Baar Dekho (Original Motion Picture Soundtrack),Dariya,0LRcXYhaWLqbs1wvSV0o9u,0.581,0.424,8,-6.616,1,0.0269,0.0,0.101,0.352,98.936,217992,4,Miheer Diwan,LT playlist,Miheer Diwan 
Pritam,Barfi! (Original Motion Picture Soundtrack),Kyon,1sYC1fG7s4p0pTykrJqmgW,0.726,0.664,2,-6.674,1,0.0331,0.0,0.0964,0.831,121.922,266053,4,Miheer Diwan,LT playlist,Miheer Diwan 
Anu Malik,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),189DQylImZ1hGZaIpAQUzx,0.634,0.344,2,-11.011,1,0.0288,6.09e-05,0.111,0.409,128.0,322900,4,Miheer Diwan,LT playlist,Miheer Diwan 
M. M. Kreem,Special 26,Kaun Mera,4137w3YEeQSgz52qxyjxHR,0.63,0.376,2,-9.814,1,0.0252,0.000179,0.0954,0.347,100.969,172942,1,Miheer Diwan,LT playlist,Miheer Diwan 
Meet Bros.,TOP HITS 2019 By MEET BROS,"Mujhe Kaise, Pata Na Chala",7jtKU9mbFgdlsIoYIWjhkO,0.291,0.404,7,-7.406,1,0.0504,0.0,0.0731,0.285,71.742,322759,1,Miheer Diwan,LT playlist,Miheer Diwan 
The Velveteins,Slow Wave,Daydreams,70WgEi9W3tvmBylqe9d2iU,0.519,0.641,9,-7.699,1,0.044,0.00124,0.17,0.388,137.109,226080,4,Miheer Diwan,LT playlist,Miheer Diwan 
The Velveteins,Love in a Modern Age,Love in a Modern Age,67fhuj96GYW886nebg7RIS,0.298,0.745,2,-7.958,1,0.0328,0.0803,0.182,0.811,180.136,172493,4,Miheer Diwan,LT playlist,Miheer Diwan 
James TW,Chapters,When You Love Someone,0TXNKTzawI6VgLoA9UauRp,0.681,0.453,7,-6.09,1,0.0278,0.0,0.0543,0.348,125.772,216560,4,Miheer Diwan,LT playlist,Miheer Diwan 
James TW,Chapters,You & Me,1bQhZOoXYqjXs7u7rFXo0h,0.714,0.686,11,-6.333,1,0.0445,7.76e-06,0.102,0.828,127.015,231653,4,Miheer Diwan,LT playlist,Miheer Diwan 
AURORA,All My Demons Greeting Me As A Friend (Deluxe),Runaway,1v1oIWf2Xgh54kIWuKsDf6,0.422,0.302,11,-9.214,1,0.0372,7.83e-05,0.104,0.123,114.089,248827,4,Miheer Diwan,LT playlist,Miheer Diwan 
Many Voices Speak,Video Child,Video Child,4aomlyHgDB5mnKpPZ5ajwR,0.57,0.504,4,-7.417,1,0.028,0.124,0.111,0.288,119.975,300801,4,Miheer Diwan,LT playlist,Miheer Diwan 
Many Voices Speak,Blue Moon,Blue Moon,2tS4kp5kLCKx1HG6szXuBF,0.183,0.199,10,-17.563,1,0.036,0.292,0.0945,0.279,88.975,160071,3,Miheer Diwan,LT playlist,Miheer Diwan 
Ritviz,Udd Gaye (Bacardi House Party Sessions),Udd Gaye - Bacardi House Party Sessions,6wZJsut8fjiWiMPaccRAOX,0.595,0.818,11,-6.189,0,0.0479,0.0386,0.142,0.48,144.956,180414,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,A Decade of Love,Iktara,1U5ZT7c7Sw84xDcoEt0Zaq,0.609,0.531,7,-7.18,1,0.0267,0.000324,0.291,0.381,80.012,254720,4,Miheer Diwan,LT playlist,Miheer Diwan 
The Local Train,Aalas Ka Pedh,Dil Mere,6ZmtxXUXRVjxOhugKkmerC,0.655,0.473,8,-9.806,1,0.0267,0.0323,0.167,0.572,92.962,211290,4,Miheer Diwan,LT playlist,Miheer Diwan 
The Local Train,Vaaqif,Aaftaab,4LtSTc3xANVhYeeN69nscM,0.464,0.391,6,-9.884,1,0.0384,9.64e-05,0.105,0.418,106.887,233472,4,Miheer Diwan,LT playlist,Miheer Diwan 
Ankur Tewari,Side A,Wagairah Wagairah,5GcjIiSS47T64N1DFxn1UK,0.741,0.295,9,-11.044,1,0.0446,0.0,0.142,0.236,125.936,217627,4,Miheer Diwan,LT playlist,Miheer Diwan 
Various Artists,Gully Boy,Jeene Mein Aye Maza,33HXbggKvIitg7y3UBhNfn,0.743,0.215,2,-14.52,0,0.0514,0.604,0.0814,0.521,162.09,199344,3,Miheer Diwan,LT playlist,Miheer Diwan 
Ankur Tewari,Side B,Dil Haare,26u6HGjzExhRZD5ifgTBnG,0.624,0.576,9,-7.976,1,0.0297,0.00232,0.127,0.422,128.057,268513,4,Miheer Diwan,LT playlist,Miheer Diwan 
