artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Destiny's Child,Destiny Fulfilled,Cater 2 U,0FZvjrHpAmLKj574M4VwrF,0.605,0.584,11,-7.043,0,0.197,0,0.235,0.464,125.802,245400,4,sewen,Clean Secular,Oluseun Olulana
Deborah Cox,Ultimate Deborah Cox,Absolutely Not - Radio Edit,0YDgXYzMBNna9SRABIVu5W,0.596,0.884,1,-6.104,0,0.247,0,0.0369,0.866,199.68,214067,4,sewen,Clean Secular,Oluseun Olulana
JAY-Z,The Blueprint 3,Empire State Of Mind,2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,1,0.392,0,0.46,0.811,173.585,276920,4,sewen,Clean Secular,Oluseun Olulana
Alicia Keys,Girl On Fire,Brand New Me,0827eActpDYORuhgvWB0oY,0.383,0.328,0,-12.604,1,0.0605,0.000105,0.152,0.154,145.222,233560,4,sewen,Clean Secular,Oluseun Olulana
Kanye West,The College Dropout,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0,0.484,0,0.139,0.434,91.03,223507,4,sewen,Clean Secular,Oluseun Olulana
Kanye West,The College Dropout,Jesus Walks,5g1vtHqi9uV7xtYeCcFOBx,0.637,0.834,3,-4.686,0,0.323,0,0.317,0.715,87.312,193733,4,sewen,Clean Secular,Oluseun Olulana
Kanye West,Graduation,Stronger,4fzsfWzRhPawzqhX8Qt9F3,0.617,0.717,10,-7.858,0,0.153,0,0.408,0.49,103.992,311867,4,sewen,Clean Secular,Oluseun Olulana
Kanye West,Graduation,Can't Tell Me Nothing,2MIBAmYwiuGoKUlpq9B9sZ,0.596,0.62,5,-6.133,0,0.039,0,0.82,0.102,80.029,271600,4,sewen,Clean Secular,Oluseun Olulana
Gyakie,Forever (Remix),Forever (Remix),4vLY6fJQWgBzQYHzguDZme,0.543,0.482,1,-5.927,1,0.0526,0.000395,0.101,0.522,133.369,201600,5,sewen,Clean Secular,Oluseun Olulana
Beyoncé,I AM...SASHA FIERCE,Ego,6GcuA4J9ruyClBizBd4m5E,0.623,0.389,1,-7.816,1,0.241,0,0.163,0.489,79.454,236360,4,sewen,Clean Secular,Oluseun Olulana
LADIPOE,Feeling,Feeling,29e2gdZN35wxeGgDtkXjIa,0.615,0.575,7,-6.515,0,0.4,4.27e-06,0.324,0.552,134.791,224000,5,sewen,Clean Secular,Oluseun Olulana
Kanye West,The College Dropout,Never Let Me Down,34j4OxJxKznBs88cjSL2j9,0.459,0.816,11,-4.872,0,0.403,0,0.169,0.643,80.293,324440,4,sewen,Clean Secular,Oluseun Olulana
Beyoncé,I AM...SASHA FIERCE - Platinum Edition,Sweet Dreams,2wNGoon7FlKnVEyYS1ZRBQ,0.693,0.822,1,-6.01,1,0.102,1.73e-05,0.061,0.765,121.969,207480,4,sewen,Clean Secular,Oluseun Olulana
Fantasia,Fantasia,When I See U,4iuNZTcvT9diFySSzVsnVS,0.569,0.596,8,-6.486,1,0.172,7.92e-05,0.205,0.754,93.135,217347,4,sewen,Clean Secular,Oluseun Olulana
Mary J. Blige,No More Drama,Family Affair,3aw9iWUQ3VrPQltgwvN9Xu,0.911,0.551,8,-3.75,0,0.0449,4.12e-05,0.0863,0.969,92.887,265867,4,sewen,Clean Secular,Oluseun Olulana
Rasheeda,Dirty South,Make It Hot,4NBgOWpr9ecamY1EBLYIpM,0.876,0.802,4,-5.944,0,0.143,1.96e-06,0.0708,0.784,108.947,209267,4,sewen,Clean Secular,Oluseun Olulana
Iyanya,Applaudise,Mr. Oreo,20z38ayajwLwUVwxBHPXO5,0.464,0.738,1,-8.452,1,0.0705,0.000613,0.158,0.789,105.834,224888,4,sewen,Clean Secular,Oluseun Olulana
