artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
The Belonging Co,Every Victory (Live),Every Victory - Live,43kVMDyDrekHYKio5D6ftF,0.393,0.693,3,-6.896,1,0.044,0,0.349,0.126,139.937,527795,4,sewen,My Shazam Tracks,Oluseun Olulana
The Present Sound,Elevate,Elevate,5QbrS7oQRYAFRNkB4hXZDq,0.596,0.731,7,-9.762,1,0.0375,0.927,0.15,0.449,93.007,170500,4,sewen,My Shazam Tracks,Oluseun Olulana
Amerie,1 Thing EP,1 Thing (feat. BG),1AaoUoGS4QYYMPAbqNBygh,0.592,0.928,10,-4.11,0,0.247,0,0.0378,0.78,127.191,253267,5,sewen,My Shazam Tracks,Oluseun Olulana
Various Artists,All Things Are Possible (PraiseWalk with Kim Alexis),You Are The One I Love,2qEe5yC0sxa5JlS3q8Mped,0.483,0.82,7,-4.963,1,0.0316,0,0.94,0.668,151.964,187453,4,sewen,My Shazam Tracks,Oluseun Olulana
M.I. Abaga,The Guy,The Guy,6blCtzooXNbKlyDMgdp5zo,0.888,0.724,1,-8.604,1,0.265,4.63e-05,0.111,0.622,129.952,197538,4,sewen,My Shazam Tracks,Oluseun Olulana
Runtown,Ghetto University,Gallardo,1gl7x2dMQErtUEB1Ur0Egm,0.772,0.797,10,-5.849,1,0.0776,0.00328,0.129,0.962,130.005,206446,4,sewen,My Shazam Tracks,Oluseun Olulana
Keyla Richardson,So Good,Prayer Will Change Things - Extended Version,0i5EqpSN7WJRCB6jtY6GOm,0.537,0.805,5,-5.906,0,0.0788,0,0.172,0.696,119.995,386682,3,sewen,My Shazam Tracks,Oluseun Olulana
JP Cooper,Raised Under Grey Skies (Deluxe),Momma's Prayers,482wtNOgjcKepFrwPeIT5Q,0.471,0.527,10,-9.901,1,0.0523,2.83e-06,0.138,0.235,79.193,305583,4,sewen,My Shazam Tracks,Oluseun Olulana
Henrisoul,BOW,Deredu,7LihHUHERF6YG5zFT1N0MZ,0.474,0.598,4,-7.762,1,0.0536,4.99e-05,0.0918,0.529,120.039,226013,3,sewen,My Shazam Tracks,Oluseun Olulana
Mavins,Overloading (OVERDOSE),Overloading (OVERDOSE),4lVEVXrlQlXPdYWMGTwrFe,0.546,0.611,0,-9.459,0,0.172,0.00149,0.101,0.749,104.059,205000,4,sewen,My Shazam Tracks,Oluseun Olulana
S high,Hypnotize,Hypnotize,3K6KPwVBpyzje1UaHh5N1i,0.676,0.543,6,-3.963,0,0.227,3.03e-05,0.137,0.54,102.504,206821,4,sewen,My Shazam Tracks,Oluseun Olulana
Donell Jones,Where I Wanna Be,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",5PMKzsUsTpZZGsCcJBuhP2,0.854,0.543,8,-6.166,0,0.0844,5.73e-05,0.0419,0.868,103.032,243733,4,sewen,My Shazam Tracks,Oluseun Olulana
