artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Aerosmith,AEROSMITH,Dream On,3tAQNhm1o0kzldsI5QkrB1,0.393,0.433,5,-10.045,0,0.0255,8.41e-05,0.234,0.238,79.588,267307,4,Spotify,Rock Mix,Omkar Bharambe
Creedence Clearwater Revival,Willy And The Poor Boys (Expanded Edition),Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.00806,0.152,0.663,132.77,140773,4,Spotify,Rock Mix,Omkar Bharambe
KISS,Dynasty,I Was Made For Lovin' You,07q0QVgO56EorrSGHC48y3,0.768,0.852,4,-6.215,1,0.038,7.36e-05,0.0723,0.867,128.373,271240,4,Spotify,Rock Mix,Omkar Bharambe
Steppenwolf,Steppenwolf,Born To Be Wild,63OFKbMaZSDZ4wtesuuq6f,0.438,0.71,2,-12.412,1,0.0919,0.537,0.221,0.53,145.928,210373,4,Spotify,Rock Mix,Omkar Bharambe
Guns N' Roses,Appetite For Destruction,Paradise City,3YBZIN3rekqsKxbJc9FZko,0.273,0.952,11,-8.762,1,0.0843,0.0111,0.142,0.472,100.271,405640,4,Spotify,Rock Mix,Omkar Bharambe
Deep Purple,Machine Head (Remastered),Smoke On The Water - Remastered 2012,5MMnwYs0hIxkENRsbkWJ2G,0.598,0.676,0,-9.211,1,0.0279,0.225,0.112,0.805,114.169,340742,4,Spotify,Rock Mix,Omkar Bharambe
Aerosmith,Toys In The Attic,Walk This Way,5SZ6zX4rOrEQferfFC2MfP,0.653,0.73,5,-10.613,1,0.043,1.03e-05,0.0754,0.894,108.705,220400,4,Spotify,Rock Mix,Omkar Bharambe
Black Sabbath,Paranoid (2009 Remastered Version),Paranoid,1jzDzZWeSDBg5fhNc3tczV,0.429,0.631,4,-11.514,0,0.0769,0.00411,0.175,0.376,162.734,168440,4,Spotify,Rock Mix,Omkar Bharambe
Led Zeppelin,Led Zeppelin II (1994 Remaster),Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.131,0.405,0.422,89.74,333893,4,Spotify,Rock Mix,Omkar Bharambe
ZZ Top,Tres Hombres (Expanded 2006 Remaster),La Grange - 2005 Remaster,70YvYr2hGlS01bKRIho1HM,0.545,0.64,4,-9.937,0,0.224,0.0304,0.196,0.606,80.544,230480,4,Spotify,Rock Mix,Omkar Bharambe
Scorpions,Love At First Sting,Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,0.482,0.617,4,-12.931,0,0.0458,0.000146,0.284,0.718,125.697,252493,4,Spotify,Rock Mix,Omkar Bharambe
Bon Jovi,Crush,It's My Life,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,0,-4.063,0,0.0466,1.35e-05,0.347,0.544,119.992,224493,4,Spotify,Rock Mix,Omkar Bharambe
