artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Diana Krall,When I Look In Your Eyes,Let's Fall In Love,4IVyX0UJzGyUk0MLiz1jVJ,0.615,0.177,5,-16.925,0,0.0465,0.000186,0.135,0.383,124.558,258960,4,Spotify,Jazzy Romance,Public 14
Jamie Cullum,Twentysomething,What A Difference A Day Made,5PbSvsljhgxijSYV5cG5xU,0.627,0.32,5,-11.007,1,0.0274,0.000111,0.126,0.396,96.507,309693,3,Spotify,Jazzy Romance,Public 14
Melody Gardot,Sunset In The Blue,If You Love Me,7i9RIEuPvpQ8NtfI0dSJeK,0.235,0.213,0,-14.154,0,0.0358,0.0938,0.1,0.134,181.897,274398,3,Spotify,Jazzy Romance,Public 14
Laura Fygi,Jazz Love,La vie en rose,5ShdF7P8hl40IhvhoTnVyx,0.497,0.206,3,-12.637,1,0.031,1.27e-06,0.104,0.181,81.63,227953,3,Spotify,Jazzy Romance,Public 14
Steve Tyrell,This Guy's In Love,I've Got a Crush On You,0Kp6wskdOWA5U74pbtZ3qQ,0.568,0.375,7,-9.167,1,0.0319,0.000107,0.103,0.231,79.09,152000,4,Spotify,Jazzy Romance,Public 14
Michael Bublé,Nobody but Me (Deluxe),On an Evening in Roma (Sott'er Celo de Roma),4JEC2RIrXV1owJNVKanIAT,0.431,0.334,6,-7.645,1,0.0313,2.89e-06,0.119,0.658,137.021,162520,4,Spotify,Jazzy Romance,Public 14
Tony Bennett,Duets II,Body and Soul,01hJnhpAmjzg85Etnz2ECH,0.342,0.249,1,-11.812,1,0.0277,5.09e-05,0.152,0.203,94.746,200587,3,Spotify,Jazzy Romance,Public 14
Emilie-Claire Barlow,Haven't We Met?,You Make Me Feel so Young,6SYFwqZvPueoTBLoNjidAs,0.744,0.327,2,-9.834,1,0.0345,8.39e-06,0.137,0.442,132.018,248417,4,Spotify,Jazzy Romance,Public 14
Renee Olstead,Skylark (Std. Version),When I Fall in Love (feat. Chris Botti),7wwDhqPS3gxRDenfX2GtiT,0.39,0.219,1,-10.651,1,0.0322,2.02e-05,0.0921,0.117,125.471,283093,4,Spotify,Jazzy Romance,Public 14
Diana Krall,Turn Up The Quiet,Night And Day,5gSYmTVASekarEoK4puiRD,0.49,0.121,5,-18.532,1,0.029,0.0808,0.122,0.256,103.683,278293,4,Spotify,Jazzy Romance,Public 14
Ann Hampton Callaway,Signature,A Kiss To Build A Dream On,5ZFWfIZhKqwG8l1UGqqLig,0.689,0.205,7,-12.468,1,0.0423,0.000223,0.107,0.397,97.62,185733,4,Spotify,Jazzy Romance,Public 14
Eliane Elias,Dance Of Time,Little Paradise,7p3AeUfrHFKdBuyVTXwXKW,0.399,0.277,5,-15.422,0,0.0357,0.638,0.113,0.127,80.465,299507,4,Spotify,Jazzy Romance,Public 14
Madeleine Peyroux,Got You on My Mind,The Way You Look Tonight,4YzVZ67bjyhs1BylmBZDzx,0.569,0.391,8,-12.264,1,0.0452,0.000182,0.173,0.509,100.998,182509,4,Spotify,Jazzy Romance,Public 14
Michael Bublé,Crazy Love,All of Me,3ts3nBCGF7K9JvSjWVQfX8,0.536,0.31,0,-8.041,1,0.0492,0.000145,0.162,0.472,127.597,187853,4,Spotify,Jazzy Romance,Public 14
Melody Gardot,Sunset In The Blue (Deluxe Version),Love Song,5Kl1fxp9mTCwtqDaxfDV7i,0.459,0.216,5,-14.275,1,0.0431,0.0602,0.116,0.273,80.239,325660,4,Spotify,Jazzy Romance,Public 14
Nicole Henry,Moon River,Moon River,1oFnBxOvkmjiUo6dBCEEoC,0.301,0.226,6,-12.411,1,0.0327,0.000229,0.12,0.235,52.081,310827,4,Spotify,Jazzy Romance,Public 14
Diana Krall,This Dream Of You,Autumn In New York,4TUYXBMD004ZwWTeYcynFH,0.503,0.109,3,-15.336,0,0.0356,0.0014,0.252,0.201,118.024,319227,4,Spotify,Jazzy Romance,Public 14
Natalie Cole,Unforgettable: With Love,Our Love Is Here To Stay,4sG2lkGzzYu7CAT0Z2V8Vu,0.399,0.0971,0,-14.966,1,0.0285,3.83e-06,0.0715,0.135,68.897,209960,4,Spotify,Jazzy Romance,Public 14
Nicki Parrott,From New York To Paris,I Will Wait For You,7C7KLdwjjIvCWcxPwmgvaV,0.46,0.179,3,-14.034,0,0.0346,0.216,0.132,0.241,93.271,330747,4,Spotify,Jazzy Romance,Public 14
Sophie Milman,Sophie Milman,My Baby Just Cares For Me,1b8AEwsyE0NTgvySRi6SFz,0.639,0.591,8,-6.562,1,0.0328,3.96e-06,0.328,0.624,121.862,214547,4,Spotify,Jazzy Romance,Public 14
