artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Lord Huron,Strange Trails,The Night We Met,6mORGLOz79w6VsCRLWYYuK,0.443,0.369,9,-9.514,1,0.0441,0.277,0.638,0.0989,174.107,208212,3,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Hozier,Hozier,Take Me to Church,0aOluBqXYd0rFSCsgDyAWX,0.575,0.664,4,-5.303,0,0.0481,0.0,0.116,0.437,129.07,241693,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Labrinth,Jealous,Jealous,4L2K7JKseFCBoHMZEAszW0,0.439,0.153,1,-8.95,1,0.0479,0.0,0.107,0.104,116.76,287693,3,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
James Arthur,James Arthur (Deluxe),Impossible,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.0,0.11,0.302,169.533,209440,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Tom Odell,Long Way Down (Deluxe),Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,1.65e-05,0.0944,0.131,122.769,244360,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Labrinth,Electronic Earth (Expanded Edition),Beneath Your Beautiful (feat. Emeli Sandé),2EcsgXlxz99UMDSPg5T8RF,0.561,0.522,2,-5.857,1,0.0318,0.0,0.104,0.238,83.962,271813,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Lewis Capaldi,Bruises,Bruises,5KfSsgAJGrZc3VrcPLFVMo,0.575,0.323,1,-6.213,0,0.0717,0.0,0.169,0.357,118.641,218492,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Calum Scott,Dancing On My Own,Dancing On My Own,02WacdrRpm4zlP8H7X6bnQ,0.608,0.174,1,-8.796,1,0.0332,1.92e-05,0.0855,0.193,112.175,260004,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,0.681,0.372,5,-8.237,1,0.0432,0.0,0.169,0.476,91.873,201000,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
James Arthur,Say You Won't Let Go,Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,0.4,0.564,10,-7.444,1,0.0523,0.0,0.0863,0.483,99.269,211240,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Ed Sheeran,÷ (Deluxe),Happier,2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0.0,0.135,0.236,89.792,207520,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,11,-6.319,1,0.0362,0.0,0.0813,0.443,126.684,196373,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Lewis Capaldi,Lost On You,Lost On You,5hn1VvnTKDUne8wGB4UfXB,0.563,0.261,10,-9.251,1,0.0709,0.0,0.0982,0.411,125.129,195579,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Billie Eilish,dont smile at me,ocean eyes,7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,4,-7.65,0,0.041,0.0317,0.084,0.169,144.892,200379,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Tom Walker,What a Time To Be Alive,Just You and I - Acoustic,1vkUmedJVhScV9MmRsLGSY,0.477,0.52,9,-7.582,1,0.395,4.34e-06,0.0978,0.383,171.895,198102,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
James TW,First Impressions,When You Love Someone,1o6YK7phnXgsljfWSQQfWc,0.675,0.444,7,-6.067,1,0.028,0.0,0.0531,0.356,125.884,216373,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Sam Smith,Love Goes,Fire On Fire,7t3Xdbufg7q2onVsR8RBdY,0.584,0.408,1,-7.356,0,0.0461,0.0,0.18,0.333,115.129,246735,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Sleeping At Last,Atlas: II,Touch,4g2WiijzSKzH8PApKDbadN,0.415,0.104,0,-11.83,1,0.0426,3.79e-06,0.104,0.18,82.006,256300,3,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Kodaline,In A Perfect World (Expanded Edition),All I Want,0NlGoUyOJSuSHmngoibVAs,0.188,0.411,0,-9.733,1,0.0484,0.153,0.0843,0.159,187.376,305747,3,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
James Arthur,Back from the Edge,Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,0.696,0.543,11,-6.164,1,0.0489,0.0,0.0939,0.479,107.969,246880,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Tom Odell,Long Way Down (Deluxe),Heal,4KlL5Bwlm4yHYxr0B2rHci,0.445,0.179,1,-12.938,1,0.0396,0.00056,0.107,0.119,72.246,193080,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,0.688,0.53,11,-5.507,1,0.0333,0.0,0.0995,0.162,106.958,205687,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Dean Lewis,A Place We Knew,Half A Man,1ugQtcwmKOXvKAYzhjncmv,0.507,0.204,0,-11.575,1,0.0504,0.0,0.143,0.343,77.765,179120,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Jeremy Zucker,brent,you were good to me,4CxFN5zON70B3VOPBYbd6P,0.561,0.0848,2,-15.099,1,0.0404,2.62e-05,0.112,0.206,102.128,219147,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Forever,12OLyHDxt6dqlAybSPFBK3,0.646,0.355,1,-7.119,1,0.0263,0.0,0.115,0.364,84.988,210863,4,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
Christian Leave,Hope,Can't Help Falling in Love,6VrAgFXBbRX2PkT92lAoKK,0.608,0.269,0,-7.201,1,0.0329,1.96e-06,0.337,0.389,126.372,135714,3,thomasloevstad,goosebumps🙏🏼,Rushabh Kheni
