artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Sammy Rae & The Friends,The Good Life,The Feeling,1aVedqqfdBKK0XsrjNJerA,0.716,0.709,5,-4.978,1,0.0719,0,0.0886,0.763,127.059,236213,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,The Good Life,Good Life,0qiNlQTetHl0Xw7Wjdx5Sj,0.429,0.798,3,-5.361,0,0.0836,0,0.0676,0.393,99.481,236000,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,The Good Life,Flesh & Bone,0awxPw2WkYJVzcSKWvJZAh,0.631,0.534,2,-6.783,0,0.0848,0,0.077,0.824,145.808,267677,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,The Good Life,Talk It Up,32jOQyOqRdxSEiQJTjvZM2,0.524,0.733,7,-4.668,1,0.0937,0,0.0931,0.674,112.706,238480,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,The Good Life,Kick It to Me,5omukHtcJduzkSfOlze4iB,0.596,0.675,2,-6.43,1,0.0582,1.51e-05,0.168,0.82,160.05,387600,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Jank Setup,In Motion,In Motion,3iDnfEHmYDrrB8FjBQIgVL,0.406,0.55,9,-7.025,0,0.166,3.67e-05,0.133,0.571,75.108,327691,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Luther Vandross,Never Too Much,Don't You Know That?,5RooV1JApOOviPiQcho9xx,0.611,0.568,9,-11.681,0,0.0882,0,0.0419,0.626,92.018,242680,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Luther Vandross,Never Too Much,Sugar and Spice (I Found Me a Girl),3IQENjEErvPxbEukFDjebv,0.689,0.649,5,-10.802,1,0.0665,0,0.161,0.8,110.508,297880,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Luther Vandross,Never Too Much,Never Too Much,3nFJbZCHP4d9vduKjJLdBL,0.734,0.586,2,-11.866,1,0.129,0,0.0367,0.762,109.933,230467,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Michael Jackson,Thriller,P.Y.T. (Pretty Young Thing),1CgmY8fVN7kstVDZmsdM5k,0.894,0.67,11,-9.406,0,0.0474,0.000363,0.0691,0.961,127.209,239027,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Michael Jackson,Thriller,Billie Jean,7J1uxwnxfQLu4APicE5Rnj,0.932,0.457,11,-9.62,0,0.0541,0.0436,0.0414,0.884,117.002,294227,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Michael Jackson,Thriller,Beat It,3BovdzfaX4jb5KFQwoPfAw,0.776,0.711,3,-9.03,0,0.0473,0.000353,0.234,0.901,138.728,258400,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Michael Jackson,Thriller,Thriller,2LlQb7Uoj1kKyGhlkBf9aC,0.771,0.687,11,-9.814,1,0.0693,0.000225,0.89,0.783,118.392,357800,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Scary Pockets,Nu Funk,If I Ain’t Got You,2pIVtQtYOsSptesL6eTMms,0.733,0.752,0,-3.825,1,0.143,0,0.0701,0.848,87.6,174000,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Scary Pockets,Nu Funk,Killing Me Softly,33JtNLiczBlcVTAzxRqXEv,0.61,0.655,0,-4.245,1,0.105,0,0.202,0.801,97.874,200000,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Scary Pockets,Nu Funk,2 Become 1,2gZy7i4tsLifnsR0VHP1D7,0.606,0.63,1,-4.008,1,0.209,0,0.0614,0.705,85.088,173571,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,Let's Throw a Party,Let's Throw a Party!,4YP1P8UXu1hodrssrhIXSu,0.463,0.719,0,-7.541,1,0.15,6.1e-06,0.817,0.36,137.747,304053,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
Sammy Rae & The Friends,Let's Throw a Party,Whatever We Feel,65vP7L4UF4tFjWYTWcajyM,0.562,0.715,2,-7.852,1,0.103,0,0.75,0.744,107.426,208966,4,Ryan Dieselman,Funk/R&B Stuff,Ryan Dieselman
