artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Electric Light Orchestra,Out of the Blue,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,3.73e-06,0.248,0.478,177.765,303373,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
The Doobie Brothers,The Captain and Me,China Grove,7cy1bEJV6FCtDaYpsk8aG6,0.623,0.91,9,-8.448,1,0.0384,0.000448,0.081,0.745,145.624,195307,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
AC/DC,Back In Black,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.00965,0.0828,0.763,188.386,255493,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Queen,A Night At The Opera (Deluxe Remastered Version),Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0,-9.961,0,0.0536,0.0,0.243,0.228,143.883,354320,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Norman Greenbaum,Spirit In The Sky,Spirit In The Sky,3PPDUkGHUJx2bxct6A3PBy,0.604,0.614,9,-7.087,1,0.0317,0.00403,0.108,0.592,129.137,242893,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
The Who,The Who Sings My Generation (U.S. Version),My Generation - Mono Version,45s88Xopo6KvHc0PQ05aGg,0.299,0.787,0,-7.93,0,0.069,0.0,0.292,0.716,94.798,198867,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Electric Light Orchestra,Out of the Blue,Sweet Talkin' Woman,0xAhbD6lCf5re1RXl5yiTm,0.609,0.611,0,-9.208,1,0.0298,0.0,0.093,0.916,121.836,229867,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Electric Light Orchestra,Out of the Blue,Turn to Stone,1Pd1h30mgU05QkWYhgFzwt,0.548,0.72,1,-9.777,0,0.0409,0.000232,0.107,0.458,140.966,229093,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Electric Light Orchestra,Discovery,Don't Bring Me Down,72ahyckBJfTigJCFCviVN7,0.638,0.867,2,-6.469,1,0.0331,0.000733,0.0846,0.805,115.692,243373,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Electric Light Orchestra,Discovery,Last Train to London,6xE6ZWzK1YDDSYzqOCoQlz,0.727,0.537,7,-9.785,1,0.0295,0.000789,0.349,0.954,121.493,270067,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Electric Light Orchestra,Discovery,Shine a Little Love,5X6HkkTe8mUwkHo3Lccr6E,0.687,0.695,7,-8.95,1,0.032,0.00806,0.0569,0.884,133.134,281027,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Blue Swede,Hooked On A Feeling,Hooked On A Feeling,6Ac4NVYYl2U73QiTt11ZKd,0.547,0.82,8,-6.728,1,0.0805,0.0,0.3,0.933,118.208,172867,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Maroon 5,Songs About Jane,This Love,6YgV0EF8xJMZz0Zm6BTaT4,0.712,0.862,5,-4.612,0,0.0378,0.0,0.093,0.809,95.051,206200,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Maroon 5,Songs About Jane,Must Get Out,7xlIrLvCs7digqxVI3LKMM,0.749,0.531,7,-6.636,1,0.0324,0.0,0.237,0.317,97.022,239440,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Marvin Gaye,United,Ain't No Mountain High Enough,1LeWIs2hP2r5yOQnVuYoI5,0.663,0.6,7,-10.87,1,0.032,0.0,0.184,0.8,129.991,151667,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Neon Trees,Picture Show (Deluxe Edition),Everybody Talks,3528IXKpbb7OMjdjWYlbfD,0.471,0.924,8,-3.906,1,0.0586,0.0,0.313,0.725,154.961,177280,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Raspberries,Raspberries,Go All The Way,75GQIYnRaBg7ndHxhfYuQy,0.305,0.849,9,-4.892,1,0.0999,0.000134,0.0995,0.555,134.287,205347,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Snow Patrol,Greatest Hits,Shut Your Eyes,5wOxk3wXs9zjxrkEaaZUMe,0.689,0.73,1,-6.308,1,0.029,7e-05,0.0953,0.841,125.002,196653,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
The Who,Who Are You,Who Are You,02DurCgOvDdX0uKEjqcl3W,0.653,0.631,9,-11.334,1,0.0461,0.00265,0.0627,0.516,156.32,381627,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Frankie Lymon,Rock & Roll With Frankie Lymon,Waiting In School,7oBe21xiPmPzUzHD2muUc0,0.438,0.556,10,-15.387,1,0.15,0.0,0.0907,0.878,201.948,125453,3,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Frankie Lymon,Rock & Roll With Frankie Lymon,It Hurts To Be In Love,6lV3lUY08vYirvoGDyiazE,0.476,0.477,4,-14.548,1,0.0369,0.0,0.131,0.963,141.176,129520,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Maroon 5,Songs About Jane,Harder To Breathe,2RjpDxBii8EvC6p6wxwCSz,0.662,0.908,1,-4.764,0,0.0449,0.0,0.0508,0.967,149.941,173693,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Maroon 5,Songs About Jane,Sweetest Goodbye,44R3zk8n5b3g5fTEXCkwnW,0.566,0.819,1,-5.951,1,0.104,0.0,0.187,0.708,164.004,270733,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Rock and Roll - Remaster,4PRGxHpCpF2yoOHYKQIEwD,0.317,0.887,9,-7.292,1,0.0375,0.00258,0.0891,0.871,169.613,220561,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Various Artists,Cars (Original Motion Picture Soundtrack),Life is a Highway,5gB2IrxOCX2j9bMnHKP38i,0.562,0.934,5,-5.562,1,0.0607,0.0,0.199,0.558,103.042,275640,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Creedence Clearwater Revival,Willy And The Poor Boys (Expanded Edition),Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.00806,0.152,0.663,132.77,140773,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
Aerosmith,Aerosmith,Dream On,5MxNLUsfh7uzROypsoO5qe,0.307,0.433,1,-10.057,1,0.029,9.08e-05,0.332,0.224,160.9,266960,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),Moonage Daydream - 2012 Remaster,6mib3N4E8PZHAGQ3xy7bho,0.56,0.605,11,-11.209,0,0.0348,0.000162,0.0585,0.756,144.478,279693,4,Ryan Dieselman,Rock / Rock and Roll,Ryan Dieselman
