artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4,leœ,weekly bonchon!!,Shauna Lionerdo
Ginger Root,Holy Hell,Holy Hell,213RFtIruWs7V6pAAvArRV,0.697,0.841,9,-5.342,1,0.04,0.596,0.106,0.696,136.977,204708,4,leœ,weekly bonchon!!,Shauna Lionerdo
NIKI,Nicole,High School in Jakarta,1zxfRSZcaonV1VXcY0PgY5,0.873,0.488,7,-8.285,0,0.0413,0.000132,0.153,0.462,119.983,219040,4,leœ,weekly bonchon!!,Shauna Lionerdo
Luna Li,jams 2,daydream,6QW2IF2VV2TE7LJGFAEgO7,0.388,0.457,10,-9.889,1,0.0551,0.972,0.412,0.259,174.298,69051,4,leœ,weekly bonchon!!,Shauna Lionerdo
Numcha,Keep Cold,Keep Cold,3IgTrdtmSqAWsFmXTEftOv,0.642,0.553,2,-6.602,1,0.0289,0.00131,0.141,0.407,82.953,236500,4,leœ,weekly bonchon!!,Shauna Lionerdo
PPCX,1999,촉촉,5qHKarve6fmTZZ2r2SwTgT,0.759,0.771,7,-6.421,1,0.0512,0.000213,0.0397,0.71,107.028,206449,4,leœ,weekly bonchon!!,Shauna Lionerdo
Ginger Root,Loneliness,Loneliness,0t1qI2DYS68veTpLBGUsNM,0.588,0.902,11,-4.88,1,0.0459,0.447,0.332,0.665,137.947,207210,4,leœ,weekly bonchon!!,Shauna Lionerdo
Ginger Root,Juban District,Juban District,0MTxfrDnNX0cIQkWhCm58d,0.828,0.822,11,-5.112,0,0.0495,0.563,0.214,0.889,125.032,201360,4,leœ,weekly bonchon!!,Shauna Lionerdo
Kim Petras,Coconuts,Coconuts,71yN0yrHej3jhKXewbmtEh,0.728,0.863,2,-4.67,0,0.0675,0.000259,0.167,0.489,111.972,168559,4,leœ,weekly bonchon!!,Shauna Lionerdo
Mac DeMarco,Another One,No Other Heart,2aaCNg42RA74s0EmHTBqS7,0.67,0.684,2,-7.47,1,0.0242,0.0103,0.126,0.852,94.261,173118,4,leœ,weekly bonchon!!,Shauna Lionerdo
Ginger Root,Loretta,Loretta,3eZqBNHlNA4lUsbAB6UmvD,0.706,0.801,2,-5.646,1,0.0462,0.594,0.143,0.887,130.001,190154,4,leœ,weekly bonchon!!,Shauna Lionerdo
