artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Modest Mouse,Sad Sappy Sucker,Birds vs Worms,66M1MB8YazdH8FkmJh5Jfs,0.606,0.457,9,-11.809,1,0.0297,0.728,0.0796,0.77,105.937,133333,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,March Into the Sea,47UsZiH2ul5QWjaY2aPbEK,0.37,0.862,11,-5.413,0,0.235,0.0325,0.11,0.556,200.917,210813,3,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,Dashboard,0Fe3WxeO6lZZxj7ytvbDUh,0.639,0.903,11,-5.013,0,0.0371,7.06e-05,0.174,0.96,135.938,246173,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,Fire It Up,5BzQvpJt4C90POnaTNaToM,0.632,0.7,7,-5.732,1,0.0349,1.87e-05,0.395,0.686,172.02,274613,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,Missed the Boat,4asjU3sDnn3002bTJIg2vZ,0.71,0.698,2,-5.797,1,0.0332,0.0,0.478,0.852,104.007,264813,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,We've Got Everything,1txsP5vvCg4S13iHiOfusf,0.674,0.976,2,-2.651,0,0.0363,0.0,0.361,0.674,117.528,220373,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,We Were Dead Before The Ship Even Sank,People As Places As People,2RE9Gd19VKNpwZ8dz7yuDE,0.676,0.891,9,-5.732,1,0.0267,0.00787,0.571,0.845,110.174,222147,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,The World At Large,5op53ANI4exiWqFHKuwWxd,0.523,0.477,6,-9.076,1,0.0254,0.000106,0.101,0.249,76.973,272507,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,Bury Me With It,72zsr1jSMnaMPtl713jXeJ,0.521,0.931,2,-4.549,1,0.0654,0.0,0.243,0.816,170.048,229867,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,Bukowski,27QCaXOhT6qY0NT6tv5IZ6,0.622,0.413,8,-9.975,1,0.0457,0.00235,0.131,0.52,130.166,254667,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,This Devil's Workday,5b9lH8ThEcXGWsBM3TqAi5,0.47,0.635,7,-5.716,0,0.0446,0.0,0.562,0.913,210.025,139307,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,Satin In A Coffin,604fgWYaIUfr9UtBe9bj1p,0.458,0.836,7,-6.146,0,0.0479,0.0,0.365,0.417,173.839,155200,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,Black Cadillacs,0UhIdavKe4EQSJCTPd6wQa,0.654,0.786,0,-4.697,1,0.0879,0.0,0.0756,0.806,120.097,163427,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,The Lonesome Crowded West,Teeth Like God's Shoeshine,13zrBXzVbpjLcIeeQh4qdG,0.434,0.697,11,-4.39,0,0.0653,4.47e-05,0.356,0.257,109.244,413307,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,The Lonesome Crowded West,Heart Cooks Brain,6ccbDtihsiqqviUM0YqbUu,0.648,0.522,0,-4.787,1,0.0305,0.00106,0.223,0.365,81.515,242933,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,The Lonesome Crowded West,Out of Gas,1ycH1N0MEPNi35KERLj92k,0.806,0.616,0,-6.214,1,0.0378,0.0279,0.145,0.52,81.005,151133,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,The Lonesome Crowded West,Polar Opposites,0uSdPf2hj1cVHBFBjCC1Xr,0.478,0.552,2,-6.46,1,0.0337,0.159,0.103,0.891,175.945,209960,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,Ionizes & Atomizes,1pRV0P4jb57PHhPZEISj81,0.559,0.491,10,-11.491,1,0.0818,0.0175,0.0708,0.2,74.319,261333,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Strangers to Ourselves,Lampshades on Fire,5jJ69cMDMC0aeWPjZo6VP2,0.659,0.906,7,-3.906,0,0.0428,3.27e-06,0.105,0.792,94.997,187720,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,Good News For People Who Love Bad News,Float On,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,6,-4.807,1,0.0293,2.23e-06,0.0888,0.553,100.975,208467,4,Mako,Modest Mouse — ,Spencer
Modest Mouse,This Is a Long Drive for Someone with Nothing to Think About,Dramamine,4p82pfEa4cayPqXLN6Rhzm,0.376,0.736,4,-9.438,0,0.0412,0.105,0.107,0.796,185.12,342000,3,Mako,Modest Mouse — ,Spencer
Modest Mouse,The Moon & Antarctica,3rd Planet,7Gi8kaILAUgjYqgdee9410,0.536,0.567,7,-7.512,1,0.113,1.87e-05,0.109,0.433,82.191,238493,4,Mako,Modest Mouse — ,Spencer
