artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Bruno Mars,An Evening With Silk Sonic,After Last Night (with Thundercat & Bootsy Collins),3jiKUMXqwEodB7gVv1RMZU,0.651,0.703,0,-8.958,0,0.0816,0,0.0608,0.647,140.051,249444,4,Spotify,Daily Mix 5,Squidward Tentacles
Joji,SMITHEREENS,Glimpse of Us,4ewazQLXFTDC8XvCbhvtXs,0.44,0.317,8,-9.258,1,0.0531,4.78e-06,0.141,0.268,169.914,233456,3,Spotify,Daily Mix 5,Squidward Tentacles
ODESZA,In Return,Say My Name (feat. Zyra),1LeItUMezKA1HdCHxYICed,0.749,0.745,6,-7.367,0,0.0479,0.395,0.0748,0.347,115.048,262957,4,Spotify,Daily Mix 5,Squidward Tentacles
NIKI,Every Summertime,Every Summertime,68HocO7fx9z0MgDU0ZPHro,0.628,0.676,6,-4.227,1,0.0424,6.94e-05,0.0978,0.723,78.996,215687,4,Spotify,Daily Mix 5,Squidward Tentacles
Bren Joy,Twenties,Sweet (feat. Landon Sears),3IPBftcOHWxzLFyH5svvnY,0.623,0.73,0,-6.851,1,0.124,0,0.0684,0.549,78.056,226154,4,Spotify,Daily Mix 5,Squidward Tentacles
MAX,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),5SMCxRA6hB2jEhroaYfw6N,0.697,0.368,2,-9.708,1,0.056,0.00016,0.135,0.451,90.011,173428,4,Spotify,Daily Mix 5,Squidward Tentacles
thuy,i hope u see this,universe,7B4UxdHwRKJYRhvXxmgZhM,0.636,0.452,11,-8.298,1,0.0329,1.97e-06,0.104,0.0678,80.004,186627,4,Spotify,Daily Mix 5,Squidward Tentacles
Omar Apollo,Apolonio,Want U Around (feat. Ruel),1Qu24vc8msUVLcMZWa4k1x,0.571,0.443,0,-6.76,1,0.0451,6.95e-06,0.101,0.621,143.923,247720,3,Spotify,Daily Mix 5,Squidward Tentacles
Joseph Vincent,Kahit Maputi Na Ang Buhok Ko,Kahit Maputi Na Ang Buhok Ko,1BDZMlcnaZiRq1ZdT0AKIz,0.859,0.111,5,-16.634,1,0.0404,0.00133,0.105,0.419,105.031,131500,4,Spotify,Daily Mix 5,Squidward Tentacles
Mahalia,LOVE AND COMPROMISE,What Am I?,0iRzyrcxtxIThC9cBoMl3N,0.778,0.612,8,-4.234,0,0.0332,0.000213,0.12,0.187,109.985,148413,4,Spotify,Daily Mix 5,Squidward Tentacles
Sanjana,Can I,Can I,3ZjsCen27ybUZGSQicZCQS,0.767,0.413,9,-7.045,0,0.0784,0,0.117,0.591,89.887,253500,4,Spotify,Daily Mix 5,Squidward Tentacles
