artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Ian Earley,Sunday Kind of Love,Sunday Kind of Love,2IyHPObADSy12bjyshtdQo,0.709,0.674,4,-5.786,1,0.0441,0,0.11,0.557,115.005,147787,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Connor Spiotto,The Villain I Appear to Be,The Villain I Appear to Be,3CnUGF7phvydXWBJUBDDP6,0.489,0.361,1,-9.633,1,0.0404,0,0.308,0.276,109.273,188000,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Fred Engay,Balay-Balay,Sunrise,3JgNFzbjhe7iIt58gLwHrw,0.668,0.514,0,-6.823,1,0.0366,0,0.0852,0.691,112.017,146351,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
BadCameo,Friday Night Time Warp,Healin',6fOb6OUV8jG8fK35fsdqO5,0.797,0.606,5,-6.85,1,0.0355,0.000384,0.124,0.748,103.011,234901,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
The Ridleys,Reflections on Moonlight & Poetry,Maybe - Maybe (Album Version),3pfTh3I83Bp2hcPSOM5OJC,0.81,0.311,2,-15.522,1,0.119,0.00039,0.151,0.458,118.162,226154,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Minimall,HUH!,Static,1H3IaDdlxNVtnUgVssbFZf,0.714,0.503,7,-8.303,1,0.0294,0.000769,0.185,0.788,107.871,211574,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Sir Woman,Sir Woman,Blame It on the Water,7AVM8gUz2ackO1103b72NX,0.693,0.713,11,-6.508,0,0.0392,0.02,0.0802,0.848,101.034,203133,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Ardhito Pramono,"Playlist, Vol. 2",Bulb,7JhZI4MzYLnjQdvxco3kVU,0.561,0.427,7,-9.38,1,0.0387,0,0.327,0.449,76.988,225500,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Sam Greenfield,Banana Song (London Session),Banana Song - London Session,2vF0e9iDV7B3WSAzxzWW5p,0.431,0.763,6,-4.111,1,0.148,1.4e-05,0.153,0.569,199.731,334205,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Dead Bachelors,It's You,It's You,4c0Pf40G0h52bcNakGq59T,0.557,0.817,7,-5.751,1,0.109,0,0.152,0.79,171.898,228197,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Sunset Rollercoaster,落日飛車 Sunset Rollercoaster on Audiotree Live,Summum Bonum - Audiotree Live Version,6jx2sfK7LUFBSBgqLVWzlt,0.663,0.695,0,-10.998,0,0.0346,0.486,0.449,0.575,98.466,362473,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Mae,Multisensory Aesthetic Experience,Kaleidoscope,10YY0pGwZYUU1eVoLaVDux,0.587,0.446,5,-6.862,0,0.0353,0.171,0.0805,0.479,129.866,304028,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Penthouse,Spotlight,Spotlight,21LqzdFaqhvUH54Dz55rx4,0.698,0.605,1,-6.134,1,0.0483,0,0.337,0.835,89.933,224972,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Jordan Feliz,Joy To Our World,Go Tell Em,3ULA3XWpjg0IRpojxPBCLg,0.703,0.741,9,-5.874,0,0.0528,0,0.088,0.801,116.097,172296,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Anna hisbbuR,Now You See Me,Dancing Cus It's Raining,7667IhlsYqSQnXf3PH8p6O,0.823,0.464,10,-10.898,1,0.0874,8.72e-06,0.284,0.71,100.012,194550,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Delights,Cool Sports,Discothèque,6ulgMjbgw1PklSdZKf8SR4,0.615,0.693,4,-6.425,0,0.0313,0.000438,0.0839,0.773,79.671,205693,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
creamy,"running away is easy, it's the living that's hard","running away is easy, it's the living that's hard",6MFYdw85PaK6PtkCcYOyU3,0.578,0.71,11,-8.936,0,0.0293,0.0538,0.33,0.818,93.981,122553,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Early Eyes,Case for You,Case for You,4DbOFdHstaZ8vBDSza2Ei4,0.857,0.444,7,-11.414,1,0.082,0.00614,0.14,0.815,138.003,183596,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Squeeze House,"Squeeze House from the Vault, Vol. 1 (2013-2017)",Man in the Mirror,3nbUt6AC5iTtvDYuzW5kHw,0.611,0.63,8,-8.268,1,0.0497,0.00529,0.288,0.675,103.082,421000,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Couch,COUCH,Stand Up,1NrxxZlIkKKY87jJxw1BzQ,0.707,0.845,7,-4.845,0,0.071,5.59e-05,0.208,0.911,87.021,148945,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Still Pigeon,Sunday Roost,Crocodile Tears,3h57F6FVKvSbOtskwx2C8q,0.81,0.424,0,-9.322,0,0.0417,0.012,0.0694,0.935,115.98,208448,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
H 3 F,UNEMPLOYMENT,Hold Me Close,7CgPH8OWaDYGBXaZ7up1m1,0.591,0.453,1,-10.651,0,0.037,0.000386,0.319,0.497,84.97,244217,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Corinne Bailey Rae,The Sea,Paris Nights / New York Mornings,0l4tZquzNX3KM43B6iHY76,0.556,0.574,2,-9.133,0,0.042,0.000598,0.11,0.575,161.043,231173,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
SOS,Good Company,Good Company,0e6kTPPKVoBsp2ILZXHAeQ,0.775,0.398,9,-13.271,1,0.0283,0.00311,0.0977,0.627,97.999,281633,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Tsuko G.,Persona,Persona,4lrvjZTHfeaLvGG7MKYf8r,0.715,0.787,6,-6.096,0,0.0593,9.98e-06,0.117,0.908,127.973,183772,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Whitney,Candid,Rain,0aGWSE3g81t44RSjqfqr7o,0.629,0.4,4,-11.336,0,0.0333,0.000104,0.0992,0.569,79.372,228695,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
TOUCAN,TOUCAN,To Be Without You,3nQclMUXDoIFmg6sUWpvbN,0.653,0.584,8,-6.225,1,0.0314,6.23e-05,0.113,0.898,108.023,198496,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Fabio Battista,Frühstückssong,Frühstückssong,0n21Ky8uEtw8EMbH7TOHBV,0.746,0.485,9,-8.751,1,0.0344,0,0.106,0.505,87.001,191250,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Greg Mayo,Alone Again,Alone Again,2VbX2o6nhFu6F4SJnERp0x,0.433,0.382,6,-6.979,0,0.0409,0,0.154,0.53,162.129,350320,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Miki Fiki,Kicks,Kicks,70ydUOibvX17LirnIwbIUt,0.838,0.449,7,-10.095,1,0.0874,0.00033,0.286,0.939,87.541,181000,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Fulton Lee,Fulton Lee (The Singles),Love Falls Down,5dsG5uSqcfnw44SxpP2y94,0.848,0.274,10,-12.138,1,0.096,6.04e-05,0.0843,0.568,102.922,187977,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Just Friends,Nothing but Love,I Wanna Love You,2evfbWqjsCIaqJpCYO5uta,0.822,0.418,7,-6.254,1,0.0701,0.00782,0.108,0.507,104.931,251078,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
SoulFa 靈魂沙發,Slumber Days,Who murdered my happiness?,1NdZoiOsN3ME3iD8wynoD9,0.694,0.76,11,-5.803,1,0.0425,0,0.139,0.86,155.993,217021,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Coyote Theory,Wishlist,Wishlist,4irTQpYTKM8ad1XgSdU19x,0.838,0.739,9,-5.531,1,0.0325,1.07e-06,0.19,0.566,119.982,206420,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Whitney,SPARK,MEMORY,5smrq8X3uBuyy5nzREKnJV,0.459,0.435,1,-9.128,0,0.0292,0.31,0.208,0.282,103.094,233795,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Jimmy Needham,"The Hymns Sessions, Vol. 1.",Come Thou Fount,1lp6wex0OoP4RwTJ8HrYbQ,0.714,0.62,1,-8.78,0,0.0412,0,0.058,0.922,104.034,231773,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
insaneintherainmusic,Year 6,"Can You Feel the Sunshine (From ""Sonic R"")",6A52S89bOA5CiXVFp5vVnf,0.588,0.664,0,-9.357,1,0.0795,2.18e-05,0.156,0.44,155.9,293748,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Madds Buckley,"Prayer X (From ""Banana Fish"")","Prayer X (From ""Banana Fish"")",354NSvkz2VLOWLyBQjvHbD,0.618,0.575,8,-10.943,0,0.0538,0.000208,0.111,0.562,87.013,197701,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Micah Edwards,Jean Leon,Girl from the Valley,22rjgNRkjKGtJqxHxbOrFU,0.416,0.563,5,-6.02,1,0.0336,0.00276,0.101,0.713,166.098,202727,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Rocketman,Fool Me,Fool Me,1sOwAMnTuQft3Gz9Qf0B2v,0.43,0.485,0,-9.515,0,0.0407,1.35e-06,0.0763,0.338,179.993,218667,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Rex Orange County,Apricot Princess,Apricot Princess,6SK6sdcklU02bEuhjvs5bK,0.4,0.468,2,-8.646,1,0.0336,0.000158,0.103,0.248,112.015,238480,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Shamir Virgo,Roses,Roses,6pgldGrFdECsu4umxckV4V,0.651,0.485,4,-9.476,1,0.044,0,0.176,0.607,79.986,229500,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
Cory Wong,Motivational Music for the Syncopated Soul,Starting Line,1I3HTXuNYqmDYWywwf2v9h,0.725,0.76,8,-6.946,1,0.0375,0.000974,0.195,0.605,119.987,239133,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
NONEWFRIENDS.,Already Gone,Already Gone,6tPzJrkuM0VB8sEVvGDZqq,0.645,0.432,0,-9.168,1,0.0317,0.0717,0.0928,0.37,105.266,269406,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
TOUCAN,TOUCAN,Wonderful Way,0jYPOvqSLB9rGBP6Vj0YVX,0.683,0.663,9,-5.974,1,0.0332,0,0.0621,0.788,105.02,204354,4,Spotify,Stephen Cabebe Radio,Stephen Cabebe
