artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Taylor Swift,Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,0.631,0.518,0,-8.771,1,0.0303,0,0.088,0.205,93.023,613027,4,tessvictoria,sad bitch,Tess
Taylor Swift,Red (Taylor's Version),All Too Well (Taylor's Version),1IBhYEvvi02tDVByxIiTh4,0.44,0.528,0,-7.809,1,0.0317,0.00203,0.234,0.132,185.972,329160,4,tessvictoria,sad bitch,Tess
Taylor Swift,folklore,betty,5kI4eCXXzyuIUXjQra0Cxi,0.593,0.377,0,-8.761,1,0.0253,0,0.0976,0.502,95.939,294521,4,tessvictoria,sad bitch,Tess
Daughter,His Young Heart EP,Candles,1zZcEoMG3ZEUU6hEPyPXh5,0.407,0.458,6,-11.795,1,0.0432,3.69e-06,0.0895,0.15,156.234,293320,4,tessvictoria,sad bitch,Tess
Taylor Swift,Carolina (From The Motion Picture “Where The Crawdads Sing”),Carolina - From The Motion Picture “Where The Crawdads Sing”,4axSuOg3BqsowKjRpj59RU,0.476,0.189,11,-13.777,0,0.0329,4.52e-06,0.254,0.324,115.851,264439,4,tessvictoria,sad bitch,Tess
Taylor Swift,evermore,champagne problems,0sY6ZUTh4yoctD8VIXz339,0.462,0.24,0,-12.077,1,0.0377,0,0.113,0.32,171.319,244000,4,tessvictoria,sad bitch,Tess
Chelsea Cutler,Devil On My Shoulder,Devil On My Shoulder,1jLUaPGjk5zwV9kXUt4Jt1,0.661,0.323,7,-9.579,1,0.0412,1.82e-05,0.193,0.372,129.955,212493,4,tessvictoria,sad bitch,Tess
Olivia Rodrigo,SOUR,drivers license,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,1.42e-05,0.106,0.137,143.875,242013,4,tessvictoria,sad bitch,Tess
Olivia Rodrigo,SOUR,enough for you,2TOzTqQXNmR2zDJXihjZ2e,0.638,0.259,7,-10.706,1,0.0898,0,0.219,0.269,88.485,202827,4,tessvictoria,sad bitch,Tess
The Civil Wars,The Civil Wars,Dust to Dust,5P6ZBMWS66FVo6deJaDdHy,0.747,0.265,1,-14.141,1,0.0354,0.0169,0.11,0.2,138.017,229653,4,tessvictoria,sad bitch,Tess
Olivia Rodrigo,SOUR,favorite crime,5JCoSi02qi3jJeHdZXMmR8,0.369,0.272,9,-10.497,1,0.0364,0,0.147,0.218,172.929,152667,4,tessvictoria,sad bitch,Tess
Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,3yMC1KsTwh0ceXdIe4QQAQ,0.56,0.473,5,-7.23,1,0.0533,0,0.31,0.441,109.414,175345,4,tessvictoria,sad bitch,Tess
Lauren Spencer Smith,Flowers,Flowers,6Z165JvPnS8PYvGW8oLGLc,0.684,0.449,3,-9.738,1,0.611,0,0.0881,0.341,66.165,157373,4,tessvictoria,sad bitch,Tess
Benson Boone,GHOST TOWN,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,1,0.0763,0,0.102,0.116,174.185,193733,3,tessvictoria,sad bitch,Tess
Ben Platt,Music From The Netflix Original Series The Politician,River,3OHTX3Kf5qOOPwGepi5xe8,0.623,0.13,7,-9.59,1,0.0313,0,0.107,0.338,101.038,247606,4,tessvictoria,sad bitch,Tess
JP Saxe,Dangerous Levels of Introspection,If the World Was Ending (feat. Julia Michaels),77MdvMx9L4ZQuLhhn3o21h,0.429,0.486,1,-9.971,1,0.101,0,0.0982,0.661,146.99,209493,4,tessvictoria,sad bitch,Tess
James Vincent McMorrow,Early In The Morning,If I Had A Boat,5JdFIlloWw6Z0kNkga5c7U,0.391,0.29,7,-10.833,1,0.0467,0.017,0.132,0.22,108.987,247413,4,tessvictoria,sad bitch,Tess
Billie Eilish,dont smile at me,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,0.483,0.412,7,-8.461,1,0.0402,0,0.116,0.247,170.163,203569,3,tessvictoria,sad bitch,Tess
Taylor Swift,evermore,willow,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.00179,0.145,0.529,81.112,214707,4,tessvictoria,sad bitch,Tess
Taylor Swift,evermore (deluxe version),right where you left me - bonus track,3zwMVvkBe2qIKDObWgXw4N,0.581,0.619,10,-6.524,1,0.0282,0.000106,0.117,0.645,137.915,245027,4,tessvictoria,sad bitch,Tess
Taylor Swift,folklore,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,5.62e-05,0.11,0.152,75.602,285634,4,tessvictoria,sad bitch,Tess
Olivia Rodrigo,SOUR,happier,2tGvwE8GcFKwNdAXMnlbfl,0.395,0.443,6,-9.72,1,0.133,9.67e-06,0.0839,0.338,168.924,175933,3,tessvictoria,sad bitch,Tess
Olivia Rodrigo,SOUR,traitor,5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0,0.12,0.0849,100.607,229227,4,tessvictoria,sad bitch,Tess
James Arthur,Back from the Edge,Train Wreck,55Am8neGJkdj2ADaM3aw5H,0.311,0.485,6,-5.726,0,0.0365,0,0.0726,0.225,77.355,208827,4,tessvictoria,sad bitch,Tess
Kelsea Ballerini,I Quit Drinking,I Quit Drinking,6OcCk1dbAb7XNHsC098oEM,0.607,0.418,1,-6.997,1,0.0363,0,0.182,0.386,95.002,171200,4,tessvictoria,sad bitch,Tess
Noah Cyrus,Make Me (Cry),Make Me (Cry),2BrzlUj1u1CtvaJDGIKpsP,0.588,0.471,0,-7.287,1,0.0577,0.00146,0.0733,0.209,152.881,242081,4,tessvictoria,sad bitch,Tess
The Civil Wars,The Civil Wars,The One That Got Away,3W2G2Bwt9UAM0sgUVhOC6E,0.439,0.313,2,-10.122,0,0.0291,5.62e-06,0.0464,0.243,145.899,212787,4,tessvictoria,sad bitch,Tess
Sara Kays,Remember That Night?,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,7,-10.936,0,0.0305,9.51e-05,0.156,0.554,123.978,227186,4,tessvictoria,sad bitch,Tess
