artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
The Lumineers,Walls,Walls,3UpEsDQyd6eyRQzgQdNyGo,0.609,0.44,10,-6.32,1,0.0265,0,0.0688,0.43,108.427,199119,4,Grace.earley,lumineers vibes and other bops,Uday
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,1,0.0439,0,0.161,0.371,112.96,218013,4,Grace.earley,lumineers vibes and other bops,Uday
Hozier,Hozier (Expanded Edition),Like Real People Do,57V4uc2b2diZ4RPHXWecb9,0.539,0.179,7,-14.33,1,0.0309,0.393,0.106,0.145,140.01,198027,3,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,My Eyes,34WAdNQOUeGjgFOZshew1e,0.435,0.309,4,-8.337,1,0.0309,2.63e-05,0.113,0.0831,93.871,216600,3,Grace.earley,lumineers vibes and other bops,Uday
The Mowgli's,I Was Starting to Wonder,I Feel Good About This,7d06uajfr1DZUeKVCaE9BS,0.525,0.841,7,-6.053,1,0.0419,0,0.146,0.495,119.864,201528,4,Grace.earley,lumineers vibes and other bops,Uday
Mt. Joy,Mt. Joy,I'm Your Wreck,7MzKYpIU3wozsFJDOmI8Es,0.483,0.592,4,-6.962,1,0.0445,2.42e-06,0.336,0.206,131.022,233600,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,Donna,3ZkleTkBBKIPKJh9jIqT7s,0.49,0.247,4,-10.481,1,0.035,1.78e-05,0.119,0.282,134.121,185973,4,Grace.earley,lumineers vibes and other bops,Uday
Lord Huron,Strange Trails,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,1,0.0378,0.267,0.641,0.1,86.997,208212,3,Grace.earley,lumineers vibes and other bops,Uday
Hozier,"Wasteland, Baby!",Sunlight,4zvvvHm0b5CBl37tocxm7n,0.464,0.559,7,-4.209,0,0.0287,0.000176,0.106,0.368,115.349,257347,4,Grace.earley,lumineers vibes and other bops,Uday
Noah Kahan,Busyhead,False Confidence,7nDFTHHwfe32a8qdp9XqPy,0.414,0.663,6,-7.77,1,0.0456,0,0.138,0.33,108.98,223400,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,Jimmy Sparks,7lD7NtMkqQfzvxDCGnCrE1,0.503,0.383,1,-8.026,1,0.0351,3.75e-05,0.332,0.193,108.988,355987,4,Grace.earley,lumineers vibes and other bops,Uday
Judah & the Lion,Pep Talks,pictures feat. Kacey Musgraves,1zZIVe9x0JhdhpuQjLTjIM,0.567,0.542,2,-6.64,1,0.0309,0.000342,0.0734,0.229,125.16,253869,4,Grace.earley,lumineers vibes and other bops,Uday
Mt. Joy,Strangers,Strangers,73WyCOipkJRtIH8klizJd5,0.564,0.636,7,-8.136,1,0.0418,0.0224,0.0807,0.218,101.913,193187,4,Grace.earley,lumineers vibes and other bops,Uday
Yoke Lore,Chin Up,Chin Up,4N001yHNZwq5A4kw9gkHyq,0.61,0.592,1,-10.922,1,0.0351,0.00429,0.103,0.323,130.85,265213,4,Grace.earley,lumineers vibes and other bops,Uday
Young the Giant,Mind Over Matter,Mind Over Matter,5Az8KU81g2aLBbJN67F2CI,0.466,0.763,0,-4.448,1,0.0318,0,0.0973,0.293,154.914,244693,4,Grace.earley,lumineers vibes and other bops,Uday
Bahamas,Earthtones,No Depression,5xYK0S57hp6bEdJlMo7ozl,0.842,0.369,7,-7.813,0,0.0536,0.00354,0.265,0.583,77.285,186947,4,Grace.earley,lumineers vibes and other bops,Uday
The Head And The Heart,Living Mirage,Honeybee,5CalS8Gn69OOrR9aiw0ZO9,0.642,0.52,9,-7.886,1,0.0387,0.000509,0.552,0.488,136.014,196055,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra,Angela,5bodDpPolC3xlame0SVcDY,0.668,0.563,4,-8.23,1,0.0305,0.000347,0.11,0.289,130.366,201786,4,Grace.earley,lumineers vibes and other bops,Uday
Hippo Campus,Landmark,Way It Goes,6CES1554HcWMIVroJfmmBm,0.542,0.906,9,-4.213,1,0.0491,0.00043,0.377,0.515,120.014,245456,4,Grace.earley,lumineers vibes and other bops,Uday
Vance Joy,Nation of Two,Saturday Sun,2RiBogNRfulkNf7fVbPOrJ,0.637,0.864,8,-4.381,1,0.0468,0,0.222,0.706,99.995,214720,4,Grace.earley,lumineers vibes and other bops,Uday
Young the Giant,Mirror Master,Superposition,67YPjbcxUypwNOwYBZquq1,0.593,0.697,7,-5.416,1,0.0399,0.0257,0.14,0.428,170.0,230960,4,Grace.earley,lumineers vibes and other bops,Uday
Yoke Lore,Goodpain,Goodpain,3rFeq7vjP5iyhEDssZV49n,0.666,0.665,9,-5.116,0,0.0278,0.000104,0.068,0.364,96.994,261986,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,III,Gloria,5BkGp7FLUUpKgWl29jBK0J,0.523,0.714,11,-6.021,1,0.0367,5.2e-06,0.0785,0.659,78.211,216120,4,Grace.earley,lumineers vibes and other bops,Uday
Rainbow Kitten Surprise,"How to: Friend, Love, Freefall",It's Called: Freefall,474uVhyGgK5MtY9gMcDgGl,0.744,0.516,2,-6.365,1,0.0513,0,0.605,0.281,97.944,152293,4,Grace.earley,lumineers vibes and other bops,Uday
Hozier,"Wasteland, Baby!","Wasteland, Baby!",1HYnjKqSSHh1tdl2Hi57zH,0.427,0.407,2,-9.665,1,0.0382,0.386,0.109,0.244,168.844,266467,4,Grace.earley,lumineers vibes and other bops,Uday
Judah & the Lion,Pep Talks,Why Did You Run?,2xrRl0h13K2kqBpJN6P98Y,0.382,0.743,1,-5.093,1,0.0548,0,0.0901,0.469,205.66,233977,4,Grace.earley,lumineers vibes and other bops,Uday
Young the Giant,Home of the Strange,Silvertongue,0yTJtxZJ5VLfBEHhiNUNeY,0.673,0.789,0,-4.288,1,0.0408,0,0.752,0.841,100.043,197427,4,Grace.earley,lumineers vibes and other bops,Uday
Lord Huron,Strange Trails,Meet Me in the Woods,1bqrRn1pJWowNLA5N9L6uW,0.543,0.925,6,-6.783,0,0.0448,0.456,0.0668,0.594,80.499,262209,1,Grace.earley,lumineers vibes and other bops,Uday
Caamp,Boys (Side B),Strawberries,0ESvfrHfNuAtkZp8SMJBOY,0.547,0.0897,3,-18.732,1,0.0457,0.00578,0.111,0.263,117.17,219344,5,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Junior Sparks,Left For Denver,0Bd3xsL3mgGTrrHWL811B6,0.737,0.118,5,-11.78,1,0.0338,5.21e-05,0.102,0.453,88.732,196653,4,Grace.earley,lumineers vibes and other bops,Uday
Hippo Campus,warm glow,baseball,5lO1htX1UPjwyItDLurhR5,0.602,0.915,9,-3.62,1,0.0541,0,0.0967,0.581,111.512,198107,4,Grace.earley,lumineers vibes and other bops,Uday
Young the Giant,Mirror Master,Call Me Back,14KP6cmTImZmrcAC5m0Azd,0.75,0.365,7,-6.741,1,0.0372,0.0082,0.122,0.101,89.981,237747,4,Grace.earley,lumineers vibes and other bops,Uday
Hozier,"Wasteland, Baby!",Movement,1djzKW3eYLyzjjHXazEWWh,0.381,0.502,1,-5.505,0,0.0368,6.98e-05,0.0842,0.147,144.3,237800,4,Grace.earley,lumineers vibes and other bops,Uday
The Lumineers,Cleopatra (Deluxe),Where The Skies Are Blue,3CuscN8itbT86pQFKQMIk7,0.569,0.477,9,-6.577,1,0.0277,0.000485,0.0644,0.552,132.423,140120,4,Grace.earley,lumineers vibes and other bops,Uday
Vance Joy,Nation of Two,I'm with You,6Qwuw0eOeszVlewLpu24gR,0.657,0.396,7,-9.255,1,0.0293,1.58e-06,0.103,0.115,110.003,239787,3,Grace.earley,lumineers vibes and other bops,Uday
Hippo Campus,warm glow,warm glow,0WSPIU3Y3bNXsGeKnzSnt1,0.445,0.446,9,-8.87,1,0.0286,0.119,0.106,0.0384,92.463,358870,4,Grace.earley,lumineers vibes and other bops,Uday
Mumford & Sons,Delta,Beloved,4XzBJwWmmvBP1I8y4sY4g4,0.454,0.761,2,-7.57,1,0.0447,0.0453,0.185,0.308,191.898,265096,4,Grace.earley,lumineers vibes and other bops,Uday
