artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,"The Council of Elrond Assembles / ""Aníron"" (feat. Enya)",1bemsRXGIucdodYDoAZwHa,0.0753,0.0315,8,-30.13,1,0.0404,0.865,0.104,0.0355,79.976,241347,5,Max Hultgren,Lord of the rings - Ambient,Uday
Howard Shore,The Lord of the Rings: The Two Towers - the Complete Recordings,"Arwen's Fate / ""The Grace of the Valar"" (feat. Sheila Chandra)",1SduFNBIta8xJhLv3cwa8G,0.0859,0.0332,10,-30.436,0,0.0425,0.893,0.182,0.0336,85.288,238640,3,Max Hultgren,Lord of the rings - Ambient,Uday
Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,Farewell Dear Bilbo,6qbUU40ECmhtaIpvhopr9e,0.297,0.01,5,-23.858,1,0.0395,0.565,0.219,0.234,87.765,105880,4,Max Hultgren,Lord of the rings - Ambient,Uday
Various Artists,The Lord of the Rings: The Return of the King (Original Motion Picture Soundtrack),The Ride of the Rohirrim,2l0xjJ6Fj72Bw4ReAJBrAo,0.218,0.207,7,-17.539,1,0.035,0.918,0.0891,0.155,132.606,128693,4,Max Hultgren,Lord of the rings - Ambient,Uday
Howard Shore,The Lord of the Rings: The Two Towers - the Complete Recordings,The Heir of Númenor,6rXLSgdHqyI4BCiVd9k2wq,0.137,0.144,7,-21.157,1,0.0427,0.9,0.147,0.0375,62.401,410627,3,Max Hultgren,Lord of the rings - Ambient,Uday
Various Artists,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),Helm's Deep,7wXJbYOY984zsuQFgOV0OK,0.103,0.422,2,-14.916,0,0.0505,0.953,0.131,0.0766,174.453,233040,3,Max Hultgren,Lord of the rings - Ambient,Uday
Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,Gollum,1Qwz6Ad5Vc4hFRLqNa90xc,0.161,0.00754,5,-39.0,1,0.0409,0.989,0.0874,0.035,61.407,146640,3,Max Hultgren,Lord of the rings - Ambient,Uday
Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,Very Old Friends,481rwKzqYNyzkLnxD4i62y,0.119,0.00363,7,-34.548,1,0.0425,0.236,0.205,0.0367,76.089,192813,4,Max Hultgren,Lord of the rings - Ambient,Uday
Various Artists,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),The Grace of Undómiel (feat. Renée Fleming),6a1HCgaisv3CMMEHZoXZ9z,0.165,0.117,4,-17.526,0,0.0412,0.909,0.692,0.0365,129.591,381440,4,Max Hultgren,Lord of the rings - Ambient,Uday
Various Artists,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),Éowyn's Dream,6BEkaQDf8HOBD8woRzSmIH,0.241,0.0115,9,-33.576,0,0.0412,0.662,0.0852,0.0374,59.353,84307,4,Max Hultgren,Lord of the rings - Ambient,Uday
