artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
EARTHGANG,GHETTO GODS,WATERBOYZ (with JID & J. Cole),1KyXCd04yHni5pMGFwgzuE,0.842,0.657,6,-4.349,0,0.224,0,0.112,0.707,140.057,303400,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Rebel Kleff,Pencil Pushing,Pencil Pushing,7Brc1Nww9yP1E6bsnprBMK,0.719,0.848,7,-5.297,1,0.28,2.02e-05,0.4,0.482,89.977,238146,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
H.E.R.,Back of My Mind,Bloody Waters,2mpzIXaOB7fnJIHSZEGDZ3,0.631,0.544,5,-8.845,0,0.104,0,0.11,0.544,89.876,260440,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
¿Téo?,Sol,Buzzed,46vrZhwggdZuuZGwIQ80O3,0.599,0.484,8,-11.866,1,0.06,0.0104,0.0962,0.371,152.001,159732,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Joey Bada$$,1999,Waves,3AM2ihc5RFzbC47eCpTg2I,0.733,0.912,8,-3.239,0,0.223,0,0.206,0.888,89.947,211631,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Isaiah Rashad,The House Is Burning [homies begged],Claymore (feat. Smino),7m9927fvnUzBZplXFXemqf,0.688,0.517,1,-10.374,1,0.125,0.000922,0.0887,0.679,141.287,186152,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Joey Bada$$,Love Is Only a Feeling,Love Is Only a Feeling,2ZVRyUFQTI5K99wpJElGrD,0.629,0.676,1,-7.088,0,0.191,0.000325,0.701,0.497,90.377,152041,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Curtis Roach,Bamboo Lounge (Poppin),Bamboo Lounge (Poppin),4mxYRytT7CkeBfhkF7Vzzj,0.73,0.842,1,-2.721,0,0.0499,0,0.169,0.456,82.496,168915,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Anderson .Paak,Lockdown,Lockdown,5oZps6mYqU5s7A4WjUZggJ,0.928,0.437,1,-7.081,0,0.127,0.000357,0.147,0.496,100.056,212613,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Isaiah Rashad,Cilvia Demo,Heavenly Father,0qLt7pQhm8LDxFgI0YXdlY,0.608,0.676,1,-7.56,1,0.248,0,0.347,0.57,80.939,260632,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Blu & Exile,Give Me My Flowers While I Can Still Smell Them,O Heaven,0S4YysfsVExB7oX0tairoB,0.492,0.747,8,-6.606,0,0.135,1.72e-06,0.361,0.62,90.219,199879,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Dreamville,Revenge Of The Dreamers III,Sacrifices (with EARTHGANG & J. Cole feat. Smino & Saba),7wTA0NKIm6T7nP2kaymU2a,0.825,0.672,0,-7.108,1,0.418,0,0.123,0.246,147.01,382307,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Isaiah Rashad,The House Is Burning,Headshots (4r Da Locals),0xta6Gah3inmeHbj0e3F9a,0.894,0.615,3,-6.269,1,0.0826,0.00921,0.309,0.661,120.0,193209,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
88rising,Head In The Clouds,History,4TwVtW8hS5LyLoDtJGpUOg,0.554,0.589,3,-8.163,0,0.231,0.000257,0.0982,0.414,74.982,207308,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Domo Genesis,Genesis,Coming Back (feat. Mac Miller),1WsRuvitfegWXQJKRgRZrj,0.514,0.723,4,-8.748,0,0.406,0,0.672,0.587,89.14,161653,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
WESTSIDE BOOGIE,Thirst 48 Part II,Sunroof,1FunRKEGHk2OywxjdDa3xr,0.698,0.671,5,-6.112,1,0.188,0,0.0913,0.534,113.944,237253,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
¿Téo?,¿Téo?,Uno Dos,2YeKQ7zSBbalFl5K0EpEgH,0.812,0.663,6,-10.283,0,0.0636,0.000236,0.0855,0.707,140.006,170125,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Curren$y,Pilot Talk: Trilogy,Search Party,3BTfH3PNQn2hx4Py1FMQ7O,0.613,0.909,6,-5.481,1,0.0919,0.000711,0.343,0.71,90.054,261956,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Isaiah Rashad,The Sun's Tirade,Rope (feat. SiR) // rosegold,2TsBRXZQSGp1aaYeNPcT9o,0.617,0.604,7,-8.879,1,0.255,0.000156,0.372,0.696,91.937,283527,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
Curren$y,Pilot Talk: Trilogy,Get Down,3fttRKnPFJ3WPz4pPfqezP,0.486,0.658,8,-6.937,1,0.321,2.5e-06,0.0931,0.599,83.588,238028,4,Warren Nakazawa,music to take your mind off med school,Warren Nakazawa
