artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,owner,playlist_name,user
MAGIC!,Don't Kill the Magic,Rude,6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1,-4.993,1,0.0381,0,0.305,0.925,144.033,224840,4,Cem Aygül,Casual,ozge
Sia,1000 Forms Of Fear,Chandelier,4VrWlk8IQxevMvERoX08iC,0.399,0.787,1,-2.88,1,0.0499,6.07e-05,0.0685,0.572,117.089,216120,5,Cem Aygül,Casual,ozge
Nico & Vinz,Am I Wrong,Am I Wrong,2wqaekenSQZm7hxQOYt8oE,0.725,0.68,8,-5.465,1,0.0306,2.13e-06,0.158,0.76,119.939,247520,4,Cem Aygül,Casual,ozge
Ed Sheeran,x (Deluxe Edition),Don't,1huvTbEYtgltjQRXzrNKGi,0.806,0.608,1,-7.008,1,0.0659,0,0.635,0.849,95.049,219840,4,Cem Aygül,Casual,ozge
Disclosure,Settle,Latch,1BltsyC5W3SAABdxyrDXwi,0.503,0.727,1,-5.456,1,0.167,9.45e-05,0.0895,0.521,121.985,255632,4,Cem Aygül,Casual,ozge
Sam Smith,In The Lonely Hour (Deluxe),Stay With Me,4cdv3CQkDVZzZOKm0kaaZu,0.416,0.43,0,-6.516,1,0.0408,0.000244,0.11,0.177,84.406,172724,4,Cem Aygül,Casual,ozge
Vance Joy,Dream Your Life Away,Riptide,7yq4Qj7cqayVTp3FF9CWbm,0.484,0.731,1,-6.694,1,0.0379,0,0.151,0.51,101.654,204280,4,Cem Aygül,Casual,ozge
OneRepublic,Native,Love Runs Out,5BJSZocnCeSNeYMj3iVqM7,0.719,0.935,7,-3.752,1,0.0589,0,0.0973,0.738,120.022,224227,4,Cem Aygül,Casual,ozge
Paramore,Paramore,Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,0.61,0.893,9,-3.681,1,0.0921,4.41e-05,0.021,0.673,104.031,296520,4,Cem Aygül,Casual,ozge
Jesse McCartney,In Technicolor,Superbad,0MPMRdArp4XgupDCltJBJi,0.926,0.65,9,-4.02,1,0.111,1.12e-05,0.314,0.549,119.97,177664,4,Cem Aygül,Casual,ozge
KONGOS,Lunatic,Come with Me Now,2kWowW0k4oFymhkr7LmvzO,0.654,0.726,10,-3.803,0,0.0401,6.35e-05,0.0618,0.728,103.987,211960,4,Cem Aygül,Casual,ozge
Michael Jackson,Love Never Felt So Good (David Morales and Eric Kupper Def Mix),Love Never Felt So Good - DM-FK CLASSIC TRIBUTE MIX,1RHZ8N3GgdHve35MjjaKiB,0.715,0.709,5,-6.134,1,0.0383,0.00366,0.119,0.766,121.979,503772,4,Cem Aygül,Casual,ozge
Enrique Iglesias,Bailando,Bailando - English Version,3Y9xtYyVyF13po6xePV5Cp,0.723,0.85,7,-3.508,1,0.0879,0,0.0697,0.937,90.957,242331,4,Cem Aygül,Casual,ozge
Simply Red,Sunrise European Single,Sunrise,0jGVEPscW8KmqktoHqv2Pa,0.788,0.728,5,-5.123,0,0.0295,0.23,0.0979,0.936,105.983,200173,4,Cem Aygül,Casual,ozge
Antonis Remos,I Kardia Me Pigeni Emena,Mpori Na Vgo,5B3gFMTj81S5n047HbCOra,0.684,0.757,7,-5.397,0,0.0297,0,0.268,0.767,122.043,242427,4,Cem Aygül,Casual,ozge
Christina Aguilera,Christina Aguilera,Genie in a Bottle,6onLnWywmbSnXDFPVY1mM6,0.633,0.792,1,-6.968,1,0.149,0.000185,0.152,0.918,175.795,217133,4,Cem Aygül,Casual,ozge
Meghan Trainor,All About That Bass,All About That Bass,0ifSeVGUr7py5GggttDhXw,0.811,0.879,9,-3.724,1,0.0514,1.91e-06,0.109,0.962,134.064,188754,4,Cem Aygül,Casual,ozge
MKTO,MKTO,Classic,2Dz8KeCYs9awlwUJStJlmh,0.72,0.791,1,-4.689,1,0.124,0,0.157,0.756,102.071,175427,4,Cem Aygül,Casual,ozge
Linkin Park,A Thousand Suns (Bonus Edition),Waiting for the End,1m8YW1nU72t7wVfhcnxmMB,0.487,0.961,4,-4.139,1,0.132,1.15e-06,0.553,0.323,170.005,231680,4,Cem Aygül,Casual,ozge
Seal,Seal,Kiss from a Rose,3YKptz29AsOlm7WAVnztBh,0.584,0.533,10,-7.11,0,0.0305,0,0.306,0.224,131.745,288427,3,Cem Aygül,Casual,ozge
Foster The People,Torches,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,5,-5.849,0,0.0292,0.115,0.0956,0.965,127.975,239600,4,Cem Aygül,Casual,ozge
JAY-Z,Magna Carta... Holy Grail,Holy Grail,1olNHIIVl4EVwIEPGYIR7G,0.683,0.537,2,-6.945,0,0.0878,1.01e-05,0.247,0.153,145.089,338413,4,Cem Aygül,Casual,ozge
Major Lazer,"Watch Out For This [Bumaye] (feat. Busy Signal, The Flexican & FS Green)","Watch Out For This (Bumaye) [feat. Busy Signal, The Flexican & FS Green]",0TZLD473Rb1gKbv3xsDx5A,0.828,0.755,10,-4.116,0,0.156,9.61e-06,0.0625,0.862,108.056,269147,4,Cem Aygül,Casual,ozge
JAY-Z,The Blueprint 3,Empire State Of Mind [Jay-Z + Alicia Keys],69yVxyuRahEzs2taFMVVoO,0.495,0.933,11,-3.977,1,0.395,0,0.503,0.815,173.414,277400,4,Cem Aygül,Casual,ozge
The White Stripes,Elephant,Seven Nation Army,3m6KkYKdnbffMpGd9Pm9FP,0.745,0.466,4,-7.62,0,0.0864,0.35,0.272,0.303,123.889,231920,4,Cem Aygül,Casual,ozge
Various Artists,Divergent: Original Motion Picture Soundtrack,Beating Heart,4feuGQY6Am20Nteesv7bHb,0.566,0.715,5,-7.311,1,0.0739,5.44e-06,0.136,0.284,127.921,211987,4,Cem Aygül,Casual,ozge
Skrillex,Bangarang EP,Summit (feat. Ellie Goulding),1SbqxemPdwGlvmirtQVkCU,0.692,0.773,6,-3.739,1,0.0359,0.0104,0.108,0.486,139.989,373987,4,Cem Aygül,Casual,ozge
Muse,The Resistance,Uprising,4VqPOruhp5EdPBeR92t6lQ,0.602,0.905,2,-4.046,1,0.0775,0.064,0.117,0.411,128.019,304840,4,Cem Aygül,Casual,ozge
Muse,The Resistance,Undisclosed Desires,0It6VJoMAare1zdV2wxqZq,0.683,0.585,8,-6.76,1,0.0323,0.0162,0.0797,0.641,115.997,235000,4,Cem Aygül,Casual,ozge
John Mayer,XO,XO,7cpCU3Denug5NGZsSpQl8v,0.431,0.377,2,-9.753,1,0.0288,0,0.211,0.353,173.67,213627,4,Cem Aygül,Casual,ozge
Foxes,Glorious (Deluxe),Youth,5AozgGtATNJi2Yx5Vb2InS,0.568,0.708,8,-9.96,1,0.0601,0.000528,0.266,0.214,127.741,259560,4,Cem Aygül,Casual,ozge
