playlist_name,playlist_link,user,danceability_var,danceability_mean,danceability_max,danceability_min,energy_var,energy_mean,energy_max,energy_min,key_var,key_mean,key_max,key_min,loudness_var,loudness_mean,loudness_max,loudness_min,mode_var,mode_mean,mode_max,mode_min,speechiness_var,speechiness_mean,speechiness_max,speechiness_min,instrumentalness_var,instrumentalness_mean,instrumentalness_max,instrumentalness_min,liveness_var,liveness_mean,liveness_max,liveness_min,valence_var,valence_mean,valence_max,valence_min,tempo_var,tempo_mean,tempo_max,tempo_min,duration_ms_var,duration_ms_mean,duration_ms_max,duration_ms_min,time_signature_var,time_signature_mean,time_signature_max,time_signature_min
lumineers vibes and other bops,https://open.spotify.com/playlist/7nrVSEkmI23iXB0cNkMV1Q?si=KpSIxuqzQBm14yV-ypUH1g&utm_source=copy-link,Uday,0.013939967,0.58585,0.842,0.3,0.048796297,0.508563,0.936,0.0256,11.90909091,4.7,11,0,11.50751853,-8.60633,-3.62,-22.587,0.114242424,0.87,1,0,6.56E-05,0.036745,0.0653,0.025,0.029804683,0.049952912,0.952,0,0.021792869,0.166227,0.951,0.0276,0.030450943,0.341256,0.895,0.0384,736.8512191,117.44847,205.66,76.023,3109682985,219369.59,404467,50081,0.310606061,3.85,5,1
Vibes,https://open.spotify.com/playlist/77Tw3ncGLOLBgCPI5gbVjo?si=d90efb223fdd47fa,Gabrielle Cabebe,0.013508916,0.63356,0.837,0.345,0.021440636,0.54649,0.873,0.217,13.12838384,5.27,11,0,4.937867693,-7.92706,-2.876,-15.257,0.252424242,0.51,1,0,0.012025122,0.12982,0.425,0.0248,0.002819173,0.01003777,0.442,0,0.029320122,0.202798,0.874,0.0504,0.03585114,0.457393,0.97,0.0393,911.5657338,110.00835,178.555,50.176,5328999990,250225.86,592920,133995,0.065757576,3.93,4,3
This Is Metallica,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1sJmec?si=de7f2a69fc674dd7,Tess,0.020918616,0.43242,0.685,0.128,0.0237268,0.84434,0.991,0.278,10.93877551,5.6,11,0,9.114776825,-6.68946,-2.293,-20.265,0.254693878,0.52,1,0,0.005079863,0.077288,0.408,0.0254,0.061664387,0.144936287,0.929,0,0.021483288,0.15532,0.959,0.0314,0.031584705,0.411318,0.791,0.0529,864.5993073,129.56432,203.79,86.634,10437606410,346598.28,586507,86907,0.075102041,3.92,4,3
I should have been cast in step up,https://open.spotify.com/playlist/47cZNAGrNOJVGlvNjPVUum?si=28740a0dd7194672,Tess,0.020306806,0.711037037,0.932,0.435,0.01400041,0.693555556,0.92,0.454,10.0968661,5.592592593,10,0,3.531860846,-5.170666667,-1.357,-9.359,0.256410256,0.444444444,1,0,0.014801737,0.193025926,0.481,0.0294,5.87E-05,0.001948466,0.0381,0,0.016046125,0.184462963,0.552,0.0425,0.035478849,0.661814815,0.966,0.229,1341.95071,124.0087778,203.862,65.964,813093175.2,229748.2222,304600,192213,0.037037037,3.962962963,4,3
sad bitch,https://open.spotify.com/playlist/3Un9qg2xmy4TwzLZt0jVWS?si=f26387f12a4e4c1d,Tess,0.015632434,0.507714286,0.747,0.298,0.015489147,0.395964286,0.619,0.13,12.76587302,4.607142857,11,0,3.993475365,-9.479571429,-5.726,-14.141,0.126984127,0.857142857,1,0,0.012335779,0.071617857,0.611,0.0253,1.96E-05,0.001410471,0.017,0,0.00372184,0.132521429,0.31,0.0464,0.025059491,0.305675,0.661,0.0849,1254.169228,125.9934286,185.972,66.165,7129789700,240187.8929,613027,152667,0.099206349,3.892857143,4,3
Ady's Playlist,https://open.spotify.com/playlist/1Drf5T231tAjjiFKkn2tik?si=a512342a7dda43e0,Adityavikram,0.010372489,0.613352113,0.829,0.309,0.017038968,0.701507042,0.956,0.435,11.24104628,4.957746479,11,0,4.053218466,-6.023140845,-2.848,-11.781,0.253521127,0.492957746,1,0,0.004149783,0.072583099,0.29,0.0252,0.001771981,0.00897676,0.327,0,0.015965929,0.164816901,0.711,0.0451,0.041226811,0.394177465,0.913,0.059,596.1459641,123.7337183,180.064,74.896,1678615267,217668.8169,352173,148387,0.028571429,4,5,3
Rock Mix,https://open.spotify.com/playlist/37i9dQZF1EQpj7X7UK8OOF?si=d8cc872c861e4a11,Omkar Bharambe,0.014045342,0.46962,0.768,0.256,0.021990629,0.77706,0.978,0.394,11.56081633,4.48,11,0,10.24536812,-7.66938,-2.97,-15.882,0.248571429,0.58,1,0,0.003920835,0.065492,0.405,0.0255,0.010846488,0.040096605,0.537,0,0.010388354,0.183858,0.405,0.0581,0.04764097,0.496946,0.971,0.0783,719.7767681,127.68574,203.006,79.588,4697211088,262301.96,515387,140773,0.02,3.98,4,3
Metal Mix,https://open.spotify.com/playlist/37i9dQZF1EQpgT26jgbgRI?si=0d8c04b641904553,Omkar Bharambe,0.011287571,0.38302,0.689,0.248,0.008460461,0.89178,0.996,0.658,10.88,5.24,11,0,6.79090299,-6.5865,-2.973,-13.529,0.254693878,0.48,1,0,0.003353556,0.092148,0.316,0.0304,0.062064091,0.141310291,0.84,0,0.02313051,0.196524,0.886,0.051,0.047727859,0.390006,0.959,0.0379,533.1562496,125.51796,172.756,88.777,8592428459,295495.96,818693,153840,0.02,3.98,4,3
Hard Rock,https://open.spotify.com/playlist/37i9dQZF1DX1X7WV84927n?si=1389c909b2fc4b8d,Omkar Bharambe,0.010193667,0.46792,0.698,0.168,0.007267673,0.895,0.989,0.58,12.92408163,5.12,11,0,2.993683006,-5.00912,-1.914,-9.796,0.235102041,0.64,1,0,0.004927375,0.098622,0.397,0.0281,0.063952474,0.116409605,0.956,0,0.044557854,0.283488,0.843,0.0377,0.020980268,0.42224,0.728,0.126,1109.662561,138.71766,198.093,75.005,3362932746,225970.62,515387,125902,0.039183673,3.96,4,3
Rock Classics,https://open.spotify.com/playlist/37i9dQZF1DWXRqgorJj26U?si=675313a79f1f49c7,Omkar Bharambe,0.018576256,0.51281,0.933,0.252,0.041947002,0.72926,0.996,0.201,12.33080808,4.95,11,0,8.663611981,-7.87083,-2.533,-15.73,0.184242424,0.76,1,0,0.003407806,0.06222,0.405,0.0247,0.020564555,0.061994349,0.782,0,0.027881452,0.205493,0.832,0.0327,0.059829033,0.562598,0.972,0.0668,829.8284855,123.67079,203.006,75.009,6698398822,265027.28,535733,121160,0.01,3.99,4,3
Hard Rock,https://open.spotify.com/playlist/37i9dQZF1DX1X7WV84927n?si=bf363fb350e2457e,Omkar Bharambe,0.010193667,0.46792,0.698,0.168,0.007267673,0.895,0.989,0.58,12.92408163,5.12,11,0,2.993683006,-5.00912,-1.914,-9.796,0.235102041,0.64,1,0,0.004927375,0.098622,0.397,0.0281,0.063952474,0.116409605,0.956,0,0.044557854,0.283488,0.843,0.0377,0.020980268,0.42224,0.728,0.126,1109.662561,138.71766,198.093,75.005,3362932746,225970.62,515387,125902,0.039183673,3.96,4,3
